"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","typeStatus","identifiedBy","yearIdentified","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","monthIdentified","dayIdentified","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","02647874","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","atlantica","Miconia atlantica","Caddah & R.Goldenb.","J. M. A. Braga","1257","1994","05","27","South America","Brazil","Rio de Janeiro","Guapimirim","Granja Monte Olivete, margem do rio Bananal.","-42.9818992614746","-22.5372009277344","21463","450","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2934335' target='other'> <mi>dwc_moreinfo</mi></a>","NY02647874","NY02647874_01","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02361533","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","atlantica","Miconia atlantica","Caddah & R.Goldenb.","M. K. Caddah","901","2011","11","20","South America","Brazil","São Paulo","Sao Luís do Paraitinga","Parque Estadual da Serra do Mar","-45.0456","-23.1961",NA,"956","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2646399' target='other'> <mi>dwc_moreinfo</mi></a>","NY02361533","NY02361533_01",NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1738447","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","atlantica","Miconia atlantica","Caddah & R.Goldenb.","M. K. Caddah","866","2011","02","11","South America","Brazil","Rio de Janeiro","Santa Maria Madalena","Pico do Desengano. Estrada para Estalagem Morumbeca.","-41.92743","-21.87937",NA,"1030","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1568366' target='other'> <mi>dwc_moreinfo</mi></a>","NY01738447","NY01738447_01",NA,"paratype","R. Goldenberg",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:34:33-03","UNICAMP","UEC","160401","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Miconia","atlantica","Miconia atlantica","Caddah & R.Goldenb.","Marchiori, NM; Toledo, W; Munhoz, I; Cano, GB; Santos, FC","619","2011","01","05",NA,"Brazil","São Paulo","São Luiz do Paraitinga","Parque Estadual da Serra do Mar","-45.945278","-23.330333",NA,"999",NA,"Material vegetativo. Cerca de 6 m de altura e 4 indivíduos distribuídos em 1 ha.; Floresta Ombrófila Densa Montana.","UEC009961","UEC009961",NA,NA,"Goldenberg, R","2013","-45.945278","-23.330333","999",NA,NA,NA,NA
"5","2021-03-01 16:34:33-03","UNICAMP","UEC","166683","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Miconia","atlantica","Miconia atlantica","Caddah & R.Goldenb.","Padgurschi, MCG; Tamashiro, JY; Belinello, R","1838","2008",NA,NA,NA,"Brazil","São Paulo","São Luiz do Paraitinga","PESM - Núcleo Santa Virgínia - Parcela K, Floresta Ombrófila Densa Montana.","-45.067778","-23.325556",NA,"1050",NA,"K2006 Árvore, ca. 9 m, sem flores ou frutos. Único indivíduo na área; próvavel espécie nova.","UEC039867","UEC039867",NA,"paratypus","Goldenberg, R","2020","-45.067778","-23.325556","1093",NA,NA,NA,NA
"6","2021-02-12 10:03:51-03","UNICAMP","UEC","91266","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Miconia","atlantica","Miconia atlantica","Caddah & R.Goldenb.","Ferretti, AR; Souza, VC; Vanini, A; Rodrigues, RR; Tamashiro, JY; Nave, AG; Peneireiro, FM","73","1996","12","14",NA,"Brazil","São Paulo","Cunha","Estação Experimental da Serra do Mar., Trilha da bacia experimental A. Ao longo do Rio Paraíbuna.","-45.388889","-23.256944",NA,NA,NA,"fruto, Árvore de 6 m, casca fina, rendilhada. Floresta Ombrófila Densa. Beira da estrada.","UEC182912","UEC182912 UEC182912_01",NA,"paratypus","Goldenberg, R","2020","-45.388889","-23.256944",NA,NA,NA,NA,NA
"7","2021-03-01 16:34:33-03","UNICAMP","UEC","189457","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Miconia","atlantica","Miconia atlantica","Caddah & R.Goldenb.","Caddah, MK; Pereira, EC; et al.","901","2011","11","20",NA,"Brazil","São Paulo","São Luiz do Paraitinga","Parque Estadual da Serra do Mar","-45.045556","-23.195833",NA,"956",NA,"Árvore ca. 8m. Flores com pétalas e estames brancos. Frutos imaturos verdes","UEC125839","UEC125839",NA,NA,"Caddah, MK","2011","-45.045556","-23.195833","956","11",NA,NA,NA
"8","2020-02-14 09:20:51-03","UNICAMP","UEC","109196","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Miconia","atlantica","Miconia atlantica","Caddah & R.Goldenb.","Pedroni, F; Belinello, R; Sanchez, M; Laps, RR","674","1997","05","29",NA,"Brazil","São Paulo","Ubatuba","Picinguaba - Morro do Corisco","-44.816944","-23.325",NA,"600",NA,"Árvore 787, com 7 m de altura, início de botões. Mata Atlântica de encosta.","UEC182913","UEC182913",NA,"paratypus","Goldenberg, R","2020","-44.816944","-23.325","600",NA,NA,NA,NA
"9","2020-02-14 09:20:51-03","UNICAMP","UEC","172118","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Miconia","atlantica","Miconia atlantica","Caddah & R.Goldenb.","Pedroni, F; Belinello, R; Sanchez, M; Laps, RR","674","1997","05","29",NA,"Brazil","São Paulo","Ubatuba","Picinguaba - Morro do Corisco","-44.816944","-23.325",NA,"600",NA,"Árvore 787, com 7 m de altura, início de botões. Mata Atlântica de encosta.","UEC084589","UEC084589",NA,"paratypus","Goldenberg, R","2020","-44.816944","-23.325","600",NA,NA,NA,NA
"10","2020-02-14 09:20:51-03","UNICAMP","UEC","172119","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Miconia","atlantica","Miconia atlantica","Caddah & R.Goldenb.","Pedroni, F; Belinello, R; Sanchez, M; Laps, RR","673","1997","05","29",NA,"Brazil","São Paulo","Ubatuba","Picinguaba - Morro do Corisco","-44.816944","-23.325",NA,"600",NA,"Árvore 611, com 10 m de altura, início de botões.","UEC084587","UEC084587 UEC084587_01",NA,"paratypus","Goldenberg, R","2020","-44.816944","-23.325","600",NA,NA,NA,NA
