"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","class","monthIdentified","fieldNumber","dayIdentified","individualCount","minimumElevationInMeters","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","476278","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Peregrina","linearifolia","Peregrina linearifolia","(A.St.-Hil.) W.R.Anderson","W. R. Anderson","G. G. Hatschbach","32952","1973","10","25","South America","Brazil","Paraná","Ponta Grossa","Fda. Cambiju","-50.1617","-25.095","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=340056' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476278","NY00476278_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","686572","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Peregrina","linearifolia","Peregrina linearifolia","(A.St.-Hil.) W.R.Anderson","W. R. Anderson","L. Riedel","561","1826","09",NA,"South America","Brazil",NA,NA,"Rio Pardo prope Curán",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=834937' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686572","NY00686572_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","476280","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Peregrina","linearifolia","Peregrina linearifolia","(A.St.-Hil.) W.R.Anderson","W. R. Anderson","P. K. H. Dusén","15657","1914","10","29","South America","Brazil","Paraná","Ponta Grossa","Turma 23.","-50.1617","-25.095","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=340055' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476280","NY00476280_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-27 07:32:00-03","NY","NYBG","476282","PreservedSpecimen","Plantae",NA,"Malpighiales","Malpighiaceae","Peregrina","linearifolia","Peregrina linearifolia",NA,"W. R. Anderson","P. Jorgensen","4480","1951","03",NA,"South America","Paraguay",NA,NA,"Japytú",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=340054' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","476279","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Peregrina","linearifolia","Peregrina linearifolia","(A.St.-Hil.) W.R.Anderson","W. R. Anderson","F. C. Hoehne","23350","1928","11","03","South America","Brazil","Paraná","Ponta Grossa","Villa Velha, Ponta Grossa","-50.012929","-25.234872","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=340052' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476279","NY00476279_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","476281","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Peregrina","linearifolia","Peregrina linearifolia","(A.St.-Hil.) W.R.Anderson","W. R. Anderson","G. F. J. Pabst","6128","1961","10","18","South America","Brazil","Paraná","Ponta Grossa","Vila Velha","-50.012929","-25.234872","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=340053' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476281","NY00476281_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-06-29 11:31:11-03","UFRJ","RFA","8034","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Janusia","linearifolia","Janusia linearifolia","(A.St.-Hil.) A.Juss.","R.F. Almeida","P. Occhioni","2384","1966","11","09",NA,"Brasil","Paraná","Ponta Grossa","Parque Estadual de Vila Velha, margem da rodovia","-50.1618995666504","-25.0949993133545",NA,"Erva erecta, pétalas amarelas","RFA44579",NA,"2015","46557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:55:27-03","NBC","NL-BOTANY","L.2166886","PreservedSpecimen","Plantae",NA,"Malpighiales","Malpighiaceae","Janusia","linearifolia","Janusia linearifolia","(A.St.-Hil.) A.Juss.","Anderson WR","Hatschbach GG",NA,"1963","10","04","Southern America","Brazil",NA,NA,"Parana (Brasil), Ponta Grossa. Parque Vila Velha.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2166886 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2166886","NL-L2166886",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:55:27-03","NBC","NL-BOTANY","U.1607711","PreservedSpecimen","Plantae",NA,"Malpighiales","Malpighiaceae","Janusia","linearifolia","Janusia linearifolia","(A.St.-Hil.) A.Juss.","Anderson WR","Hatschbach GG",NA,"1963","10","04","Southern America","Brazil",NA,NA,"Parana (Brasil), Ponta Grossa. Parque Vila Velha.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1607711 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1607711",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-08-20 10:17:40-03","UNICAMP","UEC","9859","S","Plantae","Magnoliopsida",NA,"Malpighiaceae","Peregrina","linearifolia","Peregrina linearifolia","(A.St.-Hil.) W.R.Anderson","Mamede, MCH","Hatschbach, G","22317","1969","10","07",NA,"Brazil","Paraná","Ponta Grossa","Rio Guavirova.","-50.1618995666504","-25.0949993133545",NA,"flor, Xilopodífera, flor amarela, de campo seco e limpo.",NA,NA,"2001","46557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
