"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","preparationType","occurrenceRemarks","barcode","imagecode","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","identifiedBy","minimumElevationInMeters","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","class","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","typeStatus","relatedCatalogItem","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","1184239","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","fluminense","Machaerium fluminense","Rudd","R. D. Ribeiro","1461","2010","04","26","South America","Brazil","Rio de Janeiro","Armação dos Búzios","Bairro da Rasa, Brejo da Fazendinha.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1467015' target='other'> <mi>dwc_moreinfo</mi></a>","NY01184239","NY01184239_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1019544","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","fluminense","Machaerium fluminense","Rudd","R. D. Ribeiro","1050","2008","12","06","South America","Brazil","Rio de Janeiro","Rio das Ostras","Mar do Norte. Balneário das Garças, área com remanescentes sobre morrotes.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1286178' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019544","NY01019544_01","-41.9447","-22.5269",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1018118","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","fluminense","Machaerium fluminense","Rudd","H. C. de Lima","6117","2003","08","31","South America","Brazil","Rio de Janeiro",NA,"Búzios, Praia Gorda.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1248746' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018118","NY01018118_01","-41.9714","-22.7289",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1801103","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","fluminense","Machaerium fluminense","Rudd","R. D. Ribeiro","624","2006","03","01","South America","Brazil","Rio de Janeiro","Macaé","Bairro da Imbetiba, beira da estrada do morro da Imbetiba.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2016117' target='other'> <mi>dwc_moreinfo</mi></a>","NY01801103","NY01801103_01","-41.7868995666504","-22.3708000183105","47209","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01096447","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","fluminense","Machaerium fluminense","Rudd","H. G. Dantas","HGD-PG13","2003","08","29","South America","Brazil","Rio de Janeiro","Armação dos Búzios","Praia da Gorda.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1237528' target='other'> <mi>dwc_moreinfo</mi></a>","NY01096447","NY01096447_01","-41.9706","-22.7308",NA,NA,"H. C. de Lima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1184251","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","fluminense","Machaerium fluminense","Rudd","R. D. Ribeiro","1539","2010","05","23","South America","Brazil","Rio de Janeiro","Armação dos Búzios","Rasa, local conhecido como Brejo da Fazendinha.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1467049' target='other'> <mi>dwc_moreinfo</mi></a>","NY01184251","NY01184251_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2017-05-17 10:22:00-03","NY","NYBG","02698807","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","fluminense","Machaerium fluminense",NA,"R. D. Ribeiro","96","2004","03","07","South America","Brazil","Rio de Janeiro","Macaé","MORRO DA IBENTIBA.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2979333' target='other'> <mi>dwc_moreinfo</mi></a>","NY02698807","NY02698807_01","-41.7868995666504","-22.3708000183105","47209","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-11-07 11:40:00-02","NY","NYBG","01093277","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","incorruptibile","Machaerium incorruptibile",NA,"H. C. de Lima","6179","2004","04","29","South America","Brazil","Rio de Janeiro","Araruama","Ibicuiba. estrada para Engenho Grande.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1232103' target='other'> <mi>dwc_moreinfo</mi></a>","NY01093277","NY01093277_01","-42.3431","-22.8731",NA,NA,"F. L. R. Filardi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01057541","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","incorruptibile","Machaerium incorruptibile","(Vell.) Benth.","A. F. M. Glaziou","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1161955' target='other'> <mi>dwc_moreinfo</mi></a>","NY01057541","NY01057541_01",NA,NA,NA,NA,"F. L. R. Filardi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-11-01 15:00:00-02","NY","NYBG","603936","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Machaerium","incorruptibile","Machaerium incorruptibile",NA,"J. G. Kuhlmann","s.n.","1947","12","09","South America","Brazil","Rio de Janeiro",NA,"Matas do Horto Florestal, Estado de Guanabara","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=140865' target='other'> <mi>dwc_moreinfo</mi></a>","NY00603936","NY00603936_01",NA,NA,NA,NA,"Graziela",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
