"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","recordNumber","year","month","day","county","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","class","typeStatus","relatedCatalogItem","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","monthIdentified","dayIdentified","infraspecificEpithet","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","476301","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Stigmaphyllon","angustilobum","Stigmaphyllon angustilobum","A.Juss.","C. E. Anderson","F. Sellow","South America","Brazil","Minas Gerais","Villa Rica","-43.5","-20.38","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=277534' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476301","NY00476301_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","476298","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Stigmaphyllon","angustilobum","Stigmaphyllon angustilobum","A.Juss.","A. M. Amorim","A. M. Amorim","South America","Brazil","Rio de Janeiro","Morro da Torre de Transmissao. Estrada de acesso ao topo do morro","-43.7003","-22.2458","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=277532' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476298","NY00476298_01","3076","1999","06","05","Valença","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02361255","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Stigmaphyllon","angustilobum","Stigmaphyllon angustilobum","A.Juss.",NA,"F. Sellow","South America","Brazil",NA,NA,NA,NA,"sheet","Ex Herb. Berol. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2547231' target='other'> <mi>dwc_moreinfo</mi></a>","NY02361255","NY02361255_01 NY02361255_02","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","476300","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Stigmaphyllon","angustilobum","Stigmaphyllon angustilobum","A.Juss.","C. E. Anderson","F. C. Hoehne","South America","Brazil","São Paulo","S. José do Barreiro","-44.5697","-22.64","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=277535' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476300","NY00476300_01","17660","1926","04","30","Sao José do Barreiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","476299","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Stigmaphyllon","angustilobum","Stigmaphyllon angustilobum","A.Juss.","C. E. Anderson","A. F. M. Glaziou","South America","Brazil","Rio de Janeiro",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=277533' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476299","NY00476299_01","8463",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 11:31:13-03","UFRJ","RFA","19238","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Stigmaphyllon","angustilobum","Stigmaphyllon angustilobum","A.Juss.","A.M. Amorim","C.M. Rizzini; E.O. Martins 397",NA,"Brasil","Rio de Janeiro","Vale das Pedrinhas, Serra das Araras","-43.1786003112793","-22.5049991607666",NA,"Volúvel; flores amarelas","RFA44847",NA,"79","1978","06","18","Petrópolis",NA,NA,"2000","36524","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-06-29 11:31:13-03","UFRJ","RFA","20000","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Stigmaphyllon","angustilobum","Stigmaphyllon angustilobum","A.Juss.","A.M. Amorim","P. Occhioni",NA,"Brasil","Rio de Janeiro","Parque Nacional do Itatiaia entrada para o parque","-44.5633010864258","-22.4960994720459",NA,"Volúvel; flor amarelo-ouro","RFA44856",NA,"8943","1979","05","25","Itatiaia",NA,NA,"2000","19648","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-06-29 11:31:13-03","UFRJ","RFA","16302","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Stigmaphyllon","angustilobum","Stigmaphyllon angustilobum","A.Juss.","R.F. Almeida","P. Occhioni",NA,"Brasil","Rio de Janeiro","Rio Vale das Videiras","-43.1786003112793","-22.5049991607666",NA,"Volúvel; flor amarela","RFA44855",NA,"6464","1974","11","29","Petrópolis","1000","1000","2015","36524","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:55:33-03","NBC","NL-BOTANY","U 0003836","PreservedSpecimen","Plantae",NA,"Malpighiales","Malpighiaceae","Stigmaphyllon","angustilobum","Stigmaphyllon angustilobum","A.Juss.","Anderson C","Claussen P","Southern America","Brazil",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200003836 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0003836","NL-U0003836",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","holotype","1308",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:12:43-03","ESALQ","ESA","131546","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malpighiaceae","Stigmaphyllon","angustilobum","Stigmaphyllon angustilobum","A.Juss.","Souza, V.C.","Souza, V.C.; Caliari, C.P.; Coelho, R.L.G.; Colletta, G.D.; Barroso, R.M.; Martins, C.H.C.",NA,"Brasil","Rio de Janeiro","Fragmento 50 (TAV). Contato Floresta Estacional Semidecidual / Floresta Ombrófila Densa.","-22.5262","-44.2232",NA,"Liana","ESA131546","ESA131546","36749.0","2013","02","26","Barra Mansa","464","464","2013",NA,NA,NA,NA,NA,"-22.5262","-44.2232",NA,NA,NA,NA,NA,NA
