"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","fieldNumber","typeStatus","class","individualCount","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","894853","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophoriopsis","hatschbachii","Lychnophoriopsis hatschbachii","H.Rob.","H. E. Robinson","G. G. Hatschbach","66511","1997","03","19","South America","Brazil","Minas Gerais","Diamantina","Rod. Guinda - Conselheiro Mata","-43.6003","-18.2494","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966774' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894853","NY00894853_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0022097","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophoriopsis","hatschbachii","Lychnophoriopsis hatschbachii","H.Rob.","H. Robinson","G. Hatschbach; M. Hatschbach, E. Barbosa","66511","1997","3","19",NA,"Brazil","Minas Gerais",NA,"Rod. Guinda, Conselheiro Mata (Mun. Diamantina).","-43.6","-18.25",NA,"Arbusto, 2.50 m, ramificado no ápice, capítulo levemente rosado.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-20 10:05:57-03","UNICAMP","UEC","120462","S","Plantae","Magnoliopsida",NA,"Asteraceae","Lychnophora","hatschbachii","Lychnophora hatschbachii","(H.Rob.) Loeuille, Semir & Pirani","Semir, J; Monge, M","Semir, J; Mansanares, ME; Belinello, R","01100","2001","06","20",NA,"Brazil","Minas Gerais","Diamantina","Estrada para Conselheiro Mata.","-43.886611","-18.310139",NA,NA,"UEC121007","UEC121007","2012","05","-43.886611","-18.310139","1305","1305",NA,NA,NA,NA,NA,NA,NA
"4","2019-08-20 10:05:57-03","UNICAMP","UEC","120725","S","Plantae","Magnoliopsida",NA,"Asteraceae","Lychnophora","hatschbachii","Lychnophora hatschbachii","(H.Rob.) Loeuille, Semir & Pirani","Semir, J; Monge, M","Duarte, AP","13790","1974","01","18",NA,"Brazil","Minas Gerais","Conselheiro Mata","Conselheiro Mata para Diamantina.",NA,NA,NA,NA,"UEC121010","UEC121010","2012","05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:24:33-03","UNICAMP","UEC","124542","S","Plantae","Magnoliopsida",NA,"Asteraceae","Lychnophora","hatschbachii","Lychnophora hatschbachii","(H.Rob.) Loeuille, Semir & Pirani","Semir, J; Monge, M","Mansanares, ME; Meireles, LD; Verola, CF; Azevedo, MT","234","2002","02","03",NA,"Brazil","Minas Gerais","Diamantina","Estrada para Conselheiro Mata. 17 km do asfalto.","-43.888306","-18.316556",NA,"Arbustos até 2,0 m, flores lilases.","UEC121008","UEC121008","2012","05","-43.888306","-18.316556",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-08-20 10:05:57-03","UNICAMP","UEC","169515","S","Plantae","Magnoliopsida",NA,"Asteraceae","Lychnophora","hatschbachii","Lychnophora hatschbachii","(H.Rob.) Loeuille, Semir & Pirani","Semir, J","Verola, CF; Costa, IR","662007","2007","05","17",NA,"Brazil","Minas Gerais","Diamantina","Estrada Diamantina Cons-Mata, próximo a Pestelia.","-43.894","-18.31575",NA,NA,"UEC121006","UEC121006","2007",NA,"-43.894","-18.31575","4231","4231",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:24:33-03","UNICAMP","UEC","188847","S","Plantae","Magnoliopsida",NA,"Asteraceae","Lychnophora","hatschbachii","Lychnophora hatschbachii","(H.Rob.) Loeuille, Semir & Pirani","Loeuille, BFP","Loeuille, BFP; Borges, LM; Watanabe, MTC","s.n.","2012","04","25",NA,"Brazil","Minas Gerais","Diamantina","Estrada MG 220, Diamantina-Conselheiro Mata, km 161, a 31 hm da Rodovia BR 367, margem a direita.","-43.884944","-18.312972",NA,"Arvoreta até 3 m. Flores rosas.; Campo rupestre.","UEC126552","UEC126552","2014",NA,"-43.884944","-18.312972","1125","1125",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:24:33-03","UNICAMP","UEC","197269","S","Plantae","Magnoliopsida",NA,"Asteraceae","Lychnophora","hatschbachii","Lychnophora hatschbachii","(H.Rob.) Loeuille, Semir & Pirani","Monge, M","Rosa, PO; Santos, APM; Nakajima, JN; Mello, FNA","944","2007","10","21",NA,"Brazil","Minas Gerais","Conselheiro da Mata","Estrada para o Telésforo, morro próximo a cidade.","-43.970833","-18.281111",NA,"Arvoreta ca. 1,60m. Capítulos com brácteas involucrais marrons.; Campo rupestre","UEC038985","UEC038985","2012","10","-43.970833","-18.281111","1062","1062",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:24:33-03","UNICAMP","UEC","45949","S","Plantae","Magnoliopsida",NA,"Asteraceae","Lychnophora","hatschbachii","Lychnophora hatschbachii","(H.Rob.) Loeuille, Semir & Pirani","Semir, J; Monge, M","Semir, J; Chukr, NS; Meneses, NL; Mello-Silva, R; Cavalcanti, TB","CFCR9552","1986","02","23",NA,"Brazil","Minas Gerais","Diamantina","Estrada Conselheiro Mata - Diamantina, km 166.","-43.6002998352051","-18.2493991851807",NA,"Arbusto de até 1,7 m alt. Brácteas involucrais purpúreas. Flores lilases quase brancas com ápice das pétalas lilás-escuro.","UEC121009","UEC121009","2012","05",NA,NA,NA,NA,"101169","auto",NA,NA,NA,NA,NA
"10","2021-02-23 15:16:46-03","UTFPR","HCF","28282","S","Plantae",NA,NA,"Asteraceae","Lychnophora","hatschbachii","Lychnophora hatschbachii","(H.Rob.) Loeuille, Semir & Pirani","H. Robinson","G. Hatschbach","66511","1997","03","19",NA,"Brasil","MG","Diamantina","Rodovia Guinda-Conselheiro Mata","-43.6002998352051","-18.2493991851807",NA,"arbusto, 2,50 m, ramificado no ápice, capítulo levemente rosado. Solo rochoso.",NA,NA,"1997",NA,NA,NA,NA,NA,"101169","auto",NA,NA,NA,NA,NA
"11","2020-12-21 16:16:32-03","MBM","MBM","25442","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnophoriopsis","hatschbachii","Lychnophoriopsis hatschbachii","H.Rob.","Dematteis, M.","Hatschbach, G.; Hatschbach, M.; Barboza, E.; Hatschbach, M.; Barboza, E.","71992","2001","05","14","Southern America","Brazil","Minas Gerais","Joaquim Felício","Serra do Cabral","-44.1721992492676","-17.7574996948242",NA,"Arbusto, 2 m. Capítulo lilás.; Campo rupestre.","MBM025442","MBM025442","2005",NA,NA,NA,"900","1000","37503","auto",NA,NA,NA,NA,NA
"12","2020-12-21 16:16:32-03","MBM","MBM","205637","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnophoriopsis","hatschbachii","Lychnophoriopsis hatschbachii","H.Rob.","Robinson, H.","Hatschbach, G.; Hatschbach, M.; Barboza, E.; Hatschbach, M.; Barboza, E.","66511","1997","03","19","Southern America","Brazil","Minas Gerais","Diamantina",NA,"-43.6002998352051","-18.2493991851807",NA,"Arbusto, 2,50 m, ramificado no ápice, capítulo levemente rosado.; Campo rupestre, solo rochoso.","MBM205637","MBM205637","1997",NA,NA,NA,NA,NA,"101169","auto",NA,NA,NA,NA,NA
"13","2015-11-06 14:51:05-02","MNHN","RECOLNAT_MNHN_P","P02538875","PreservedSpecimen",NA,NA,NA,"Asteraceae","Lychnophora","hatschbachii","Lychnophora hatschbachii","Loeuille, Semir & Pirani ined.","Loeuille","Glaziou, A.",NA,"1893","8",NA,NA,"Brésil",NA,NA,"Minas, Diamantina et serra de vertentes",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02538875' target='other'> <mi>dwc_moreinfo</mi></a>","P02538875","P02538875_01 P02538875_02",NA,NA,NA,NA,NA,NA,NA,NA,"20372",NA,NA,NA,NA
"14","2015-09-04 05:13:27-03","MNHN","RECOLNAT_MNHN_P","P02538876","PreservedSpecimen",NA,NA,NA,"Asteraceae","Lychnophora","hatschbachii","Lychnophora hatschbachii","Loeuille, Semir & Pirani ined.","Loeuille","Glaziou, A.",NA,"1893","8",NA,NA,"Brésil",NA,NA,"Minas, Diamantina et serra de vertentes",NA,NA,"hb","Herbier de A. Glaziou donné par Mme. SIMART, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02538876' target='other'> <mi>dwc_moreinfo</mi></a>","P02538876","P02538876_01 P02538876_02",NA,NA,NA,NA,NA,NA,NA,NA,"20372",NA,NA,NA,NA
"15","2020-12-11 11:33:10-03","UFMG","BHCB","53567","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","hatschbachii","Lychnophora hatschbachii","(H.Rob.) Loeuille & Semir & Pirani",NA,"Guimarães, DAS","s.n.","2000","09","08","Southern America","Brasil","Minas Gerais","Diamantina","Arredores de Diamantina.","-43.6002998352051","-18.2493991851807",NA,"Plantas do Brasil.","BHCB025620",NA,"2015","06",NA,NA,NA,NA,"101169","auto",NA,NA,NA,NA,NA
"16","2020-12-11 11:33:10-03","UFMG","BHCB","134295","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","hatschbachii","Lychnophora hatschbachii","(H.Rob.) Loeuille & Semir & Pirani",NA,"Hattori, EKO; Viana, PL; Cardoso, D; Salas, R","1013","2009","10","31","Southern America","Brasil","Minas Gerais","Gouveia","Estrada para Barão do Guaicui.","-43.7407989501953","-18.4543991088867",NA,"Arborescente, ca. 2 m, brácteas involucrais púrpuras, corola roxa, estames brancos.; Campo rupestre com afloramentos rochosos em meio a solo arenoso.","BHCB025560",NA,"2015","06",NA,NA,NA,NA,"37970","auto",NA,NA,NA,NA,NA
"17","2020-12-11 11:33:10-03","UFMG","BHCB","43307","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","hatschbachii","Lychnophora hatschbachii","(H.Rob.) Loeuille & Semir & Pirani",NA,"Hatschbach, G; Hatschbach, M; Barbosa, E","66511","1997","03","19","Southern America","Brasil","Minas Gerais","Diamantina","Rodovia Guinda - Conselheiro Mata.","-43.6002998352051","-18.2493991851807",NA,"Arbusto, 2,5m, ramificado no ápice. Capítulo levemente rosado.; Campo rupestre, solo arenoso.","BHCB025677",NA,"2015","06",NA,NA,NA,NA,"101169","auto",NA,NA,NA,NA,NA
"18","2020-12-11 11:33:10-03","UFMG","BHCB","56092","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","hatschbachii","Lychnophora hatschbachii","(H.Rob.) Loeuille & Semir & Pirani",NA,"Glaziou, AFM","19479","1892","04","04","Southern America","Brasil","Minas Gerais","Diamantina","Serra dos Cristais, Perto de Diamantina.","-43.6002998352051","-18.2493991851807",NA,"Arbusto. Flor lilás.","BHCB025557",NA,"2015","06",NA,NA,NA,NA,"101169","auto",NA,NA,NA,NA,NA
"19","2021-01-29 15:12:00-03","MO","MOBOT","2704605","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnophora","hatschbachii","Lychnophora hatschbachii","(H. Rob.) Loeuille, Semir & Pirani","fide Loeuille et al.","Gert G. Hatschbach|V. Nicolack","Hatschbach 53058","1989","5","21","South America","Brazil","Minas Gerais",NA,"Rod. Guinda-Cons. Mata, km 20 (mun. Diamantina) Minas Gerias.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1000.00000000",NA,NA,NA,NA,"Holotype",NA,NA,NA
"20","2020-09-12 05:00:02-03","US","US","3128501","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Lychnophoriopsis","hatschbachii","Lychnophoriopsis hatschbachii","H. Rob.",NA,"G. Hatschbach & V. Nicolack","53058","1989","5","21","South America - Neotropics","Brazil","Minas Gerais","Diamantina","Rod. Guinda-Cons. Mata, km 20.","-43.6002998352051","-18.2493991851807",NA,NA,"US00386309","US00386309_01",NA,NA,NA,NA,"1000","1000","101169","auto",NA,"Isotype","Dicotyledonae","1",NA
"21","2020-09-12 05:00:02-03","US","US","3353703","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Lychnophoriopsis","hatschbachii","Lychnophoriopsis hatschbachii","H. Rob.",NA,"G. Hatschbach, M. M. Hatschbach & E. L. Barbosa","66511","1997","3","19","South America - Neotropics","Brazil","Minas Gerais",NA,"Rod, Guinda-Consleheiro Mata (Mun. Diamantina)",NA,NA,NA,NA,"US01636488","US01636488_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"22","2019-11-13 11:16:25-03","USP","SPF","192233","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnophora","hatschbachii","Lychnophora hatschbachii","(H.Rob.) Loeuille, Semir & Pirani","Loeuille, B","Rosa, PO","935","2007","10","21",NA,"Brasil","Minas Gerais","Diamantina","Conselheiro Mata","-43.970833","-18.281111",NA,NA,"SPF00192233",NA,"2016",NA,"-43.970833","-18.281111","1062","1062",NA,NA,NA,NA,NA,NA,NA
"23","2019-11-13 11:16:25-03","USP","SPF","214898","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnophora","hatschbachii","Lychnophora hatschbachii","(H.Rob.) Loeuille, Semir & Pirani","Loeuille, B","Loeuille, B","613","2012","04","25",NA,"Brasil","Minas Gerais","Diamantina","Estrada MG 220, Diamantina#?#Conselheiro Mata, km 161, a 31 km da Rodovia BR 367, margem direita.","-43.899444","-18.312972",NA,NA,"SPF00214898",NA,"2014",NA,"-43.899444","-18.312972","1125","1125",NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 18:25:32-03","USP","SPF","216023","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnophora","hatschbachii","Lychnophora hatschbachii","(H.Rob.) Loeuille, Semir & Pirani","Loeuille, B","Loeuille, B","829","2013","03","09",NA,"Brasil","Minas Gerais","Mato Verde","Estrada para Santo Antônio do Retiro","-42.8664016723633","-15.3971996307373",NA,"Arvoreta até 1,9 m. Flores roxas.; Cerrado.","SPF00216023",NA,"2013",NA,NA,NA,NA,NA,"24219","auto",NA,NA,NA,NA,NA
"25","2019-11-13 11:16:27-03","USP","SPF","193197","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnophoriopsis","hatschbachii","Lychnophoriopsis hatschbachii","H.Rob.","Loeuille, B","Nakajima, JN","3104","2001","04","01",NA,"Brasil","Minas Gerais","Diamantina",NA,"-43.909167","-18.314444",NA,NA,"SPF00193197",NA,"2009",NA,"-43.909167","-18.314444","1221","1221",NA,NA,NA,NA,NA,NA,NA
"26","2020-04-29 16:29:34-03","UFVJM","HDJF","7103","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Lychnophoriopsis","hatschbachii","Lychnophoriopsis hatschbachii","H.Rob.","Faria, JEQ","Faria, JEQ; Proença, CEB; Caires, CS","7212","2017","03","01","Southern America","Brasil","Minas Gerais","Diamantina","Margem da estrada para Conselheiro Mata","-43.965278","-18.280556",NA,NA,"HDJF007103",NA,"2017","03","-43.965278","-18.280556","1047","1047",NA,NA,NA,NA,NA,NA,NA
"27","2019-05-06 11:53:41-03","UFU","HUFU","77294","S","Plantae",NA,NA,"Asteraceae","Lychnophora","hatschbachii","Lychnophora hatschbachii","H.Rob.",NA,"Monge, M.; Semir, J.; Lopes, N.P.; Ernst, M. & Pavarini, D.P.","1402","2013","02","19",NA,"Brasil","Minas Gerais","Diamantina","Estrada Diamantina-Conselheiro Mata, Km 185, ca. de 50m. da estrada ao lado esquerdo, sentido Conselheiro Mata.","-43.569444","-17.458333",NA,NA,"HUFU00075038",NA,NA,NA,"-43.569444","-17.458333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-05-06 11:53:41-03","UFU","HUFU","49744","S","Plantae",NA,NA,"Asteraceae","Lychnophoriopsis","hatschbachii","Lychnophoriopsis hatschbachii","H.Rob.","Marques, D.","Rosa, P.O.; Santos, A.P.M.; Nakajima, J.N. & Mello, F.N.A.","935","2007","10","21",NA,"Brasil","Minas Gerais","Conselheiro Mata","Trilha para o Telésforo, Morro próximo a cidade.",NA,NA,NA,"Arvoreta, ca. 1,60 m. Capítulos com brácteas involucrais marrons.; Campo rupestre.","HUFU00048080","HUFU00048080","2013","03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-08-20 14:55:11-03","UFSC","FLOR","28744","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Lychnophora","hatschbachii","Lychnophora hatschbachii","(H.Rob.) Loeuille, Semir & Pirani","Loeuille, B.F.P.","Hatschbach, G.; Hatschbach, M. & Barbosa, E.","66511","1997","03","19",NA,"Brasil","Minas Gerais","Diamantina","Rod. Guinda-Conselheiro Mata.","-43.6002998352051","-18.2493991851807",NA,"arbusto, ramificado no ápice, flor capítulos levemente rosados, 2,5m altura. Nota da Curadoria: o nome (Lychnophora hatschbachii) não consta na Lista do Brasil (em 23/5/2014). Possivelmente a publicação esteja em processo.","FLOR0028744",NA,"2014","05",NA,NA,NA,NA,"101169","auto",NA,NA,NA,NA,"23"
