"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","order","recordNumber","continentOcean","locality","preparationType","occurrenceRemarks","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","infraspecificEpithet","fieldNumber","individualCount","sex"
"1","2021-04-05 14:25:14-03","UNESC","CRI","463","PreservedSpecimen","Plantae","Euphorbiaceae","Jatropha","curcas","Jatropha curcas","L.","Vanilde Citadini- Zanette","V. Citadini-Zanette; F. E. Marcomin","1990","01","18","Brasil","Santa Catarina","Tubarão","-49.007222","-28.467222","49º0'26''W","28º28'2''S","9","9","CRI002433","CRI002433",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01418236","PreservedSpecimen","Plantae","Euphorbiaceae","Jatropha","curcas","Jatropha curcas","L.",NA,"E. P. Killip","1929","10","23","Brazil","Pará",NA,NA,NA,NA,NA,NA,NA,"NY01418236","NY01418236_01","Magnoliophyta","Malpighiales","30215","South America","Breves, Amazon estuary.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1668560' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","754672","PreservedSpecimen","Plantae","Euphorbiaceae","Jatropha","curcas","Jatropha curcas","L.","D. C. Daly","K. A. Kainer","1989","09","25","Brazil","Acre","Xapuri","-68.5044","-10.6517",NA,NA,NA,NA,"NY00754672","NY00754672_01","Magnoliophyta","Malpighiales","83","South America","Ser. Cachoeira, Col. Sao Luis, Sucam 37.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=897130' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","40099","PreservedSpecimen","Plantae","Euphorbiaceae","Jatropha","curcas","Jatropha curcas","L.","S. R. King","S. R. King","1987","07","26","Paraguay",NA,NA,"-58","-24",NA,NA,NA,NA,"NY00040099",NA,"Magnoliophyta","Malpighiales","777","South America","Side of road near house, 3km before Emboscada, right side, leaving Asunción","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=300025' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","196637","PreservedSpecimen","Plantae","Euphorbiaceae","Jatropha","curcas","Jatropha curcas","L.",NA,"W. de Jong","1986","06","01","Peru","Loreto","Requena","-73.75","-4.92",NA,NA,NA,NA,"NY00196637",NA,"Magnoliophyta","Malpighiales","86","South America","Santa Rosa, Ucayali River","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=300029' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","754673","PreservedSpecimen","Plantae","Euphorbiaceae","Jatropha","curcas","Jatropha curcas","L.","D. C. Daly","K. A. Kainer","1989","09","25","Brazil","Acre","Xapuri","-68.5044","-10.6517",NA,NA,NA,NA,"NY00754673","NY00754673_01","Magnoliophyta","Malpighiales","83","South America","Ser. Cachoeira, Col. Sao Luis, Sucam 37.","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=897133' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00862932","PreservedSpecimen","Plantae","Euphorbiaceae","Jatropha","curcas","Jatropha curcas","L.","B. Dehgan","W. R. Anderson","1973","04","19","Brazil","Minas Gerais",NA,"-44.45237","-15.56637",NA,NA,"575","575","NY00862932","NY00862932_01","Magnoliophyta","Malpighiales","9149","South America","13 km by road W of Januária on road to Serra das Araras, ca. 2 km E of large limestone hill","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=949412' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1028192","PreservedSpecimen","Plantae","Euphorbiaceae","Jatropha","curcas","Jatropha curcas","L.",NA,"S. L. M. Moore","1891",NA,NA,"Brazil","Mato Grosso",NA,NA,NA,NA,NA,NA,NA,"NY01028192","NY01028192_01","Magnoliophyta","Malpighiales","666","South America","Iter Matogrossense","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1178104' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01157760","PreservedSpecimen","Plantae","Euphorbiaceae","Jatropha","curcas","Jatropha curcas","L.","M. H. Nee","B. C. Bennett","1990","07","01","Ecuador","Napo",NA,NA,NA,NA,NA,NA,NA,"NY01157760",NA,"Magnoliophyta","Malpighiales","4195","South America","2km N of Jatun Sacha Biological Station","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=759325' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01418235","PreservedSpecimen","Plantae","Euphorbiaceae","Jatropha","curcas","Jatropha curcas","L.","G. T. Prance","G. T. Prance","1973","08","16","Brazil","Amazonas",NA,NA,NA,NA,NA,NA,NA,"NY01418235","NY01418235_01","Magnoliophyta","Malpighiales","18750","South America","Lages, north bank of Rio Solimões opposite meeting of the waters.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1325008' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
