"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","day","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","fieldNumber","individualCount","typeStatus","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","797770","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Gochnatia","rotundifolia","Gochnatia rotundifolia","Less.","L. Riedel","1821/1140","1833","12","South America","Brazil","São Paulo","Pr. St. Paulo","sheet","Iter Brasiliense 1835 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=325849' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797770","NY00797770_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01091386","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Gochnatia","rotundifolia","Gochnatia rotundifolia","Less.","B. J. Pickel","1038","1942","02","South America","Brazil","São Paulo","Capital (Vila Prudente)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1230414' target='other'> <mi>dwc_moreinfo</mi></a>","NY01091386","NY01091386_01","M. Monge","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","797776","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Gochnatia","rotundifolia","Gochnatia rotundifolia","Less.","W. Hoehne",NA,"1942","01","South America","Brazil","São Paulo","Pr. Sao Miguel","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=325848' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797776","NY00797776_01","W. Hoehne","14","Sao Paulo","-46.63","-23.5403",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:34:50-03","EAO","IAN","24186","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Gochnatia","rotundifolia","Gochnatia rotundifolia","Less.","Sellow, F","5607",NA,NA,"Southern America","Brasil",NA,NA,NA,NA,"IAN024186",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:10:30-03","UFBA","ALCB","039807","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Gochnatia","rotundifolia","Gochnatia rotundifolia","Less.","Hoehne, W","s/n","1942","01","Southern America","Brasil","São Paulo","Pr. São Miguel",NA,NA,NA,NA,"Hoehne, W","14","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto",NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:49:49-03","NBC","NL-BOTANY","L.1305317","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Gochnatia","rotundifolia","Gochnatia rotundifolia","Less.","Riedel L",NA,NA,NA,"Southern America","Brazil",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1305317 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1305317","NL-L1305317",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:01:41-03","ESALQ","ESA","39919","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Gochnatia","rotundifolia","Gochnatia rotundifolia","Less.","Hoehne, W.",NA,"1942","01",NA,"Brasil","São Paulo",NA,NA,NA,"ESA039919","ESA039919","Hoehne, W.","14","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto",NA,NA,NA,NA,NA,NA,NA
"8","2021-01-14 15:24:08-03","MN","R","86202","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Gochnatia","rotundifolia","Gochnatia rotundifolia","Less.","Glaziou, A.F.M.","12061","1880","06",NA,"Brasil","Rio de Janeiro",NA,NA,"Plantas do Brasil Central","R000086202","R000086202_001",NA,"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-07-26 11:39:27-03","IPA","IPA","63616","S","Plantae","Plantae",NA,"Asteraceae","Gochnatia","rotundifolia","Gochnatia rotundifolia","Less.","Hoehne, W.","63616","1942","01","Southern America","Brasil","São Paulo","Pr. São Miguel, campo seco.",NA,NA,"IPA0063616","IPA0063616","Hoehne, W.","14","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:26:12-03","UNICAMP","UEC","177439","S","Plantae","Magnoliopsida",NA,"Asteraceae","Vickia","rotundifolia","Vickia rotundifolia","(Less.) Roque & G.Sancho","Pickel, DBJ","s.n.","1942","02",NA,"Brazil","São Paulo","Bairro de Vila Prudente, campo alto.",NA,"Arbusto até 50 cm altura; inflorescências brancas.","UEC125672","UEC125672","Roque, N","02","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto",NA,"2020","08",NA,NA,NA,NA
