"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","continentOcean","preparationType","previousCatalogNumber","phylum","order","typeStatus","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","fieldNumber","individualCount","infraspecificEpithet","sex"
"1","2021-04-05 14:25:31-03","UNESC","CRI","976","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cabucu","Miconia cabucu","Hoehne","Vanilde Citadini- Zanette","Vanilde Citadini-Zanette; Jairo José Zocche & Aurélio José de Aguiar","1275","1990","10","31","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI004386","CRI004386",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:31-03","UNESC","CRI","3285","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cabucu","Miconia cabucu","Hoehne","Vanilde Citadini- Zanette","Vanilde Citadini-Zanette; Jairo José Zocche & Aurélio José de Aguiar","1792","1992","08","25","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI004384","CRI004384",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:31-03","UNESC","CRI","711","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cabucu","Miconia cabucu","Hoehne",NA,"Vanilde Citadini-Zanette; Jairo José Zocche & Aurélio José de Aguiar","1061","1990","10","31","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI004388","CRI004388",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:41-03","UNESC","CRI","4404","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cabucu","Miconia cabucu","Hoehne","V. C. Zanette","Valdemar Boff","74","1995","10","24","Brasil","Santa Catarina","Urussanga","Belvedere.","-49.321111","-28.518333","49º19'16''W","28º31'6''S","48","48","CRI004385","CRI004385","Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:31-03","UNESC","CRI","9232","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cabucu","Miconia cabucu","Hoehne",NA,"Birgit Harter Marques; Ricardo Vicente",NA,"2006","10","23","Brasil","Santa Catarina","Siderópolis","Malha II Leste.","-49.425278","-28.598889","49º25'31''W","28º35'56''S",NA,NA,"CRI004389","CRI004389",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:31-03","UNESC","CRI","14856","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cabucu","Miconia cabucu","Hoehne","Alecsandro Shardosim Klein","Alecsandro Shardosim Klein; Rafael Martins",NA,"2002","08","23","Brasil","Santa Catarina","Treviso","USITESC","-49.471389","-28.465","49º28'17''W","28º27'54''S","237","237","CRI014190","CRI014190","Habito: Arbustivo","2002","08","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:31-03","UNESC","CRI","3815","PreservedSpecimen","Plantae","Melastomataceae","Miconia","cabucu","Miconia cabucu","Hoehne","Clair Maria Martinello","Z. P. Topanotti",NA,"1995","09","10","Brasil","Santa Catarina","Nova Veneza",NA,"-49.498056","-28.637222","49º29'53''W","28º38'14''S","74","74","CRI004390","CRI004390","Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:41:32-03","E","E","196784","PreservedSpecimen","Plantae","Melastomataceae","Miconia","altissima","Miconia altissima",NA,NA,"Bohrer, C.","265","1905","06","18","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E00196784",NA,"<a href=http://data.rbge.org.uk/herb/E00196784 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:228520",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01318279","PreservedSpecimen","Plantae","Melastomataceae","Miconia","altissima","Miconia altissima","Cogn.","M. K. Caddah","M. K. Caddah","731","2010","01","19","Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos, trilha para Pedra do Sino","-43.013889","-22.449167",NA,NA,"1600","1600","NY01318279","NY01318279_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1305621' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","38516","PreservedSpecimen","Plantae","Melastomataceae","Miconia","altissima","Miconia altissima","Cogn.",NA,"A. F. M. Glaziou","16909","1887","11","19","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"NY00038516","NY00038516_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=420416' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Myrtales","type",NA,NA,NA,NA,NA,NA,NA,NA,NA
