"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","barcode","imagecode","recordNumber","minimumElevationInMeters","maximumElevationInMeters","continentOcean"
"1","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","749","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","eltoniana","Vriesea eltoniana","E.Pereira","Elton. C. M. Leme","2011","08","Elton M. C. Leme; Ludovic Kollmann","2010","03","25","Brasil","Minas Gerais","Santa Maria do Salto","Cerca de 6 Km após a cidade, em direção a Talismã. Topo de morro granítico em afloramentos","-40.1493988037109","-16.2488994598389","40°08,28'","16°17,16'","24863","1","254","auto",NA,NA,NA,NA,NA,NA
"2","2021-02-08 19:35:00-03","MN","R","225335","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","eltoniana","Vriesea eltoniana","E. Pereira & I.A. Penna","Neves, B.F.S.",NA,NA,"Neves, B.F.S. 387; Costa, A.F.","2015","10","14","Brasil","Rio de Janeiro","Arraial do Cabo","Ilha do Cabo Frio","-41.987028","-22.994333","41°59'13,3''W","22°59'39,6''S",NA,NA,NA,NA,"R010012053","R010012053",NA,NA,NA,NA
"3","2021-02-07 08:35:14-03","MN","R","229494","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","eltoniana","Vriesea eltoniana","E. Pereira & I.A. Penna",NA,NA,NA,"Neves, B.F.S.","2013","11","07","Brasil","Rio de Janeiro",NA,"Ilha de Cabo Frio. Trilha para o Farol Velho.",NA,NA,NA,NA,NA,NA,NA,NA,"R010022213",NA,"186",NA,NA,NA
"4","2021-02-07 08:35:14-03","MN","R","182437","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","eltoniana","Vriesea eltoniana","E. Pereira & I.A. Penna",NA,NA,NA,"Segadas-Vianna, F.","1953","08","08","Brasil","Rio de Janeiro","Arraial do Cabo",NA,"-42.0278015136719","-22.966100692749",NA,NA,"25964",NA,NA,"auto","R010017266",NA,"711",NA,NA,NA
"5","2021-02-07 08:35:14-03","MN","R","223206","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","eltoniana","Vriesea eltoniana","E. Pereira & I.A. Penna","Costa, A.F.","2000","08","Costa, A.F. 791","2000","08",NA,"Brasil","Rio de Janeiro","Arraial do Cabo",NA,"-42.0278015136719","-22.966100692749",NA,NA,"25964",NA,NA,"auto","R010012055","R010012055",NA,"350","350",NA
"6","2021-02-07 08:35:14-03","MN","R","188791","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","eltoniana","Vriesea eltoniana","E. Pereira & I.A. Penna",NA,NA,NA,"Costa, A.F.","1995","08",NA,"Brasil","Rio de Janeiro","Maricá",NA,"-42.8185997009277","-22.9193992614746",NA,NA,"20726",NA,NA,"auto","R010012054",NA,"510",NA,NA,NA
"7","2021-02-07 08:35:14-03","MN","R","212953","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","eltoniana","Vriesea eltoniana","E. Pereira & I.A. Penna","Costa, A.","2000","08","Costa, A.F. 792","2000","08",NA,"Brasil","Rio de Janeiro","Arraial do Cabo","Ilha de Cabo Frio.","-42.0278015136719","-22.966100692749",NA,NA,"25964",NA,NA,"auto","R010012061","R010012061",NA,NA,NA,NA
"8","2021-02-07 08:35:14-03","MN","R","212954","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","eltoniana","Vriesea eltoniana","E. Pereira & I.A. Penna","Costa, A.","2000","08","Costa, A.F.","2000","08",NA,"Brasil","Rio de Janeiro","Arraial do Cabo","Ilha de Cabo Frio.","-42.0278015136719","-22.966100692749",NA,NA,"25964",NA,NA,"auto","R010012060","R010012060","772",NA,NA,NA
"9","2021-02-07 08:35:14-03","MN","R","212957","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","eltoniana","Vriesea eltoniana","E. Pereira & I.A. Penna","Costa, A.","2000","08","Costa, A.F.","2000","08",NA,"Brasil","Rio de Janeiro","Arraial do Cabo","Ilha de Cabo Frio.","-42.0278015136719","-22.966100692749",NA,NA,"25964",NA,NA,"auto","R010012057","R010012057","796",NA,NA,NA
"10","2021-02-07 08:35:14-03","MN","R","212952","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","eltoniana","Vriesea eltoniana","E. Pereira & I.A. Penna","Costa, A.F.","2000","08","Costa, A.F.","2000","08",NA,"Brasil","Rio de Janeiro","Arraial do Cabo","Ilha de Cabo Frio.","-42.0278015136719","-22.966100692749",NA,NA,"25964",NA,NA,"auto","R010012062,R010012056","R010012056 R010012056_1 R010012062","773","350","350",NA
"11","2021-02-07 08:35:14-03","MN","R","212958","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","eltoniana","Vriesea eltoniana","E. Pereira & I.A. Penna","Costa, A.","2000","08","Costa, A.F.","2000","08",NA,"Brasil","Rio de Janeiro","Arraial do Cabo","Ilha de Cabo Frio.","-42.0278015136719","-22.966100692749",NA,NA,"25964",NA,NA,"auto","R010012058","R010012058","771",NA,NA,NA
"12","2021-02-07 08:35:14-03","MN","R","212959","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","eltoniana","Vriesea eltoniana","E. Pereira & I.A. Penna","Costa, A.F.","2000","08","Costa, A.F.","2000","08",NA,"Brasil","Rio de Janeiro","Arraial do Cabo","Ilha de Cabo Frio.","-42.0278015136719","-22.966100692749",NA,NA,"25964",NA,NA,"auto","R010012059","R010012059","798",NA,NA,NA
"13","2021-04-07 17:00:40-03","MN","R","225671","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","eltoniana","Vriesea eltoniana","E. Pereira & I.A. Penna",NA,NA,NA,"Alves, R.J.V. 6470; Costa, A.F. & Lima, D.M.","1999","01","25","Brasil","Rio de Janeiro","Arraial do Cabo","Ilha do Cabo Frio","-42.0278015136719","-22.966100692749",NA,NA,"25964",NA,NA,"auto","R010002735","R010002735",NA,NA,NA,NA
"14","2021-02-07 08:35:14-03","MN","R","227468","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","eltoniana","Vriesea eltoniana","E. Pereira & I.A. Penna",NA,NA,NA,"Coelho, H. 66; Silva, N.","2005",NA,NA,"Brasil","Rio de Janeiro","Arraial do Cabo","Ilha do Cabo Frio","-42.0278015136719","-22.966100692749",NA,NA,"25964",NA,NA,"auto","R010002014","R010002014",NA,NA,NA,NA
"15","2020-12-21 16:19:33-03","MBM","MBM","240317","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","eltoniana","Vriesea eltoniana","E. Pereira & Penna","Leme, E.M.C.",NA,NA,"Carneiro, J.","1998","07","23","Brazil","Paraná","São José dos Pinhais","Rio Castelhanos","-49.2064018249512","-25.5347003936768",NA,NA,"45291",NA,NA,"auto","MBM240317","MBM240317","525",NA,NA,"Southern America"
