"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","fieldNumber","typeStatus","individualCount","relatedCatalogItem"
"1","2016-09-30 20:02:00-03","NY","NYBG","02104525","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","angustifolia","Leandra angustifolia","M. Reginato","S. J. da Silva Neto","1633","2002","01","17","South America","Brazil","Rio de Janeiro","Nova Iguaçú","Margem do rio São Pedro.","-43.4508","-22.7594","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2568724' target='other'> <mi>dwc_moreinfo</mi></a>","NY02104525","NY02104525_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-30 20:02:00-03","NY","NYBG","02104523","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","angustifolia","Leandra angustifolia","M. Reginato","Alieta de Souza Leão","28","1978","02","21","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Parque Nacional da Tijuca. Mesa do Imperador, caminho da mata do lado direto.","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2568719' target='other'> <mi>dwc_moreinfo</mi></a>","NY02104523","NY02104523_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02104528","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","angustifolia","Leandra angustifolia","M. Reginato","A. M. S. da F. Vaz","180","1977","07","22","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Mesa do Imperador, estrada da Vista Chinesa.","-43.257779","-22.970378","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2568779' target='other'> <mi>dwc_moreinfo</mi></a>","NY02104528","NY02104528_01","DC.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-30 20:01:00-03","NY","NYBG","02104788","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","angustifolia","Leandra angustifolia","M. Reginato","A. C. Brade","16149","1939","12",NA,"South America","Brazil","Rio de Janeiro","Petrópolis","Petropolis","-43.1783","-22.505","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2568447' target='other'> <mi>dwc_moreinfo</mi></a>","NY02104788","NY02104788_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","522746","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","angustifolia","Leandra angustifolia","M. Reginato","S. G. da Vinha","104","1968","03","22","South America","Brazil","Bahia","Porto Seguro","Parque Nacional de Monte Pascoal","-39.4166","-16.8833","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=363835' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522746","NY00522746_01","DC.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-30 20:02:00-03","NY","NYBG","02104548","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","angustifolia","Leandra angustifolia","M. Reginato","O. C. Goés","76","1947",NA,NA,"South America","Brazil","Rio de Janeiro","Petrópolis",NA,"-43.1783","-22.505","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2569095' target='other'> <mi>dwc_moreinfo</mi></a>","NY02104548","NY02104548_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02104787","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","angustifolia","Leandra angustifolia","M. Reginato","A. C. Brade","18863","1948","02",NA,"South America","Brazil","Rio de Janeiro","Itatiaia","Itatiaia. Lote 21.","-44.65833","-22.358","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2568440' target='other'> <mi>dwc_moreinfo</mi></a>","NY02104787","NY02104787_01","DC.","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02104786","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","angustifolia","Leandra angustifolia","M. Reginato","A. C. Brade","19950","1949","06","01","South America","Brazil","Espírito Santo","Cachoeiro de Itapemirim","Cachoeira de Itapemirim. Vargem Alta.","-41.018318","-20.669524","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2568423' target='other'> <mi>dwc_moreinfo</mi></a>","NY02104786","NY02104786_01","DC.","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-30 20:02:00-03","NY","NYBG","02104524","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","angustifolia","Leandra angustifolia","M. Reginato","J. Almeida","1257","1972","02","23","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Estrada da Vista Chinesa","-43.257166","-22.971675","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2568723' target='other'> <mi>dwc_moreinfo</mi></a>","NY02104524","NY02104524_01",NA,"430","430",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02104789","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","angustifolia","Leandra angustifolia","M. Reginato","A. C. Brade","17220","1942","03","14","South America","Brazil","Rio de Janeiro","Itatiaia","Lote 17","-44.65833","-22.358","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2568456' target='other'> <mi>dwc_moreinfo</mi></a>","NY02104789","NY02104789_01","DC.","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
