"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","continentOcean","individualCount","class","order","typeStatus","coordinatePrecision","preparationType","geoFlag"
"1","2021-03-01 16:20:32-03","UNICAMP","UEC","100532","S","Plantae","Liliopsida","Poaceae","Melica","arzivencoi","Melica arzivencoi","Valls & Barcellos","Shirasuna, RT","2011","03","25","Shepherd, GJ; Goldenberg, R; Belinello, R; Galvão, JC; Santos, MV","97-91","1997","02","19","Brazil","São Paulo","Queluz","Pedra da Mina","-44.842778","-22.428056","-44.842778","-22.428056","2770","2770","Vegetação subarbustiva e herbácea sobre pedras. Erva com 20cm.","UEC063235","UEC063235",NA,NA,NA,NA,NA,NA,NA,NA
"2","2012-09-13 06:48:00-03","MO","MOBOT","244544","PreservedSpecimen","Plantae",NA,"Poaceae","Melica","arzivencoi","Melica arzivencoi","Valls & Barcellos",NA,NA,NA,NA,"José F.M. Valls|L. Arzivenco","Valls 1411","1970","12","30","Brazil","Santa Catarina",NA,"Bom Jesus, Serra da Rocinha.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA
"3","2012-04-25 16:35:00-03","MO","MOBOT","2957098","PreservedSpecimen","Plantae",NA,"Poaceae","Melica","arzivencoi","Melica arzivencoi","Valls & Barcellos",NA,NA,NA,NA,"Agnes Chase","Chase 8297","1925","1","17","Brazil","Rio de Janeiro",NA,"Platy soil among rocks, scarce, above timberline. Alto de Itatiara.",NA,NA,NA,NA,"2200.00000000","2400.00000000",NA,NA,NA,"South America","1",NA,NA,NA,NA,NA,NA
"4","2020-09-12 05:00:02-03","US","US","1257299","PreservedSpecimen","Plantae",NA,"Poaceae","Melica","arzivencoi","Melica arzivencoi","Valls & Barcellos",NA,NA,NA,NA,"A. Chase","8297","1925","1","17","Brazil","Rio de Janeiro",NA,"Above timber line. Alto de Itatiaia.",NA,NA,NA,NA,"2200","2400",NA,NA,NA,"South America - Neotropics","1","Monocotyledonae","Cyperales",NA,NA,NA,NA
"5","2020-09-12 05:00:02-03","US","US","2653013","PreservedSpecimen","Plantae",NA,"Poaceae","Melica","arzivencoi","Melica arzivencoi","Valls & Barcellos",NA,NA,NA,NA,"J. F. M. Valls & -. Arzivenco","1411","1970","12","30","Brazil","Santa Catarina",NA,"Bom Jesus, Serra da Rocinha.",NA,NA,NA,NA,NA,NA,NA,"US00134187","US00134187_01","South America","1","Monocotyledonae","Cyperales","Isotype",NA,NA,NA
"6","2020-09-02 16:36:50-03","Cenargen","CEN","30521","PreservedSpecimen","Plantae",NA,"Poaceae","Melica","arzivencoi","Melica arzivencoi","Valls & Barcellos","J. F. M. Valls","1974","01",NA,"José Francisco Montenegro Valls","3172","1974","01","10","Brasil","SC","BOM JARDIM DA SERRA","Aparados da Serra do Rio Rastro, 11km E de Bom Jardim.","-49.624698638916","-28.3369007110596",NA,NA,NA,NA,"Doação do Herb. Depto. Bot. da U.F.R.G.S. ICN n° 25233","CEN00030521","CEN00030521",NA,"1",NA,NA,NA,"32577","Exsicatas","auto"
"7","2020-08-20 14:59:47-03","UFSC","FLOR","61936","PreservedSpecimen","Plantae",NA,"Poaceae","Melica","arzivencoi","Melica arzivencoi","Valls & Barcellos","Trevisan, R.","2014","12","12","Trevisan, R.; et al.","1609","2014","12","12","Brasil","Santa Catarina","Urubici","Parque Nacional de São Joaquim.","-49.476111","-28.123889","49º28'34''W","28º7'26''S","1709","1709",NA,"FLOR0061936","FLOR0061936",NA,NA,NA,"Poales",NA,NA,NA,NA
"8","2020-08-20 14:59:47-03","UFSC","FLOR","56478","PreservedSpecimen","Plantae",NA,"Poaceae","Melica","arzivencoi","Melica arzivencoi","Valls & Barcellos","Dalmolim, E.B.","2013","09","19","Falkenberg, D.B.","8970","1996","12","06","Brasil","Santa Catarina","Urubici","Morro da Igreja, dentro da área cercada pelo CINDACTA, nos afloramentos vulcânicos ao sul.","-49.5917015075684","-28.0149993896484",NA,NA,"1800","1800","Graminóide rizomatoso, espiguetas violáceas, alguns pelos mas nervuras da gluma superior; 0,5m altura","FLOR0056478",NA,NA,NA,NA,"Poales",NA,"30102",NA,"auto"
"9","2021-02-08 12:53:45-03","UFRGS","ICN","051170","S","Plantae","Monocotyledon","Poaceae","Melica","arzivencoi","Melica arzivencoi","Valls & Barcellos","Longhi-Wagner, H",NA,NA,NA,"Longhi-Wagner, H","1003","1981","12","21","Brasil","RS","Bom Jesus","Serra da Rocinha, junto a divisa de SC.","-50.4166984558105","-28.6678009033203",NA,NA,NA,NA,"Basalto, beira de perau, perto da estação Repetidora.",NA,NA,"América do Sul",NA,NA,NA,NA,"55856",NA,"auto"
"10","2021-02-08 12:53:45-03","UFRGS","ICN","192771","S","Plantae","Monocotyledon","Poaceae","Melica","arzivencoi","Melica arzivencoi","Valls & Barcellos",NA,NA,NA,NA,"Valls, JM; Dall'Agnol, M; Gomes, KE; Miotto, STS","8008","1984","11","23","Brasil","SC","Bom Jardim da Serra",NA,"-49.624698638916","-28.3369007110596",NA,NA,NA,NA,NA,NA,NA,"América do Sul",NA,NA,NA,NA,"32577",NA,"auto"
