"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","recordNumber","phylum","order","continentOcean","preparationType","occurrenceRemarks","coordinatePrecision","geoFlag","class","individualCount","fieldNumber","infraspecificEpithet"
"1","2021-04-05 14:33:42-03","UNESC","CRI","8570","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","versicolor","Tibouchina versicolor","(Lindl.) Cogn.","Vanilde Citadini-Zanette","2006","06","03","Alecsandro Shardosim Klein","2006","06","02","Brasil","Santa Catarina","Urussanga","Rio Carvão Alto.","-49.321389","-28.525556","49º19'17''W","28º31'32''S","300","300","CRI013666","CRI013666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:33-03","UNESC","CRI","4464","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","versicolor","Tibouchina versicolor","(Lindl.) Cogn.","Maria Leonor del Rei Souza","1998","05","18","V. P. Boff","1996","01","11","Brasil","Santa Catarina","Fraiburgo","Taquarussu.","-50.921667","-27.026667","50º55'18''W","27º1'36''S",NA,NA,"CRI004486","CRI004486",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:42-03","UNESC","CRI","8648","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","versicolor","Tibouchina versicolor","(Lindl.) Cogn.","Ilsi I. Boldrini","2007","12","12","Polliana Zocche","2007","12","12","Brasil","Santa Catarina","Siderópolis","Mina do Trevo.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111","CRI004488","CRI004488",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:42-03","UNESC","CRI","216","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","versicolor","Tibouchina versicolor","(Lindl.) Cogn.","M. Leonor Souza",NA,NA,NA,"Vanilde Citadini Zanette; V. P. Boff","1982","12","07","Brasil","Santa Catarina","Siderópolis","Alto Rio Fiorita.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111","CRI004523","CRI004523","624",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","558485","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","versicolor","Tibouchina versicolor","(Lindl.) Cogn.","J. J. Wurdack",NA,NA,NA,"R. A. Wasum","1989","12","02","Brazil","Rio Grande do Sul","Torres","Torres, Praia da Guarita","-49.735446","-29.359004",NA,NA,NA,NA,"NY00558485","NY00558485_01","6459","Magnoliophyta","Myrtales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=39783' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","558486","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","versicolor","Tibouchina versicolor","(Lindl.) Cogn.","J. J. Wurdack",NA,NA,NA,"R. A. Wasum","1989","12","02","Brazil","Rio Grande do Sul","Torres","Torres, Praia da Guarita","-49.735446","-29.359004",NA,NA,NA,NA,"NY00558486","NY00558486_01","6454","Magnoliophyta","Myrtales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=39784' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","558488","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","versicolor","Tibouchina versicolor","(Lindl.) Cogn.","J. J. Wurdack",NA,NA,NA,"G. Grazziotin","1991","01","09","Brazil","Rio Grande do Sul","Capao da Canoa","Capao da Canoa","-50.004623","-29.688273",NA,NA,NA,NA,"NY00558488","NY00558488_01","4747","Magnoliophyta","Myrtales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=39786' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","523083","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","versicolor","Tibouchina versicolor","(Lindl.) Cogn.","F. S. Meyer",NA,NA,NA,"T. M. Pedersen","1979","12","08","Brazil","Santa Catarina","Tubarao","Termas da Guarda","-49.0067","-28.4669",NA,NA,NA,NA,"NY00523083","NY00523083_01","12652","Magnoliophyta","Myrtales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=301249' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02104055","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","versicolor","Tibouchina versicolor","(Lindl.) Cogn.","F. S. Meyer",NA,NA,NA,"F. S. Meyer","2012","12","11","Brazil","Santa Catarina","Águas Mornas","Serra do Mar, Descida da Serra, sentido Florianópolis","-48.823600769043","-27.6938991546631",NA,NA,NA,NA,"NY02104055","NY02104055_01","1460A","Magnoliophyta","Myrtales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2622738' target='other'> <mi>dwc_moreinfo</mi></a>","26556","auto",NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02104073","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","versicolor","Tibouchina versicolor","(Lindl.) Cogn.","F. S. Meyer",NA,NA,NA,"F. S. Meyer","2012","12","12","Brazil","Santa Catarina","Joinville","Serra do Mar, Serra Dona Francisca, arredores do Mirante da Serra","-49.032221","-26.194031",NA,NA,NA,NA,"NY02104073","NY02104073_01","1465","Magnoliophyta","Myrtales","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2622756' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA
