"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","individualCount","occurrenceRemarks","geoFlag","recordNumber","continentOcean","preparationType","barcode","imagecode","class","typeStatus","eventTime","fieldNumber","relatedCatalogItem"
"1","2019-06-10 10:10:34-03","FZB-BH","CVJBFZB","1431","S","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Nematanthus","strigillosus","Nematanthus strigillosus","(Mart.) H.E.Moore","Carlos A. Ferreira Jr.","2009","05","24","Carlos Alberto F. Jr.; Alysson Rezende","2009","05","24","Brasil","Minas Gerais","Caeté","Serra da Piedade, área lateral (Leste) da última curva anterior ao topo da Serra","-43.6697006225586","-19.8799991607666","43°40.319'","19°49.286'","22051","1661","1661","2","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:34-03","FZB-BH","CVJBFZB","2651","S","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Nematanthus","strigillosus","Nematanthus strigillosus","(Mart.) H.E.Moore","Carlos A. Ferreira Jr.","2013","06","20","Carlos Alberto F. Jr.; Juliana Ordones","2013","06","20","Brasil","Minas Gerais","Catas Altas","Serra do Caraça, subida para capelinha","-43.4075012207031","-20.0746994018555",NA,NA,"11966",NA,NA,"1","254","auto","caf",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","929988","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Nematanthus","strigillosus","Nematanthus strigillosus","(Mart.) H.E.Moore","A. Chautems",NA,NA,NA,"H. S. Irwin","1971","01","13","Brazil","Minas Gerais",NA,"Serra do Espinhaço, near summit of Serra da Piedade, ca. 35 km E. of Belo Horizonte, near BR-31","-43.67613","-19.82237",NA,NA,NA,"1800","2000",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999762' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"30235b","South America","sheet","NY00929988","NY00929988_01",NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","929989","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Nematanthus","strigillosus","Nematanthus strigillosus","(Mart.) H.E.Moore","A. Chautems",NA,NA,NA,"L. R. Landrum","1982","02","02","Brazil","Minas Gerais",NA,"Caeté, Serra da Piedade, km 1-5 on road to top of Serra","-43.75","-19.92",NA,NA,NA,"1200","1700",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999763' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"4272","South America","sheet","NY00929989","NY00929989_01",NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","929992","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Nematanthus","strigillosus","Nematanthus strigillosus","(Mart.) H.E.Moore","A. Chautems",NA,NA,NA,"G. Eiten","1965","11","29","Brazil","Minas Gerais","Ouro Preto","ca. 4 km NE of city of Ouro Prêto, near south base of Serra da Brígida, about ¼ km upstream from the waterfall, Cachoeira das Andorinhas.","-43.5081","-20.2878",NA,NA,NA,"1100","1200",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999773' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"7010-A","South America","sheet","NY00929992","NY00929992_01",NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","929991","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Nematanthus","strigillosus","Nematanthus strigillosus","(Mart.) H.E.Moore","A. Chautems",NA,NA,NA,"A. Chautems","1983","03","16","Brazil","Minas Gerais","Ouro Preto","Ouro Preto, 4 km au NE de la ville, Cachoeira das Andorinhas.","-43.487827","-20.360845",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999770' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"14","South America","sheet","NY00929991","NY00929991_01",NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","929990","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Nematanthus","strigillosus","Nematanthus strigillosus","(Mart.) H.E.Moore","A. Chautems",NA,NA,NA,"A. Chautems","1983","03","17","Brazil","Minas Gerais",NA,"Ouro Preto, 8 km à l'est de la ville, Camarinhas.",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999765' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"22","South America","sheet","NY00929990","NY00929990_01",NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","929985","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Nematanthus","strigillosus","Nematanthus strigillosus","(Mart.) H.E.Moore","H. J. Wiehler",NA,NA,NA,"W. R. Anderson","1972","02","11","Brazil","Minas Gerais",NA,"Serra do Espinhaço, eastern slope of Pico do Itambé, first large sandstone outcrop below the summit","-43.3919444","-18.43185",NA,NA,NA,"1700","1700",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999740' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"35834","South America","sheet","NY00929985","NY00929985_01",NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","929986","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Nematanthus","strigillosus","Nematanthus strigillosus","(Mart.) H.E.Moore","H. J. Wiehler",NA,NA,NA,"H. S. Irwin","1968","02","11","Brazil","Minas Gerais",NA,"Pico de Itabirito, ca. 50 km S.E. of Belo Horizonte.","-43.8","-20.23",NA,NA,NA,"1750","1750",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999748' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"19833","South America","sheet","NY00929986","NY00929986_01",NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","929987","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Nematanthus","strigillosus","Nematanthus strigillosus","(Mart.) H.E.Moore","A. Chautems",NA,NA,NA,"H. S. Irwin","1971","01","26","Brazil","Minas Gerais",NA,"Serra do Espinhaço, base of Serra da Caraça","-43.4927778","-20.1263",NA,NA,NA,"1500","1750",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999752' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"29145","South America","sheet","NY00929987","NY00929987_01",NA,NA,NA,NA,NA
