"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","recordNumber","yearIdentified","monthIdentified","dayIdentified","occurrenceRemarks","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","sex"
"1","2021-04-05 14:33:13-03","UNESC","CRI","3629","PreservedSpecimen","Plantae","Annonaceae","Annona","emarginata","Annona emarginata","(Schltdl.) H.Rainer","R. Záchia","R. Záchia","1993","11","30","Brasil","Rio Grande do Sul","São Borja","Rio Butui.","-56.004722","-28.661111","56º0'17''W","28º39'40''S","20","20","CRI000146","CRI000146",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:24:48-03","UNESC","CRI","3640","PreservedSpecimen","Plantae","Annonaceae","Annona","emarginata","Annona emarginata","(Schltdl.) H.Rainer","R. Záchia","R. Záchia","1993","09","29","Brasil",NA,"São","Campo de laranja / Rincão - São Lucas.","-56.004722","-28.661111","56º0'17''W","28º39'40''S","68","68","CRI000123","CRI000123","1446",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:24:48-03","UNESC","CRI","3632","PreservedSpecimen","Plantae","Annonaceae","Annona","emarginata","Annona emarginata","(Schltdl.) H.Rainer","R. Záchia","R. Záchia; V. Stalter","1993","10","31","Brasil","Rio Grande do Sul","Santiago","Nazaré","-54.874722","-29.173611","54º52'29''W","29º10'25''S",NA,NA,"CRI012836",NA,"1522","1993","10","31","Com flores. Duplicatas 101936",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:13-03","UNESC","CRI","3627","PreservedSpecimen","Plantae","Annonaceae","Annona","emarginata","Annona emarginata","(Schltdl.) H.Rainer","R. Záchia","R. Záchia","1993","10","27","Brasil","Rio Grande do Sul","São Borja","Capão das Guajuviras, Estância das Bonitas.","-56.004722","-28.661111","56º0'17''W","28º39'40''S","20","20","CRI000147","CRI000147","1514",NA,NA,NA,"Habito: arbustiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:24:48-03","UNESC","CRI","3638","PreservedSpecimen","Plantae","Annonaceae","Annona","emarginata","Annona emarginata","(Schltdl.) H.Rainer","R. Záchia","R. Záchia","1993","10","01","Brasil","Rio Grande do Sul","Itaqui",NA,"-56.553333","-29.125833","56º33'12''W","29º7'33''S","53","53","CRI000122","CRI000122","1453",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:24:48-03","UNESC","CRI","9560","PreservedSpecimen","Plantae","Annonaceae","Annona","emarginata","Annona emarginata","(Schltdl.) H.Rainer","A. Stival-Santos","A. Stival-Santos; A.L. de Gasper","2009","10","25","Brasil","Santa Catarina","Indaial","Faxinal do Bepe, Parque Nacional da Serra do Itajaí.","-49.179722","-27.116111","49º10'47''W","27º6'58''S","42","42","CRI000144","CRI000144","1302","2009","10","25","Floresta Ombrófila Densa Habitat: beira da Estrada Habito: arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:24:48-03","UNESC","CRI","3274","PreservedSpecimen","Plantae","Annonaceae","Annona","emarginata","Annona emarginata","(Schltdl.) H.Rainer","Renato Záquia","Vanilde Citadini-Zanette; Aurélio José de Aguiar & Robson dos Santos","1992","01","10","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI000307","CRI000307","1894",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:24:48-03","UNESC","CRI","3631","PreservedSpecimen","Plantae","Annonaceae","Annona","emarginata","Annona emarginata","(Schltdl.) H.Rainer","R. Záchia","R. Záchia","1993","10","18","Brasil","Rio Grande do Sul","São Borja","Sanga Santa Cruz","-56.004444","-28.6575","56º0'16''W","28º39'27''S",NA,NA,"CRI012834",NA,"1485","1993","10","18","Arbusto muito florido. Duplicata ICN 101946 Habito: Arbustivo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:24:48-03","UNESC","CRI","5170","PreservedSpecimen","Plantae","Annonaceae","Annona","emarginata","Annona emarginata","(Schltdl.) H.Rainer","V. C. Zanette","V. Citadini-Zanette; T. Ike & T. Komatsubara","1996","11","01","Brasil","Santa Catarina","Lauro Muller","Rocinha.","-49.396944","-28.393333","49º23'49''W","28º23'36''S",NA,NA,"CRI000303","CRI000303","2323",NA,NA,NA,"Habito: arvoreta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:24:48-03","UNESC","CRI","3284","PreservedSpecimen","Plantae","Annonaceae","Annona","emarginata","Annona emarginata","(Schltdl.) H.Rainer","Renato Záquia","Vanilde Citadini-Zanette","1991","11","28","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300","CRI000305","CRI000305","1901",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
