"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","typeStatus","relatedCatalogItem","individualCount","fieldNumber"
"1","2021-04-05 14:26:05-03","UNESC","CRI","3036","PreservedSpecimen","Plantae","Salicaceae","Xylosma","pseudosalzmannii","Xylosma pseudosalzmannii","Sleumer","Elisete Araújo da Anunciação","Raquel Rejane Bonatto Negrelle","259","1992","07","30","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha (Bairro Itapema Norte).","-48.65","-26.15","48º39'W","26º9'S","5","5","CRI009701","CRI009701",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:08-03","UNESC","CRI","2266","PreservedSpecimen","Plantae","Salicaceae","Xylosma","pseudosalzmannii","Xylosma pseudosalzmannii","Sleumer","H. Sleumer","A. B. Coura Neto; J. A. Moreno",NA,"1983","06","23","Brasil","Rio Grande do Sul","São Lourenço do Sul","BR 116.","-51.978611","-31.365833","51º58'43''W","31º21'57''S","6","6","CRI009703","CRI009703","Habito: arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:34:08-03","UNESC","CRI","4007","PreservedSpecimen","Plantae","Salicaceae","Xylosma","pseudosalzmannii","Xylosma pseudosalzmannii","Sleumer","J. A. Jarenkow","J. A. Jarenkow",NA,"1989","10","15","Brasil","Rio Grande do Sul","Morro Redondo","ca. 5 km antes da cidade.","-52.632222","-31.588889","52º37'56''W","31º35'20''S",NA,NA,"CRI009704","CRI009704","Habito: arbórea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","441881","PreservedSpecimen","Plantae","Salicaceae","Xylosma","pseudosalzmanii","Xylosma pseudosalzmanii","Sleumer","S. F. Smith","A. Kegler","290","1999","10","22","Brazil","Rio Grande do Sul","Caxias do Sul","Linha Sao Pedro-3a légua","-51.1792","-29.1683",NA,NA,"780","780","NY00441881","NY00441881_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=553337' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","375977","PreservedSpecimen","Plantae","Salicaceae","Xylosma","pseudosalzmanii","Xylosma pseudosalzmanii","Sleumer","H. O. Sleumer","G. G. Hatschbach","19346","1968","06","10","Brazil","Paraná","Sao Jorge d'Oeste","Rio Iguaçu, Salto Osório","-53.008927","-25.537385",NA,NA,NA,NA,"NY00375977","NY00375977_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=553338' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","375979","PreservedSpecimen","Plantae","Salicaceae","Xylosma","pseudosalzmanii","Xylosma pseudosalzmanii","Sleumer",NA,"B. Rambo","49163","1950","11","20","Brazil","Rio Grande do Sul","Esteio","Esteio prope S. Leopoldo","-51.1792","-29.8617",NA,NA,NA,NA,"NY00375979",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=553347' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","375981","PreservedSpecimen","Plantae","Salicaceae","Xylosma","pseudosalzmanii","Xylosma pseudosalzmanii","Sleumer","H. O. Sleumer","G. Jönsson","490","1914","06","02","Brazil","Paraná","Jaguariaíva","Jaguariaíva","-49.7056","-24.2511",NA,NA,NA,NA,"NY00375981","NY00375981_01","Pollen material removed by Bekech, 25 jul 1990 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=553344' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","375980","PreservedSpecimen","Plantae","Salicaceae","Xylosma","pseudosalzmanii","Xylosma pseudosalzmanii","Sleumer","H. O. Sleumer","G. G. Hatschbach","19346","1968","06","10","Brazil","Paraná","Sao Jorge d'Oeste","Rio Iguaçu, Salto Osorio","-53.008927","-25.537385",NA,NA,NA,NA,"NY00375980","NY00375980_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=553340' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","375972","PreservedSpecimen","Plantae","Salicaceae","Xylosma","pseudosalzmanii","Xylosma pseudosalzmanii","Sleumer","G. G. Hatschbach","G. G. Hatschbach","36647","1975","04","16","Brazil","Paraná","Morretes","Estrada da Graciosa","-48.8342","-25.4769",NA,NA,NA,NA,"NY00375972","NY00375972_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=553342' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","375975","PreservedSpecimen","Plantae","Salicaceae","Xylosma","pseudosalzmanii","Xylosma pseudosalzmanii","Sleumer","S. J. Smith; L. B. Smith","G. G. Hatschbach","14613","1966","08","17","Brazil","Paraná","Campina Grande do Sul","Sitio do Belizário","-49.0553","-25.3058",NA,NA,NA,NA,"NY00375975","NY00375975_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=553336' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
