"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","order","coordinatePrecision","occurrenceRemarks","geoFlag","recordNumber","continentOcean","preparationType","class","individualCount"
"1","2021-04-05 14:25:06-03","UNESC","CRI","7560","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","platzmannii","Vriesea platzmannii","E.Morren","Telma Elyta V. Azeredo","2006","11","15","Telma Elyta V. Azeredo","2006","11","07","Brasil","Santa Catarina","Nova Veneza","Fazenda Vale do Paraíso - Rio Cedro Alto.","-49.498056","-28.637222","49º29'53''W","28º38'14''S","74","74","CRI001841","CRI001841",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","27","S","Plantae","Bromeliaceae","Vriesea","platzmannii","Vriesea platzmannii","E.Morren","Elton. C. M. Leme","2011","08",NA,"Elton M. C. Leme; Gustavo Martinelli e Roberto Kautsky","1982","05","06","Brasil","Espírito Santo","Alfredo Chaves",NA,"-40.749698638916","-20.6350002288818",NA,NA,NA,NA,NA,NA,"Magnoliophyta","Poales","32447","254","auto",NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02450167","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","platzmannii","Vriesea platzmannii","E.Morren",NA,NA,NA,NA,"L. B. Smith","1952","02","21","Brazil","Paraná","Guaratuba",NA,"-48.6","-25.9",NA,NA,"2",NA,"NY02450167","NY02450167_01","Magnoliophyta","Poales",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2639958' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"5744","South America","sheet",NA,NA
"4","2019-12-04 15:26:26-03","PUCPR","HUCP","23219","S","Plantae","Bromeliaceae","Vriesea","platzmanni","Vriesea platzmanni","Mez","Kersten, RA",NA,NA,NA,"Bonaldi, R","2012","11","26","Brasil","Paraná","Pontal do Paraná",NA,"-48.511100769043","-25.6735992431641",NA,NA,NA,NA,NA,NA,"Monocotiledonea",NA,"19508",NA,"auto","598",NA,NA,NA,NA
"5","2019-12-04 15:26:26-03","PUCPR","HUCP","21738","S","Plantae","Bromeliaceae","Vriesea","platzmanni","Vriesea platzmanni","Mez","Kersten, RA",NA,NA,NA,"Kersten, RA","2001","01","10","Brasil","Paraná","Pontal do Paraná",NA,"-48.511100769043","-25.6735992431641",NA,NA,NA,NA,NA,NA,"Monocotiledonea",NA,"19508",NA,"auto","1513",NA,NA,NA,NA
"6","2021-02-07 08:35:22-03","MN","R","215466","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","platzmannii","Vriesea platzmannii","E. Morren","Neves, B.F.S.","2013","02","19","Neves, B.F.S. 154; Néri, J.","2012","11","25","Brasil","Paraná","Matinhos",NA,"-48.527472","-25.788028","48°31'38.9W","25°47'16.9S","12","12","R010018718",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-07 08:35:22-03","MN","R","215467","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","platzmannii","Vriesea platzmannii","E. Morren","Neves, B.F.S.","2013","02","19","Neves, B.F.S. 153; Néri, J.","2012","11","25","Brasil","Paraná","Matinhos",NA,"-48.527472","-25.788861","48°31'38.9W","25°47'19.9S","12","12","R010018717",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-07 08:35:22-03","MN","R","103143","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","platzmannii","Vriesea platzmannii","E. Morren",NA,NA,NA,NA,"Smith, L.B.","1952","02","21","Brasil","Paraná","Guaratuba",NA,"-48.5746994018555","-25.8827991485596",NA,NA,NA,NA,"R010018715",NA,NA,NA,"41937",NA,"auto","5744",NA,NA,NA,NA
"9","2021-02-07 08:35:22-03","MN","R","214616","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","platzmannii","Vriesea platzmannii","E. Morren",NA,NA,NA,NA,"Cadorin, T.J.","2010","03","16","Brasil","Santa Catarina","Florianópolis",NA,"-48.5491981506348","-27.596700668335",NA,NA,NA,NA,"R010018716",NA,NA,NA,"27000",NA,"auto","1723",NA,NA,NA,NA
"10","2021-02-07 08:35:22-03","MN","R","232916","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","platzmannii","Vriesea platzmannii","E. Morren",NA,NA,NA,NA,"Gomes-da-Silva, J.","2011","10","19","Brasil","São Paulo","Cananéia","Ilha do Cardoso, trilha do Morro das Almas.","-47.9199981689453","-25.0100002288818",NA,NA,NA,NA,"R010043434",NA,NA,NA,"37574",NA,"auto","96",NA,NA,NA,NA
"11","2019-08-27 13:25:17-03","IAP","PACA-AGP","63573","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","platzmannii","Vriesea platzmannii","E. Morren","Emrich-Rambo","1958","09","17","Rambo, B.","1958","01","23","Brasil","RS","Osório","Fazenda do Arroio","-50.2696990966797","-29.8866996765137",NA,NA,NA,NA,"PACA063573",NA,"Magnoliophyta","Bromeliales","27350","EM PERIGO Habitat: in silva Fenofase: flor","auto",NA,NA,NA,"Liliatae",NA
"12","2019-08-27 13:25:17-03","IAP","PACA-AGP","45242","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","platzmannii","Vriesea platzmannii","E. Morren","Emrich-Rambo","1954","05","17","Rambo, B.","1950","01","04","Brasil","RS","Osório","Fazenda do Arroio","-50.2696990966797","-29.8866996765137",NA,NA,NA,NA,"PACA045242",NA,"Magnoliophyta","Bromeliales","27350","SEM MATERIAL Habitat: in silvula paludosa ad arbores Fenofase: flor","auto",NA,NA,NA,"Liliatae",NA
"13","2019-08-20 09:59:18-03","UNICAMP","UEC","60783","S","Plantae","Bromeliaceae","Vriesea","platzmannii","Vriesea platzmannii","E.Morren",NA,NA,NA,NA,"Britez, RM","1986","11","23","Brazil","Paraná","Paranaguá","Ilha do Mel, Caminho do Belo","-48.5092010498047","-25.5200004577637",NA,NA,NA,NA,"UEC043328","UEC043328","Liliopsida",NA,"24916","flor, Epífita com flores amarelas, escapo e bainha da folha vináceas.","auto","24547",NA,NA,NA,NA
"14","2021-03-01 16:19:09-03","UNICAMP","UEC","138833","S","Plantae","Bromeliaceae","Vriesea","platzmannii","Vriesea platzmannii","E.Morren","Breier, TB","2004","09",NA,"Breier, TB; Singer, RB","2002","07","02","Brazil","São Paulo","Cananéia","Parque Estadual da Ilha do Cardoso, Parcelas permanentes.","-47.9199981689453","-25.0100002288818",NA,NA,NA,NA,"UEC043327","UEC043327","Liliopsida",NA,"37574","Pétalas amarelas e brácteas roxas. 17/ 11/ 2003.; Na parcela A4, árvore morta.","auto","324",NA,NA,NA,NA
