"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","class","order","minimumElevationInMeters","maximumElevationInMeters","individualCount","phylum","occurrenceRemarks"
"1","2020-12-21 16:36:42-03","MBM","MBM","27559","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","reitziana","Eugenia reitziana","D.Legrand","Sobral, M.","Hatschbach, G.; Koczicki, C.; Koczicki, C.","33212","1973","11","14","Southern America","Brazil","Mato Grosso","Rondonópolis","Ponte de Pedra","-54.6356010437012","-16.4708003997803","69781","MBM027559","MBM027559","auto",NA,NA,NA,NA,NA,NA,NA
"2","2018-06-22 05:25:00-03","MO","MOBOT","2475399","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","reitziana","Eugenia reitziana","D. Legrand",NA,"Pe. Raulino Reitz","Reitz 4326","1961","1","24","South America","Brazil","Santa Catarina",NA,"Capetinga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-12 05:00:02-03","US","US","2249320","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","reitziana","Eugenia reitziana","D. Legrand",NA,"L. Smith, R. Reitz & O. Sufridini","9350","1956","12","26","South America - Neotropics","Brazil","Santa Catarina","Chapecó","Fazenda Campo São Vicente, 24km west of Campo Erê","-52.6183013916016","-27.096399307251","22671","US01898697","US01898697_01 US01898697_02","auto","Dicotyledonae","Myrtales","900","1000","1",NA,NA
"4","2020-09-12 05:00:02-03","US","US","3088939","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","reitziana","Eugenia reitziana","D. Legrand",NA,"G. Hatschbach & C. Kocziki","33212","1973","11","14","South America - Neotropics","Brazil","Mato Grosso","Rondonópolis","Ponte de Pedra.","-54.6356010437012","-16.4708003997803","69781","US01898698","US01898698_01 US01898698_02","auto","Dicotyledonae","Myrtales",NA,NA,"1",NA,NA
"5","2021-02-08 12:43:52-03","UFRGS","ICN","064102","S","Plantae","Myrtaceae","Eugenia","cf. reitziana","Eugenia cf. reitziana","D.Legrand",NA,"Hatschbach, G; Koczicki, C","33212","1973","11","14","América do Sul","Brasil","MT","Rondonópolis","Ponte de Pedra","-54.6356010437012","-16.4708003997803","69781",NA,NA,"auto",NA,NA,NA,NA,NA,"Dicotyledon","Flor alva; Campo cerrado."
