"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","typeStatus","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","626434","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Elachyptera","micrantha","Elachyptera micrantha","(Cambess.) A.C.Sm.","A. M. W. Mennega","G. G. Hatschbach","35756","1975","01","17","South America","Brazil","Paraná","Morretes","Ilha do Malha.","-48.8342","-25.4769","sheet","Carpoteca <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489285' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626434",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","777064","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Elachyptera","micrantha","Elachyptera micrantha","(Cambess.) A.C.Sm.","M. Borgo","M. Borgo","246","1998","12","15","South America","Brazil","Paraná","Guaratuba","Río Vitório","-48.78","-25.87","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489282' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777064","NY00777064_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1018106","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Elachyptera","micrantha","Elachyptera micrantha","(Cambess.) A.C.Sm.",NA,"S. J. da Silva Neto","1690","2002","04","23","South America","Brazil","Rio de Janeiro","Nova Iguaçú","REBIO, Tiguá. Trilha da Escalavrada.","-43.4508","-22.7594","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1248715' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018106","NY01018106_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02099124","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Elachyptera","micrantha","Elachyptera micrantha","(Cambess.) A.C.Sm.","J. A. Lombardi","J. L. Paixão","374","2004","06","02","South America","Brazil","Bahia","Potiraguá","Rod. que liga a Br. 101 com Itapetinga, ca. 15 km p/ Itaimbé. Faz Independêcia.","-39.575","-15.7033","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2474969' target='other'> <mi>dwc_moreinfo</mi></a>","NY02099124","NY02099124_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","626433","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Elachyptera","micrantha","Elachyptera micrantha","(Cambess.) A.C.Sm.","A. C. Smith","R. M. Klein","970","1955","01","04","South America","Brazil","Santa Catarina","Itajaí","Cunhas.","-48.6617","-26.9081","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489284' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626433","NY00626433_01","10","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","626432","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Elachyptera","micrantha","Elachyptera micrantha","(Cambess.) A.C.Sm.","A. C. Smith","A. F. M. Glaziou","18158","1891",NA,NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489281' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626432","NY00626432_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","626431","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Elachyptera","micrantha","Elachyptera micrantha","(Cambess.) A.C.Sm.","A. C. Smith","P. K. H. Dusén","13651","1911","12","28","South America","Brazil","Paraná",NA,"Rio Cubatao.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489283' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626431","NY00626431_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","626468","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Elachyptera","micrantha","Elachyptera micrantha","(Cambess.) A.C.Sm.","J. A. Lombardi","R. Negrelle","A-976","1993","12","27","South America","Brazil","Santa Catarina","Itapoá","Reserva Volta Velha. Beira do rio Sai-Mirim.","-48.65","-26.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=353260' target='other'> <mi>dwc_moreinfo</mi></a>","NY00626468","NY00626468_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1039337","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Elachyptera","micrantha","Elachyptera micrantha","(Cambess.) A.C.Sm.","H. C. de Lima; A. Quinet","M. V. Peron","913","1992","02","06","South America","Brazil","Rio de Janeiro","Guapimirim","Estação Ecológica Estadual de Paraíso. Margens do rio Paraíso. Área FP 20.","-42.883","-22.483","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1485559' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039337","NY01039337_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-08 17:37:48-03","EAO","IAN","22267","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Celastraceae","Hippocratea","micrantha","Hippocratea micrantha","Cambess.",NA,"Schomburgk, R","s.n.",NA,NA,NA,NA,"Guiana",NA,NA,NA,NA,NA,NA,NA,"IAN022267","IAN022267_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
