"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","class","individualCount","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","00932994","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","barretoi","Mimosa barretoi","Hoehne","G. M. Barroso","A. P. Duarte","6475","1962","03","15","South America","Brazil","Minas Gerais","Santa Luzia","Serra do Cipó- km 134","-43.8514","-19.7697","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1007877' target='other'> <mi>dwc_moreinfo</mi></a>","NY00932994","NY00932994_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00932996","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","barretoi","Mimosa barretoi","Hoehne","R. C. Barneby","L. R. Landrum","4231","1982","01","31","South America","Brazil","Minas Gerais",NA,"Serra do Cipó, between Veu da Noiva and Alto do Palacio","-43.67","-19.25","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1007885' target='other'> <mi>dwc_moreinfo</mi></a>","NY00932996","NY00932996_01","1000","1400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00932974","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","barretoi","Mimosa barretoi","Hoehne","R. C. Barneby","B. L. Stannard","CFCR5965","1984","11","14","South America","Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó. Km 120 ao longo da rodovia Belo Horizonte - Conceição do Mato Dentro","-43.7142","-19.1692","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1007868' target='other'> <mi>dwc_moreinfo</mi></a>","NY00932974","NY00932974_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00932969","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","barretoi","Mimosa barretoi","Hoehne","R. C. Barneby","H. S. Irwin","20523","1968","02","19","South America","Brazil","Minas Gerais",NA,"Serra do Cipó, km. 135 (ca. 150km N. of Belo Horizonte).","-43.38","-18.82","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1007858' target='other'> <mi>dwc_moreinfo</mi></a>","NY00932969","NY00932969_01","1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00932992","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","barretoi","Mimosa barretoi","Hoehne","R. C. Barneby","G. G. Hatschbach","28856","1972","01","18","South America","Brazil","Minas Gerais","Jaboticatubas","Serra do Cipó, Fda. Palacio","-43.7447","-19.5136","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1007874' target='other'> <mi>dwc_moreinfo</mi></a>","NY00932992","NY00932992_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00932972","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","barretoi","Mimosa barretoi","Hoehne","J. R. Pirani","N. L. de Menezes","1187","1983","04","03","South America","Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó, acima da Cachoeira Véu-da-Noiva da Usina","-43.7142","-19.1692","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1007863' target='other'> <mi>dwc_moreinfo</mi></a>","NY00932972","NY00932972_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1018495","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","barretoi","Mimosa barretoi","Hoehne","J. R. Pirani","A. M. Giulietti","CFCR9739","1986","05","02","South America","Brazil","Minas Gerais","Santana do Riacho","126 km ao longo da rodovia Belo Horizonte - Conceição do Mato Dentro.","-43.7142","-19.1692","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1259877' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018495","NY01018495_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02423411","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","barretoi","Mimosa barretoi","Hoehne","G. M. Antar","G. M. Antar","158","2012","04","05","South America","Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó, Rodovia MG-010, Santana do Riacho-Conceição do Mato Dentro, km 121, próximo à estátua do velho Juca","-43.555","-19.2508","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2680052' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423411","NY02423411_01","1250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00932998","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","barretoi","Mimosa barretoi","Hoehne","R. C. Barneby","G. W. Fernandes","7","1994","09","17","South America","Brazil","Minas Gerais",NA,"Serra do Cipó","-43.539757","-19.388386","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1007889' target='other'> <mi>dwc_moreinfo</mi></a>","NY00932998","NY00932998_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00932995","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","barretoi","Mimosa barretoi","Hoehne","R. C. Barneby","A. P. Duarte","2021","1949","12","04","South America","Brazil","Minas Gerais",NA,"Serra do Cipó, entre o kilometro 131 e 132. Palacio","-43.499904","-19.221042","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1007880' target='other'> <mi>dwc_moreinfo</mi></a>","NY00932995","NY00932995_01","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
