"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","class","typeStatus","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","687247","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Camarea","elongata","Camarea elongata","Mamede","M. C. H. Mamede","M. M. Arbo","5386","1992","11","28","South America","Brazil","Bahia","Morro do Chapéu","Morrao al Sur de Morro do Chapéu","-41.22","-11.58","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=865321' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687247","NY00687247_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","475670","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Camarea","elongata","Camarea elongata","Mamede","A. M. Amorim","A. M. Amorim","3000","1999","04","26","South America","Brazil","Bahia","Morro do Chapéu","Morro da torre de transmissao","-41.1558","-11.5503","1400","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=220990' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475670","NY00475670_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:19:00-03","UFBA","ALCB","20912","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Camarea","elongata","Camarea elongata","Mamede","Amorim, AMA","Guedes, ML","1481","1987","10","11","Southern America","Brasil","Bahia","Palmeiras","Chapada Diamantina, Cachoeira da fumaça.","-41.5975","-12.654167",NA,NA,NA,"mais ou menos 30 cm de altura. Folhas semisuculentas. Flores vistosas amarelas.",NA,NA,"1994","-41.5975","-12.654167",NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:19:00-03","UFBA","ALCB","20912","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Camarea","elongata","Camarea elongata","Mamede","Amorim, AMA","Guedes, ML","s/n","1987","10","11","Southern America","Brasil","Bahia","Palmeiras","Chapada Diamantina, Cachoeira da Fumaca","-41.5588989257812","-12.5289001464844",NA,NA,NA,"Subarbusto de 30cm de altura.&nf;Folhas semisuculentas.&nf;Flores vistosas amarelas.",NA,NA,"1994",NA,NA,"20767","auto",NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:19:00-03","UFBA","ALCB","09002","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Camarea","elongata","Camarea elongata","Mamede","Amorim, AMA","Barroso, GM; Costa, AL","s/n","1975","05","17","Southern America","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina","-41.016389","-11.681667",NA,NA,NA,"erva entre 20-25 cm de altura, flores amarelas.",NA,NA,"1994","-41.016389","-11.681667",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:19:00-03","UFBA","ALCB","036287","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Camarea","elongata","Camarea elongata","Mamede","Amorim, AMA","Hind, DJN; Giulietti, AM; Smith, S; Harley, RM; Bautista, HP","PCD&nf;3206","1996","06","29","Southern America","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina, Serra Pé do Morro","-41.206667","-11.590833","1293","1293",NA,"ramos prostrados dentro da areia. Flores de cálice e corola amarela. Ocasional.; Campo rupestre entremeado com arbustos perenifólios. Substrato arenoso.","ALCB040628",NA,"1999","-41.206667","-11.590833",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:19:00-03","UFBA","ALCB","108112","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Camarea","elongata","Camarea elongata","Mamede","Amorim, AMA","Roque, N; Alunos de Botânica III","3838","2013","02","23","Southern America","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina, Ilha Estrada Real caminho para Drenagem do Ventura.","-41.089722","-11.676389","1007","1007",NA,"ca. 40 cm alt. Sépalas verde corola amarela.; Mata Ciliar.","ALCB040631",NA,"2014","-41.089722","-11.676389",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:19:00-03","UFBA","ALCB","113252","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Camarea","elongata","Camarea elongata","Mamede","Guedes, ML","Guedes, ML; Costa, TF; Alunos de Botânica BIOC05","21299","2014","01","18","Southern America","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina, Caminho para o Morrão.","-41.2","-11.583333","1288","1288",NA,"Folhas sésséis, discolores, margem revoluta. Flores amarelas.","ALCB040633",NA,"2014","-41.2","-11.583333",NA,NA,"05",NA,NA,NA,NA,NA
"9","2019-10-09 11:19:00-03","UFBA","ALCB","59831","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Camarea","elongata","Camarea elongata","Mamede","Carvalho, PD","Guedes, ML; Loureiro, DM; Guaré, F; et al.","9832","2002","09","07","Southern America","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina, Caminho para Ventura , na estrada","-41.15","-11.55",NA,NA,NA,"de ca. 0,30m. Folhas cartáceas. Inflorescência com pétalas amarelo-ouro. Ocasional.",NA,NA,"2006","-41.15","-11.55",NA,NA,"07",NA,NA,NA,NA,NA
"10","2019-10-09 11:19:00-03","UFBA","ALCB","59831","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Camarea","elongata","Camarea elongata","Mamede","Carvalho, PD","Guedes, ML; Loureiro, DM; Guaré, F; et al.","9832","2002","09","07","Southern America","Brasil","Bahia","Morro do Chapéu","Piemonte da Diamantina, Caminho para Ventura , na estrada","-41.15","-11.55",NA,NA,NA,"de ca. 0,30m. Folhas cartáceas. Inflorescência com pétalas amarelo-ouro. Ocasional.","ALCB040626",NA,"2006","-41.15","-11.55",NA,NA,"07",NA,NA,NA,NA,NA
