"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","county","infraspecificEpithet","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","class","relatedCatalogItem","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","00854968","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","lychnophora","Baccharis lychnophora","Gardner","G. M. Barroso","W. R. Anderson","35870","1972","02","11","South America","Brazil","Minas Gerais","Serra do Espinhaço, eastern slopes of Pico do Itambé","-43.392","-18.43185","1550","1550","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=937880' target='other'> <mi>dwc_moreinfo</mi></a>","NY00854968","NY00854968_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00854969","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","lychnophora","Baccharis lychnophora","Gardner","G. M. Barroso","H. S. Irwin","30253","1971","01","13","South America","Brazil","Minas Gerais","Serra do Espinhaço, near summit of Serra da Piedade, ca. 35 km E. of Belo Horizonte, near BR-31","-43.67613","-19.82237","1800","2000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=937884' target='other'> <mi>dwc_moreinfo</mi></a>","NY00854969","NY00854969_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","162263","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","lychnophora","Baccharis lychnophora","Gardner",NA,"G. Gardner","4898","1836",NA,NA,"South America","Brazil",NA,"Brasilia",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=757111' target='other'> <mi>dwc_moreinfo</mi></a>","NY00162263","NY00162263_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","787706","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","lychnophora","Baccharis lychnophora","Gardner",NA,"L. Riedel","s.n.","1824","08",NA,"South America","Brazil",NA,"In monte Itacolumi.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=521723' target='other'> <mi>dwc_moreinfo</mi></a>","NY00787706","NY00787706_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","787704","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","lychnophora","Baccharis lychnophora","Gardner",NA,"A. P. Duarte","2295","1949","12","12","South America","Brazil","Paraíba","Serra do Cipó, km 140 da estrada de Conceiçao.",NA,NA,"1290","1290","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=521722' target='other'> <mi>dwc_moreinfo</mi></a>","NY00787704","NY00787704_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","787709","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","lychnophora","Baccharis lychnophora","Gardner",NA,"L. Riedel","412","1824","08",NA,"South America","Brazil",NA,"In monte Itacolumi.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=521725' target='other'> <mi>dwc_moreinfo</mi></a>","NY00787709","NY00787709_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1144631","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","lychnophora","Baccharis lychnophora","Gardner",NA,"M. M. Saavedra","282","2006","05","16","South America","Brazil","Minas Gerais","Parque Estadual do Ibitipoca, Base do Pico do Peão.","-43.7931","-21.8428",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1297143' target='other'> <mi>dwc_moreinfo</mi></a>","NY01144631","NY01144631_01",NA,"Lima Duarte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00854967","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","lychnophora","Baccharis lychnophora","Gardner",NA,"A. F. M. Glaziou","15052","1884","06","12","South America","Brazil","Minas Gerais","Caraça, près de la Cora da Onça.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=937873' target='other'> <mi>dwc_moreinfo</mi></a>","NY00854967","NY00854967_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","787705","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","lychnophora","Baccharis lychnophora","Gardner",NA,"Martii Herbar. Florae Brasil.","750",NA,NA,NA,"South America","Brazil",NA,"Brasilia",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=521720' target='other'> <mi>dwc_moreinfo</mi></a>","NY00787705","NY00787705_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00854970","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","lychnophora","Baccharis lychnophora","Gardner","G. M. Barroso","H. S. Irwin","22259","1969","01","19","South America","Brazil","Minas Gerais","Ca. 16km SW of Diamantina. Serra do Espinhaço.","-43.7","-18.33","1370","1370","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=937888' target='other'> <mi>dwc_moreinfo</mi></a>","NY00854970","NY00854970_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","787707","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","lychnophora","Baccharis lychnophora","Gardner",NA,"L. Riedel","s.n.","1824","08",NA,"South America","Brazil",NA,"In monte Itacolumi.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=521724' target='other'> <mi>dwc_moreinfo</mi></a>","NY00787707","NY00787707_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","787708","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","lychnophora","Baccharis lychnophora","Gardner",NA,"L. Riedel","412","1824","08",NA,"South America","Brazil",NA,"In monte Itacolumi.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=521721' target='other'> <mi>dwc_moreinfo</mi></a>","NY00787708","NY00787708_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","162397","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","tarchonanthoides","Baccharis tarchonanthoides integrifolia","Baker",NA,"A. F. M. Glaziou","7717","1874",NA,NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=709033' target='other'> <mi>dwc_moreinfo</mi></a>","NY00162397","NY00162397_01","not a type",NA,"integrifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-01-28 13:11:01-03","MCN-PUC-MINAS","HPUC-MG","ANG3351","S","Plantae",NA,NA,"Asteraceae","Baccharis","lychnophora","Baccharis lychnophora",NA,"J.Nakanima","M.F.Vasconcelos","15-103","2015","04","19",NA,"Brasil","Minas Gerais","Pico da Canjerana, Serra do Caraça - Município de Santa Bárbara","-43.5","-20.133333",NA,NA,NA,NA,NA,NA,NA,"Santa Bárbara",NA,"43°30'W","20°08'S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-06-29 11:29:11-03","UFRJ","RFA","30800","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Baccharis","lychnophora","Baccharis lychnophora","Gardner","K.G.Heiden","K. T. Ribeiro; B. Medina","208","1999","08","17",NA,"Brasil","Rio de Janeiro","Planalto do Itatiaia, Maciço das Prateleiras","-44.666667","-22.5","2400","2400",NA,"Árvore 2m altura, flores cheirosas amarelas, folhas secas","RFA20399",NA,NA,"Itatiaia",NA,"44º40'W","22º30'S","2006","06","01",NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-04-08 17:36:59-03","EAO","IAN","25088","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Baccharis","lychnophora","Baccharis lychnophora","Gardner",NA,"Gardner, A","4898",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"IAN025088","IAN025088_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-30 12:34:31-03","EAO","IAN","94368","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Baccharis","lychnophora","Baccharis lychnophora","Gardner",NA,"Glaziou, AFM","19092",NA,NA,NA,"Southern America","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"IAN094368",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-30 12:34:32-03","EAO","IAN","14159","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Baccharis","tarchonanthoides","Baccharis tarchonanthoides integrifolia","DC.","Barreto, M","Magalhães, MG","1620","1942","05","05","Southern America","Brasil","Minas Gerais","Campo, Pico do Itambé.","-43.3793983459473","-18.604700088501",NA,NA,NA,"Arbusto de 1m de altura, flores alvas, muito frequente.","IAN014159","IAN014159 IAN014159_e",NA,"Serro","integrifolia",NA,NA,NA,NA,NA,"37754","auto",NA,NA,NA,NA,NA,NA
"19","2021-03-30 12:34:32-03","EAO","IAN","104410","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Baccharis","tarchonanthoides","Baccharis tarchonanthoides integrifolia","DC.","Barreto, M","Magalhães, MG","1619","1942","05","05","Southern America","Brasil","Minas Gerais","Campo, Pico do Itambé.","-43.3793983459473","-18.604700088501",NA,NA,NA,"Arbusto de 1m de altura, flores alvas, muito frequente.","IAN104410",NA,NA,"Serro","integrifolia",NA,NA,NA,NA,NA,"37754","auto",NA,NA,NA,NA,NA,NA
