"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","class","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","685916","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Barbacenia","paranaensis","Barbacenia paranaensis","L.B.Sm.","L. B. Smith","P. K. H. Dusén","16478","1915","01","23","South America","Brazil","Paraná","Itararé, opp. Morungava praeclinum.","740","740","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=822582' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685916","NY00685916_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","685914","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Barbacenia","paranaensis","Barbacenia paranaensis","L.B.Sm.","G. G. Hatschbach","G. G. Hatschbach","29212","1972","02","26","South America","Brazil","Paraná","Fazenda Morungava, Rio do Funil",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=822566' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685914","NY00685914_01","Sengés","-49.4633","-24.1131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","685913","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Barbacenia","paranaensis","Barbacenia paranaensis","L.B.Sm.","J. C. Lindeman","G. G. Hatschbach","4222","1967","01","17","South America","Brazil","Paraná","Serra dos Mulatos, summit near Ortigueira.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=822578' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685913","NY00685913_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","685917","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Barbacenia","paranaensis","Barbacenia paranaensis","L.B.Sm.","L. B. Smith","P. K. H. Dusén","17379","1915","12","07","South America","Brazil","Paraná","Morungava",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=822583' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685917","NY00685917_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","685915","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Barbacenia","paranaensis","Barbacenia paranaensis","L.B.Sm.","L. B. Smith","L. B. Smith","14825","1965","01","19","South America","Brazil","Paraná","Fazenda Morungava, Rio Funil","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=822581' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685915","NY00685915_01","Sengés","-49.37","-24.13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:09:44-03","NBC","NL-BOTANY","WAG.1189158","PreservedSpecimen","Plantae",NA,"Pandanales","Velloziaceae","Aylthonia","paranaensis","Aylthonia paranaensis","(L.B.Sm.) N.L.Menezes",NA,"Hatschbach GG; Silva JM",NA,"1988","04","23","Southern America","Brazil",NA,"Rio do Funil (mun. Senges) Parana.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1189158 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1189158","NL-WAG1189158",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:09:44-03","NBC","NL-BOTANY","L.1470780","PreservedSpecimen","Plantae",NA,"Pandanales","Velloziaceae","Barbacenia","paranaensis","Barbacenia paranaensis","L.B.Sm.",NA,"Dusén PKH",NA,"1915","01","23","Southern America","Brazil",NA,"Plantae Brasilienses. Parana: Ilarare opp., Marungava praochum, in 'campo cerrado' in rupibus umbrosis.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1470780 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1470780","NL-L1470780",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:09:44-03","NBC","NL-BOTANY","L.1470781","PreservedSpecimen","Plantae",NA,"Pandanales","Velloziaceae","Barbacenia","paranaensis","Barbacenia paranaensis","L.B.Sm.",NA,"Dusén PKH",NA,"1915","12","07","Southern America","Brazil",NA,"Plantae Brasilienses. Parana: Marungava, 'campo cerrado' in rupibus umbrosis.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1470781 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1470781","NL-L1470781",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:09:44-03","NBC","NL-BOTANY","L.1470783","PreservedSpecimen","Plantae",NA,"Pandanales","Velloziaceae","Barbacenia","paranaensis","Barbacenia paranaensis","L.B.Sm.",NA,"Hatschbach GG",NA,"1967","01","17","Southern America","Brazil",NA,"Serra dos rulatos (mun. Ortigueira).",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1470783 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1470783","NL-L1470783",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:09:44-03","NBC","NL-BOTANY","U.1752933","PreservedSpecimen","Plantae",NA,"Pandanales","Velloziaceae","Barbacenia","paranaensis","Barbacenia paranaensis","L.B.Sm.",NA,"Hatschbach GG; Silva JM",NA,"1990","12","04","Southern America","Brazil",NA,"Rio do Funil (mun. Sengés) Paraná.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1752933 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1752933","NL-U1752933",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-02-08 10:09:44-03","NBC","NL-BOTANY","U.1752934","PreservedSpecimen","Plantae",NA,"Pandanales","Velloziaceae","Barbacenia","paranaensis","Barbacenia paranaensis","L.B.Sm.",NA,"Lindeman JC; Haas JH de",NA,"1967","01","17","Southern America","Brazil",NA,"Flora Brasiliae Australis. Serra dos Mulatos, summit near Ortigueira. Rocky campo.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1752934 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1752934","NL-U1752934",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-11-04 11:20:21-03","ESALQ","ESA","12313","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Velloziaceae","Barbacenia","paranaensis","Barbacenia paranaensis",NA,"Souza, V.C.","Souza, V.C. et al.","4942.0","1993","12","10",NA,"Brasil","Paraná",NA,NA,NA,NA,NA,"ESA012313","ESA012313","Sengés","-49.4636001586914","-24.1128005981445",NA,"55682","auto",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-01-14 15:33:52-03","MN","R","127130","PreservedSpecimen","Plantae",NA,NA,"Velloziaceae","Barbacenia","paranaensis","Barbacenia paranaensis","L.B. Sm.",NA,"Smith, L.B. 14825; Klein, R.M. & Hatschbach, G.",NA,"1965","01","19",NA,"Brasil","Paraná","Fazenda Morungava","800","800",NA,NA,"R010056476","R010056476","Senges","-49.366667","-24.133333",NA,NA,NA,"49°22'W","24°08'S",NA,NA,NA,NA,NA,NA
