"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","infraspecificEpithet","class","fieldNumber","individualCount","typeStatus","relatedCatalogItem","previousCatalogNumber","sex"
"1","2021-04-05 14:25:45-03","UNESC","CRI","12118","PreservedSpecimen","Plantae","Orchidaceae","Vanilla","chamissonis","Vanilla chamissonis","Klotzsch","Korte, A","2010","11","29","Korte, A.; Gasper, A.L. de","5252","2010","11","29","Brasil","Santa Catarina","São Francisco do Sul","Parque Estadual do Acaraí - Praia do Ervino.","-48.563333","-26.349722","48º33'48''W","26º20'59''S","5","5","Florística IFFSC 8010 (Liana) Habitat: Restinga; Estágio Avançado Habito: liana; flor branca","CRI010296","CRI010296",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","4170415","PreservedSpecimen","Plantae","Orchidaceae","Vanilla","chamissonis","Vanilla chamissonis","Klotzsch",NA,NA,NA,NA,"R. Guillén","2701","1994","12","02","Bolivia","Santa Cruz","José Miguel de Velasco","Parque Nacional Noel Kempff Mercado, a 500 m al S de la comunidad Florida hacia el Campamento Toledo","-60.82","-14.55",NA,NA,"200",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4502052' target='other'> <mi>dwc_moreinfo</mi></a>","NY04170415",NA,"Magnoliophyta","Asparagales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","910934","PreservedSpecimen","Plantae","Orchidaceae","Vanilla","chamissonis","Vanilla chamissonis","Klotzsch","G. F. J. Pabst",NA,NA,NA,"H. S. Irwin","6750","1964","10","10","Brazil","Mato Grosso",NA,"Ca. 70 km. N. of Xavantina, on rd. to Garapú.","-52.37","-14.22",NA,NA,"300","400","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989401' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910934","NY00910934_01","Magnoliophyta","Asparagales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","4170414","PreservedSpecimen","Plantae","Orchidaceae","Vanilla","chamissonis","Vanilla chamissonis","Klotzsch",NA,NA,NA,NA,"R. Guillén","2944","1995","01","21","Bolivia","Santa Cruz","José Miguel de Velasco","Reserva Ecológica EL REFUGIO; a 300 m al SO del campamento, en la pampa de las islas","-61.0539","-14.7858",NA,NA,"150",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4502051' target='other'> <mi>dwc_moreinfo</mi></a>","NY04170414",NA,"Magnoliophyta","Asparagales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","4170413","PreservedSpecimen","Plantae","Orchidaceae","Vanilla","chamissonis","Vanilla chamissonis","Klotzsch",NA,NA,NA,NA,"R. Guillén","4343","1996","05","09","Bolivia","Santa Cruz","José Miguel de Velasco","San Jose de Campamento, a 3 km sobre el camino hacia San Roque","-60.9914","-15.1556",NA,NA,"230",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4502050' target='other'> <mi>dwc_moreinfo</mi></a>","NY04170413",NA,"Magnoliophyta","Asparagales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1128541","PreservedSpecimen","Plantae","Orchidaceae","Vanilla","chamissonis","Vanilla chamissonis","Klotzsch","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","25679","1970","11","28","Brazil","Paraná","Paranaguá","Ilha de Mel","-48.5092","-25.5203",NA,NA,"3","5","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1286084' target='other'> <mi>dwc_moreinfo</mi></a>","NY01128541","NY01128541_01","Magnoliophyta","Asparagales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","04170412","PreservedSpecimen","Plantae","Orchidaceae","Vanilla","chamissonis","Vanilla chamissonis","Klotzsch",NA,NA,NA,NA,"I. G. Vargas Caballero","2617","1993","06","18","Bolivia","Santa Cruz","Guarayos","Reserva de Vida Silvestre Rios Blanco y Negro. Campamento sobre Rio Negro de Caimanes, unos 4 km al SE de las Juntas con el Rio San Pablo, luego entrando 2 km al S","-63.93","-14.7617",NA,NA,"250",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4502047' target='other'> <mi>dwc_moreinfo</mi></a>","NY04170412",NA,"Magnoliophyta","Asparagales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","910933","PreservedSpecimen","Plantae","Orchidaceae","Vanilla","chamissonis","Vanilla chamissonis","Klotzsch","G. F. J. Pabst",NA,NA,NA,"H. S. Irwin","28146","1970","03","23","Brazil","Minas Gerais","Diamantina","Serra do Espinhaço, ca. 15 km N. of São João da Chapada","-43.68125","-17.99895",NA,NA,"975","975","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989398' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910933","NY00910933_01","Magnoliophyta","Asparagales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","625792","PreservedSpecimen","Plantae","Orchidaceae","Vanilla","chamissonis","Vanilla chamissonis","Klotzsch","F. C. Hoehne",NA,NA,NA,"A. Gehrt","24495","1929","11","14","Brazil","São Paulo","Praia Grande",NA,"-46.4","-24",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=176457' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625792","NY00625792_01","Magnoliophyta","Asparagales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","625791","PreservedSpecimen","Plantae","Orchidaceae","Vanilla","chamissonis","Vanilla chamissonis","Klotzsch","R. Vásquez Martínez",NA,NA,NA,"I. G. Vargas Caballero","2762","1993","09","08","Bolivia","Santa Cruz","Guarayos","Reserva de Vida Silvestre Ríos Blanco y Negro. Río San Martín (Concesión Oquiriquia). Cerca al campamento sobre el Río San Martín.","-61.8033","-15.0558",NA,NA,"300","300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=176456' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625791","NY00625791_01","Magnoliophyta","Asparagales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-06-29 11:31:49-03","UFRJ","RFA","38959","PreservedSpecimen","Plantae","Orchidaceae","Vanilla","chamissonis","Vanilla chamissonis","Klotzsch",NA,NA,NA,NA,"SeMMA - Prefeitura Macaé; Konno, T.U.P.","33","2010","10","28","Brasil","Rio de Janeiro","Macaé","Restinga do Barreto.","-41.7868995666504","-22.3708000183105",NA,NA,NA,NA,NA,"RFA32787",NA,NA,NA,NA,NA,"47209","auto",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-06-29 11:31:49-03","UFRJ","RFA","34610","PreservedSpecimen","Plantae","Orchidaceae","Vanilla","chamissonis","Vanilla chamissonis","Klotzsch","M. M. Moreira","2009","03","24","M. M. Moreira; M. O. Silva, C. N. Fraga, L. J. S. Pinto","93","2009","02","10","Brasil","Rio de Janeiro","Rio de Janeiro","Restinga de Grumari (APA), Av. Estado da Guanabara","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"Erva escandecente, com frutos de coloração verde","RFA22245",NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-06-29 11:31:49-03","UFRJ","RFA","22553","PreservedSpecimen","Plantae","Orchidaceae","Vanilla","chamissonis","Vanilla chamissonis","Klotzsch","P. Occhioni","1988",NA,NA,"P. Occhioni; et al.","9286","1988","10","25","Brasil","Rio de Janeiro","Maricá","Barra de Maricá. Área C1","-42.8185997009277","-22.9193992614746",NA,NA,NA,NA,"em flor, flores brancas","RFA31903",NA,NA,NA,NA,NA,"20726","auto",NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-06-29 11:31:49-03","UFRJ","RFA","22552","PreservedSpecimen","Plantae","Orchidaceae","Vanilla","chamissonis","Vanilla chamissonis","Klotzsch","P. Occhioni","1988",NA,NA,"P. Occhioni; et al.","9285","1988","10","25","Brasil","Rio de Janeiro","Maricá","Barra de Maricá. Beira da Picada da Aeronáutica","-42.8185997009277","-22.9193992614746",NA,NA,NA,NA,"flores brancas","RFA31902",NA,NA,NA,NA,NA,"20726","auto",NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-01-20 14:40:47-03","UPM","MACK","551","PreservedSpecimen","Plantae","Orchidaceae","Vanilla","chamissonis","Vanilla chamissonis","Klotzsch","A. C. V. Crestani",NA,NA,NA,"A. C. V. Crestani","48","2009","08","19","Brasil","SP",NA,"Ilha Comprida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-12-04 15:26:39-03","PUCPR","HUCP","21117","S","Plantae","Orchidaceae","Vanilla","chamissonis","Vanilla chamissonis","Klotzsch.","Lemos, JV",NA,NA,NA,"Lemos, JV","026","2007","11","23","Brasil","Paraná","Pontal do Paraná","Rio Guaraguaçu","-48.511100769043","-25.6735992431641",NA,NA,NA,NA,NA,"HUCP00006138","HUCP00006138","Monocotiledonea",NA,NA,NA,"19508","auto",NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-10-09 11:28:46-03","UFBA","ALCB","009892","PreservedSpecimen","Plantae","Orchidaceae","Vanilla","chamissonis","Vanilla chamissonis brevifolia","Cogn.","Queiroz, LP de","1983","04",NA,"Grupo Pedra do Cavalo","1059","1981","02",NA,"Brasil","Bahia","Cachoeira","Recôncavo Sul, Vale dos Rios Paraguaçu e Jacuípe. Barragem de Bananeiras.","-39.083333","-12.533333","-39.083333","-12.533333","100","100","cipó escandente carnoso. Frutos carnosos.","ALCB008312","ALCB008312","Monocotyledon",NA,"Southern America",NA,NA,NA,"brevifolia",NA,NA,NA,NA,NA,NA,NA
"18","2019-10-09 11:28:46-03","UFBA","ALCB","009892","PreservedSpecimen","Plantae","Orchidaceae","Vanilla","chamissonis","Vanilla chamissonis brevifolia","Cogn.","Queiroz, LP de","1983","04",NA,"Grupo Pedra do Cavalo","1059","1981","02",NA,"Brasil","Bahia","Cachoeira","Recôncavo Sul, Vale dos Rios Paraguaçu e Jacuípe. Barragem de Bananeiras.","-39.083333","-12.533333","-39.083333","-12.533333","100","100","cipó escandente carnoso. Frutos carnosos.","ALCB008312","ALCB008312","Monocotyledon",NA,"Southern America",NA,NA,NA,"brevifolia",NA,NA,NA,NA,NA,NA,NA
"19","2020-02-08 08:47:01-03","NBC","NL-BOTANY","L.1533826","PreservedSpecimen","Plantae","Orchidaceae","Vanilla","chamissonis","Vanilla chamissonis","Klotzsch",NA,NA,NA,NA,"Unknown",NA,"1835","01","01","Surinam",NA,NA,"Suriname.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1533826 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1533826","NL-L1533826",NA,"Asparagales","Southern America",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"20","2021-03-31 13:41:19-03","MN","R","222807","PreservedSpecimen","Plantae","Orchidaceae","Vanilla","chamissonis","Vanilla chamissonis","Klotzsch","Pabst, G.F.J.","1958","10","02","Silveira, A.A.","2123","1896","12",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"Comissão Geografica e Geológica de Minas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-31 13:41:19-03","MN","R","209030","PreservedSpecimen","Plantae","Orchidaceae","Vanilla","chamissonis","Vanilla chamissonis","Klotzsch","Castilhori, M.F.","2008","10","10","Santo, I.E.; Castilhori, M.F.","174","2008","09","18","Brasil","Rio de Janeiro","Macaé",NA,"-41.7868995666504","-22.3708000183105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47209","auto",NA,NA,NA,NA,NA,NA,NA,NA
