"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","class"
"11","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0066677","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Campomanesia","macrobracteolata","Campomanesia macrobracteolata","Landrum",NA,"J. M. A. Braga",NA,NA,NA,NA,NA,"Brazil","Rio de Janeiro","Mun. de Sao Fracisco de Itabapoana",NA,NA,NA,NA,"Photo of specimen at RB from M. Sobral and M. Ibrahim; Arbust de 3 m,",NA,NA,"L. R. Landrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-11-21 14:40:03-03","UFJF","CESJ","51458","PreservedSpecimen","Plantae","Angiosperma",NA,"Myrtaceae","Campomanesia","macrobracteolata","Campomanesia macrobracteolata","Landrum",NA,"G. Hatschbach; M. Hatschbach; J.M. Silva","71569","2000","10","23","América do Sul","Brasil","Espírito Santo","Itapemirim","Região do Gemes","-40.8339004516602","-21.011100769043",NA,"Pequena árvore de flores alvas. Restinga arbórea. Alt.: 3 - 5m.","CESJ051458",NA,"M. Sobral","2005",NA,NA,"28626","auto",NA,NA,NA,NA,NA,NA
"13","2019-11-21 14:40:03-03","UFJF","CESJ","11910","PreservedSpecimen","Plantae","Angiosperma",NA,"Myrtaceae","Campomanesia","macrobracteolata","Campomanesia macrobracteolata","Landrum",NA,"L. Krieger","CESJ11910","1972","11","04","América do Sul","Brasil","Espírito Santo","Marataízes",NA,"-40.8244018554688","-21.0433006286621",NA,"Arbsuto na restinga, flores brancas , frutos comestíveis","CESJ011910",NA,"J.E.Q. Faria","2012","11",NA,"19311","auto",NA,NA,NA,NA,NA,NA
"14","2019-06-27 10:25:49-03","UFES","VIES","14113","S","Plantae",NA,NA,"Myrtaceae","Campomanesia","macrobracteolata","Campomanesia macrobracteolata","Landrum",NA,"Fraga, C.N.","88",NA,NA,NA,NA,"Brasil",NA,"Brasil",NA,NA,NA,NA,NA,"VIES014113","VIES014113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-04-27 16:10:43-03","UFES","VIES","28805","S","Plantae",NA,NA,"Myrtaceae","Campomanesia","macrobracteolata","Campomanesia macrobracteolata","Landrum",NA,"Folli, D.A.","6281","2009","01","10",NA,"Brasil","Espírito Santo","Linhares","Reserva Natural Vale, estrada Ipê Amarelo. Mata de Tabuleiro.","-40.040278","-19.157222",NA,NA,"VIES028805","VIES028805","L. Landrum","2010","04","21",NA,NA,"40º2'25''W","19º9'26''S",NA,NA,NA,NA
"16","2019-12-06 19:29:58-03","UFES","VIES","28837","S","Plantae",NA,NA,"Myrtaceae","Campomanesia","macrobracteolata","Campomanesia macrobracteolata","Landrum",NA,"Folli, D.A.","6748","2010","11","30",NA,"Brasil","Espírito Santo","Linhares","Reserva Natural Vale, estrada Aceiro ant. Lasa Caliman. Mata de Tabuleiro.","-39.995","-19.147222",NA,NA,"VIES028837","VIES028837","J. Luber","2016",NA,NA,NA,NA,"39º59'42''W","19º8'50''S",NA,NA,NA,NA
"17","2019-08-08 18:00:23-03","UFES","VIES","18673","S","Plantae",NA,NA,"Myrtaceae","Campomanesia","macrobracteolata","Campomanesia macrobracteolata","Landrum",NA,"Assis, A.M.; Pereira, O.J.; Canal, M. & Zambom, O.","674","1998","12","14",NA,"Brasil","Espírito Santo","Guarapari","Parque Estadual Paulo César Vinha.","-40.5110015869141","-20.6580009460449",NA,NA,"VIES018673","VIES018673","J. Luber","2017",NA,NA,"28401","auto",NA,NA,NA,NA,NA,NA
"18","2020-04-27 16:10:43-03","UFES","VIES","28834","S","Plantae",NA,NA,"Myrtaceae","Campomanesia","macrobracteolata","Campomanesia macrobracteolata","Landrum",NA,"Souza, V.","228","1991","10","18",NA,"Brasil","Espírito Santo","Itapemirim","Sôto. Lado direito do asfalto indo de Itaóca para Itapemirim, 5 km antes da Ponte. Restinga.","-40.8339004516602","-21.011100769043",NA,NA,"VIES028834","VIES028834","M. Sobral","2006","08","25","28626","auto",NA,NA,NA,NA,NA,NA
"19","2020-04-27 16:10:43-03","UFES","VIES","28803","S","Plantae",NA,NA,"Myrtaceae","Campomanesia","macrobracteolata","Campomanesia macrobracteolata","Landrum",NA,"Folli, D.A.","2913","1997","02","03",NA,"Brasil","Espírito Santo","Linhares","Reserva Natural Vale, estrada Cinco Folhas. Mata de Tabuleiro.","-40.0722007751465","-19.3910999298096",NA,NA,"VIES028803",NA,"D.A. Folli","1997","02","03","48094","auto",NA,NA,"300","300",NA,NA
"20","2020-04-27 16:10:43-03","UFES","VIES","28802","S","Plantae",NA,NA,"Myrtaceae","Campomanesia","macrobracteolata","Campomanesia macrobracteolata","Landrum",NA,"Folli, D.A.","5996","2008","03","26",NA,"Brasil","Espírito Santo","Linhares","Reserva Natural Vale, estrada Flamengo. Mussununga.","-40.0722007751465","-19.3910999298096",NA,NA,"VIES028802","VIES028802","L. Landrum","2010","04","21","48094","auto",NA,NA,"4200","4200",NA,NA
