"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","class","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","547564","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Galeandra","paraguayensis","Galeandra paraguayensis","Cogn.","G. F. J. Pabst","H. S. Irwin","7554","1964","10","29","South America","Brazil","Goiás","Caiapônia","Ca. 35 km S of Caiaponia","-51.8103","-16.9569","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=741810' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547564","NY00547564_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","8848","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Galeandra","paranaensis","Galeandra paranaensis","Schltr.",NA,"P. K. H. Dusén","7297","1908","11","28","South America","Brazil","Paraná",NA,"Capao Grande",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=31612' target='other'> <mi>dwc_moreinfo</mi></a>","NY00008848","NY00008848_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 12:17:31-03","ESALQ","ESA","52222","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orchidaceae","Galeandra","paraguayensis","Galeandra paraguayensis","Cogn.","Batista, J.A.M.","Hatschbach, G. et al.","58365.0","1992","12","01",NA,"Brasil","Goiás","Teresina de Goiás",NA,"-47.2647018432617","-13.7763996124268",NA,NA,"ESA052222","ESA052222",NA,"2001","01","01","42211","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-31 13:40:59-03","MN","R","112028","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Galeandra","paraguayensis","Galeandra paraguayensis","Cogn.","Pabst, G.F.J.","Castellanos, A.","21802","1957","12","02",NA,"Brasil","Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1958","04","23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-31 13:40:59-03","MN","R","193517","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Galeandra","paraguayensis","Galeandra paraguayensis","Cogn.","Hoehne, F.C.","Hoehne, F.C.","999","1908","11",NA,NA,"Brasil","Mato Grosso","Porto Esperidião",NA,"-58.4603004455566","-15.8528003692627",NA,"Commissão Rondon",NA,NA,NA,NA,NA,NA,"113725","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-31 13:40:59-03","MN","R","193518","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Galeandra","paraguayensis","Galeandra paraguayensis","Cogn.","Hoehne, F.C.","Hoehne, F.C.","871","1908","11",NA,NA,"Brasil","Mato Grosso","Porto Esperidião",NA,"-58.4603004455566","-15.8528003692627",NA,"Commissão Rondon",NA,NA,NA,NA,NA,NA,"113725","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-31 13:40:59-03","MN","R","2720","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Galeandra","paraguayensis","Galeandra paraguayensis","Cogn.","Hoehne, F.C.","Hoehne, F.C.","870","1908","11",NA,NA,"Brasil","Mato Grosso","Porto Esperidião",NA,"-58.4603004455566","-15.8528003692627",NA,"Commissão Rondon",NA,NA,NA,NA,NA,NA,"113725","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-08-20 10:00:46-03","UNICAMP","UEC","122242","S","Plantae","Liliopsida",NA,"Orchidaceae","Galeandra","paraguayensis","Galeandra paraguayensis","Cogn.","Hall, CF","Pansarin, ER; Mickeliunas, L","876","2001","12","31",NA,"Brazil","Goiás","Teresina de Goiás","Rodovia GO 118, km 205, Sentido Alto Paraíso de Goiás - Teresina de Goiás, lado direito da pista.","-47.366667","-13.9",NA,NA,"UEC012330","UEC012330",NA,"2011",NA,NA,NA,NA,"-47.366667","-13.9",NA,NA,NA,NA,NA,NA
"9","2021-03-16 17:50:18-03","UCS","HUCS","30156","PreservedSpecimen","Plantae","Angiospermae","Asparagales","Orchidaceae","Galeandra","paraguayensis","Galeandra paraguayensis","Cogn.","Batista, J.A.M.","Hatschbach, G.","58365","1992","12","01",NA,"Brasil","Goiás","Teresina de Goiás","Rodovia para Alto Paraíso , iníciod a subida para Chapada dos Veadeiros","-47.2647018432617","-13.7763996124268",NA,"sépalas e pétalas verdes com nervuras vinosas, labelo exterior verde, interior com nervuras vinosas; centro do lábio com máculo alva estendendo-se até o ápice; campo rupestre -solo turfoso, úmido",NA,NA,NA,"2001",NA,NA,"42211","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:38:28-03","MBM","MBM","321652","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Galeandra","paraguayensis","Galeandra paraguayensis","Cogn.","Bochony, T.","Barboza, E.; Cunha, E.M.; Cunha, E.M.","1792","2006","10","28","Southern America","Brazil","Paraná","Balsa Nova","Recanto dos Papagaios","-49.6356010437012","-25.5839004516602",NA,"Ereta, flor marrom. labelo lilás. Terrestre.","MBM321652","MBM321652",NA,"2013","07",NA,"27346","auto",NA,NA,NA,NA,NA,NA,NA,NA
