"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","class","order","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","typeStatus"
"1","2021-03-04 11:04:45-03","UFRB","HURB","11513","PreservedSpecimen","Plantae","Cactaceae","Facheiroa","ulei","Facheiroa ulei","(Gürke) Werdern.","D.Zappi","2018","05","Costa, G.; Moraes, A.C.S.","1784","2016","02","23","Brasil","Bahia","Jussara","Sanharô;","-41.670833","-10.649444","41º40'15W","10º38'58S","HURB000011513","HURB000011513",NA,NA,NA,NA,NA,NA,NA
"2","2019-10-07 09:18:39-03","UEFS","HUEFS","62647","PreservedSpecimen","Plantae","Cactaceae","Facheiroa","ulei","Facheiroa ulei","(Gürke) Werderm.","M.Machado","2003","02","Guedes, M.L.S.","PCD3025","1996","06","24","Brasil","Bahia","Xique-Xique","Próximo a Xique-Xique.","-42.716667","-11.1","42W43'","11S6'","HUEFS0062647","HUEFS0062647","Angiospermae","Caryophyllanae","Caryophyllales","500","500","Caatinga.",NA
"3","2019-10-07 09:18:39-03","UEFS","HUEFS","41709","PreservedSpecimen","Plantae","Cactaceae","Facheiroa","ulei","Facheiroa ulei","(Gürke) Werderm.",NA,NA,NA,"Rose, J.N.",NA,"1917",NA,NA,"Brasil","Bahia",NA,"Serra da Cana Brava.","-39.616667","-9.75","39W37'","9S45'","HUEFS0041709",NA,"Angiospermae","Caryophyllanae","Caryophyllales",NA,NA,NA,"Isótipo"
