"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","class","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","442344","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Barnebya","dispar","Barnebya dispar","(Griseb.) W.R.Anderson & B.Gates","W. R. Anderson","Pessoal do Horto Florestal","s.n.","1928","01","18","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Guanabara, estrada da Vista Chinesa","-43.257166","-22.971675","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=363034' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442344","NY00442344_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","686542","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Barnebya","dispar","Barnebya dispar","(Griseb.) W.R.Anderson & B.Gates","W. R. Anderson","L. Riedel","s.n.",NA,NA,NA,"South America","Brazil","Amazonas",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=834877' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686542","NY00686542_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","686541","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Barnebya","dispar","Barnebya dispar","(Griseb.) W.R.Anderson & B.Gates","W. R. Anderson","L. Riedel","359","1821",NA,NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=834876' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686541","NY00686541_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","442345","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Barnebya","dispar","Barnebya dispar","(Griseb.) W.R.Anderson & B.Gates","W. R. Anderson","Pessoal do Horto Florestal","s.n.","1928","01","18","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Guanabara, estrada da Vista Chinesa","-43.257166","-22.971675","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=363035' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442345","NY00442345_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-13 09:20:09-03","UFRJ","RFA","24491","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Barnebya","dispar","Barnebya dispar","(Griseb.) W.R.Anderson & B.Gates","A.A. Amorim","F.M.B. Pereira","fev-13","2000","05","20",NA,"Brasil","Rio de Janeiro","Macaé","5o. Distrito, Fazenda Carreira comprida - Areia Branca","-42.014444","-22.200833",NA,"Árvore, 7,5 m altura, 11 cm DAP, folhas e frutos verdes, flores verde castanha, rara no local","RFA56277",NA,"2002","42º0'52''W","22º12'3''S","139","139",NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 11:31:09-03","UFRJ","RFA","15046","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Barnebya","dispar","Barnebya dispar","(Griseb.) W.R.Anderson & B.Gates","A. Amorim","P. Occhioni","5875","1974","02",NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Serra dos Órgãos, loc. Limoeiro","-43.2075004577637","-22.9027996063232",NA,"Arbusto escandente","RFA44583",NA,NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA
"7","2015-07-02 14:02:39-03","JBP","HPL","4833","S","Plantae",NA,NA,"Malpighiaceae","Barnebya","dispar","Barnebya dispar","(Griseb.) W.R. Anderson & Gates","H. Lorenzi","H. Lorenzi","1914","2001","01","31",NA,"Brasil","MG","Carangola","Coletada nas margens do Rio Carangola.","-42.0294","-20.7331",NA,NA,NA,NA,"2001",NA,NA,NA,NA,"21913","auto","01","31",NA,NA,NA
"8","2015-07-02 14:02:39-03","JBP","HPL","7321","S","Plantae",NA,NA,"Malpighiaceae","Barnebya","dispar","Barnebya dispar",NA,"R. Tsuji","R. Tsuji","1634","2007","02","02",NA,"Brasil","MG","Carangola","Coletado na estrada para Espera Feliz - em área de mata ciliar, ca. 4km de Carangola.","-42.0294","-20.7331",NA,NA,NA,NA,"2007",NA,NA,NA,NA,"21913","auto","02","02",NA,NA,NA
"9","2019-02-15 11:44:46-02","IPA","IPA","25100","S","Plantae","Plantae",NA,"Malpighiaceae","Barnebya","dispar","Barnebya dispar","(Griseb.) W.R. Anderson & B. Gates","Francener, A.","Salgado, O.A.","127","1980","03","14","Southern America","Brasil","Ceará",NA,"Araripe","-40.233333","-7.216667",NA,"Árvore 8m de altura, 20cm diâmetro, copa arredondada; caule marrom claro, folhas verdes; frutos ausentes; botões verde-amarelados; cálice e corola amarelos. Solo textura arenosa.","IPA0025100",NA,"2016","-40.233333","-7.216667",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-02-15 11:44:46-02","IPA","IPA","25153","S","Plantae","Plantae",NA,"Malpighiaceae","Barnebya","dispar","Barnebya dispar","(Griseb.) W.R. Anderson & B. Gates","Francener, A.","Jordy Filho, S.","120","1980","06","02","Southern America","Brasil","Piauí","Inhuma",NA,"-41.616667","-6.75",NA,"Árvore de 7m de altura e 0,25m de diâmetro. Caule cinza claro; folhas e frutos verdes. Ausência de exsudato.","IPA0025153",NA,"2016","-41.616667","-6.75",NA,NA,NA,NA,NA,NA,NA,NA,NA
