"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","relationshipType","relatedCatalogItem","typeStatus","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","886381","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","ovalifolia","Myrceugenia ovalifolia","(O.Berg) Landrum","O. Handro","1011","1962","03","08","South America","Brazil","São Paulo","Estaçäo Campo Grande (via ferrea São Paulo-Santos), Estação Biologica","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022768' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886381","NY00886381_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","615850","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","ovalifolia","Myrceugenia ovalifolia","(O.Berg) Landrum","G. G. Hatschbach","24198","1970","04","28","South America","Brazil","Paraná","Nova Tirol","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608909' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615850","NY00615850_01","L. R. Landrum","Piraquara","-49.048057","-25.507775","930","930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","615849","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","ovalifolia","Myrceugenia ovalifolia","(O.Berg) Landrum","G. G. Hatschbach","24198","1970","04","28","South America","Brazil","Paraná","Nova Tirol","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608908' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615849","NY00615849_01","L. R. Landrum","Piraquara","-49.048057","-25.507775","930","930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","886380","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","ovalifolia","Myrceugenia ovalifolia","(O.Berg) Landrum","O. Handro","753","1958","01","09","South America","Brazil","São Paulo","Paranapiacaba, Estação Biologica.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022765' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886380","NY00886380_01",NA,NA,"-46.3","-23.77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","615852","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","ovalifolia","Myrceugenia ovalifolia","(O.Berg) Landrum","G. G. Hatschbach","14591","1966","08","12","South America","Brazil","Paraná","Col. S. Andrade","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608911' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615852","NY00615852_01","L. R. Landrum","Sao José dos Pinhais","-49.2064","-25.5347",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","886379","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","ovalifolia","Myrceugenia ovalifolia","(O.Berg) Landrum","F. C. Hoehne","s.n.","1923","03","21","South America","Brazil","São Paulo","Alto da Serra, Estação Biologica","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022762' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886379","NY00886379_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1039147","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","ovalifolia","Myrceugenia ovalifolia","(O.Berg) Landrum","R. C. Forzza","4449","2007","01","25","South America","Brazil","Minas Gerais",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1482041' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039147","NY01039147_01","M. Sobral","Lima Duarte","-43.793098449707","-21.8425006866455",NA,NA,"30417","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","886383","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","ovalifolia","Myrceugenia ovalifolia","(O.Berg) Landrum","G. G. Hatschbach","21286","1969","03","19","South America","Brazil","Paraná","Rio Taquari","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022774' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886383","NY00886383_01",NA,"Quatro Barras","-49.0767","-25.3658","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","886384","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","ovalifolia","Myrceugenia ovalifolia","(O.Berg) Landrum","R. Kummrow","2301","1983","04","14","South America","Brazil","Paraná","Rio Itacaré.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022779' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886384","NY00886384_01",NA,"Guaratuba","-48.5744","-25.8831",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","615851","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","ovalifolia","Myrceugenia ovalifolia","(O.Berg) Landrum","G. G. Hatschbach","31808","1973","04","06","South America","Brazil","Paraná","Rio do Corvo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=608910' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615851","NY00615851_01","L. R. Landrum","Quatro Barras","-49.0767","-25.3658",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
