"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","class","identifiedBy","coordinatePrecision","geoFlag","typeStatus","fieldNumber","individualCount","yearIdentified","monthIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","802559","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Grazielia","schultzii","Grazielia schultzii","R.M.King & H.Rob.","G. G. Hatschbach","44548","1982","02","09","South America","Brazil","Paraná","Rio Branco do Sul","Serra do Bromado.","-49.3142","-25.1903","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=14096' target='other'> <mi>dwc_moreinfo</mi></a>","NY00802559","NY00802559_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","802560","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Grazielia","schultzii","Grazielia schultzii","R.M.King & H.Rob.","L. B. Smith","14540","1965","01","15","South America","Brazil","Paraná","Castro","Carambei by Rio São João.","-50.03","-24.5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=14072' target='other'> <mi>dwc_moreinfo</mi></a>","NY00802560","NY00802560_01","950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","802561","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Grazielia","schultzii","Grazielia schultzii","R.M.King & H.Rob.","L. B. Smith","10550","1957","02","01","South America","Brazil","Santa Catarina","Campo Alegre","Lower fazenda of Ernesto Scheide, Campo Alegre.","-49.2656","-26.1925","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798795' target='other'> <mi>dwc_moreinfo</mi></a>","NY00802561","NY00802561_01","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","802558","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Grazielia","schultzii","Grazielia schultzii","R.M.King & H.Rob.","Martii Herbar. Florae Brasil.","808",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798791' target='other'> <mi>dwc_moreinfo</mi></a>","NY00802558","NY00802558_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","802562","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Grazielia","schultzii","Grazielia schultzii","R.M.King & H.Rob.","P. Clausen","s.n.","1840",NA,NA,"South America","Brazil","Minas Gerais",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4619' target='other'> <mi>dwc_moreinfo</mi></a>","NY00802562","NY00802562_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:49:55-03","NBC","NL-BOTANY","L.3958380","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Grazielia","schultzii","Grazielia schultzii","R.M.King & H.Rob.","Martius CFP von",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3958380 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3958380","NL-L3958380",NA,NA,"Magnoliopsidae","Robinson HE",NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 08:49:55-03","NBC","NL-BOTANY","L.3958381","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Grazielia","schultzii","Grazielia schultzii","R.M.King & H.Rob.","Martius CFP von",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3958381 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3958381","NL-L3958381",NA,NA,"Magnoliopsidae","Robinson HE",NA,NA,NA,NA,NA,NA,NA
"8","2016-02-02 14:37:55-02","BGBM","B","B 10 0093565","S","Plantae",NA,NA,"Compositae","Grazielia","schultzii","Grazielia schultzii","R.M.King & H.Rob.",NA,NA,NA,NA,NA,"Middle and South America","Brazil",NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100093565 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100093565","B100093565",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:16:02-03","MBM","MBM","240984","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Grazielia","schultzii","Grazielia schultzii","R.M. King & H. Rob.","Hatschbach, G.; Spichiger, R.; Cervi, A.C.; Barboza, E.; Spichiger, R.; Cervi, A.C.; Barboza, E.","69473","1999","10","21","Southern America","Brazil","Minas Gerais","Joaquim Felício","Serra do Cabral","-44.1721992492676","-17.7574996948242",NA,NA,"MBM240984","MBM240984",NA,NA,NA,"Robinson, H.","37503","auto",NA,NA,NA,NA,NA
"10","2020-12-21 16:16:02-03","MBM","MBM","218009","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Grazielia","schultzii","Grazielia schultzii","R.M. King & H. Rob.","Hatschbach, G.; Hatschbach, M.; Barboza, E.; Hatschbach, M.; Barboza, E.","67239","1987","11","18","Southern America","Brazil","Minas Gerais","Joaquim Felício","Serra do Cabral, próximo ao Armazém da Laje","-44.1721992492676","-17.7574996948242",NA,NA,"MBM218009","MBM218009",NA,NA,NA,"Robinson, H.","37503","auto",NA,NA,NA,NA,NA
