"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","fieldNumber","individualCount","maximumElevationInMeters","class","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","1018896","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Swartzia","glazioviana","Swartzia glazioviana","(Taub.) Glaz.","B. M. Torke","B. M. Torke","403","2008","05","02","South America","Brazil","Rio de Janeiro","Arraial do Cabo","Along the trail from Porto do Forno to Praia do Forno.","-42.0158","-22.9686","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1263466' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018896","NY01018896_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","684783","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Swartzia","glazioviana","Swartzia glazioviana","(Taub.) Glaz.","V. de F. Mansano","H. C. de Lima","2868","1987","05","06","South America","Brazil","Rio de Janeiro","Cabo Frio","Estrada nova p/ Buzios, depois de Guriri.","-42.0183","-22.8794","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=880972' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684783","NY00684783_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","684785","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Swartzia","glazioviana","Swartzia glazioviana","(Taub.) Glaz.",NA,"B. D. Sucre","11311","1981",NA,NA,"South America","Brazil","Rio de Janeiro","Araruama",NA,"-42.3431","-22.8731","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=880975' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684785","NY00684785_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1280928","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Swartzia","glazioviana","Swartzia glazioviana","(Taub.) Glaz.",NA,"V. de F. Mansano","508","2008","01","15","South America","Brazil","Rio de Janeiro","Arraial do Cabo","Topo da trilha de acesso entre o Porto do Forno e a Praia do Forno.","-42.0158","-22.9686","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1642873' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280928","NY01280928_01","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1181593","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Swartzia","glazioviana","Swartzia glazioviana","(Taub.) Glaz.","H. C. de Lima","B. D. Sucre","3159","1968","06","08","South America","Brazil","Rio de Janeiro",NA,"Restinga de Cabo Frio","-42.032149","-22.874703","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1386772' target='other'> <mi>dwc_moreinfo</mi></a>","NY01181593","NY01181593_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","684782","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Swartzia","glazioviana","Swartzia glazioviana","(Taub.) Glaz.",NA,"M. Kuhlmann","s.n.","1936","11","22","South America","Brazil","Rio de Janeiro","Paraíba do Sul",NA,"-43.2928","-22.1619","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=880971' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684782",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1181594","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Swartzia","glazioviana","Swartzia glazioviana","(Taub.) Glaz.","H. C. de Lima","B. D. Sucre","1317","1967","01","17","South America","Brazil","Rio de Janeiro","Cabo Frio","Restinga de Cabo Frio.","-42.032149","-22.874703","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1386773' target='other'> <mi>dwc_moreinfo</mi></a>","NY01181594","NY01181594_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1181586","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Swartzia","glazioviana","Swartzia glazioviana","(Taub.) Glaz.",NA,"H. C. de Lima","3575","1989","04","01","South America","Brazil","Rio de Janeiro","Cabo Frio","Próx. a Praia do Peró, Morro da Piaçava.","-42.0186","-22.8794","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1386758' target='other'> <mi>dwc_moreinfo</mi></a>","NY01181586","NY01181586_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01132051","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Swartzia","glazioviana","Swartzia glazioviana","(Taub.) Glaz.",NA,"H. C. de Lima","6518","2007","02","15","South America","Brazil","Rio de Janeiro","Cabo Frio","Baia Formosa estrada para Llixeira.","-41.9819","-22.8061","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1288104' target='other'> <mi>dwc_moreinfo</mi></a>","NY01132051",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1181595","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Swartzia","glazioviana","Swartzia glazioviana","(Taub.) Glaz.","H. C. de Lima","B. D. Sucre","1899","1967","11","18","South America","Brazil","Rio de Janeiro","Cabo Frio","Restinga de Cabo Frio","-42.032149","-22.874703","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1386774' target='other'> <mi>dwc_moreinfo</mi></a>","NY01181595","NY01181595_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
