"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","dayIdentified","year","month","day","fieldNumber","preparationType","individualCount","verbatimLongitude","verbatimLatitude"
"1","2020-12-21 16:37:52-03","MBM","MBM","354152","PreservedSpecimen","Plantae","Ochnaceae","Elvasia","capixaba","Elvasia capixaba","Fraga & Saavedra","Fraga, C.N.","2004","03","PARATYPE","Zamborlini, F.","27","Southern America","Brazil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.6002998352051","-19.9356002807617","23813","Planta com 60 cm, PAP aprox. 11m de altura, com frutos verdes e amarronzados, sem látex.; Planta com 60cm de PAP, aprox. 11m de altura, com frutos verdes e amarronzados, sem látex.","MBM354152","MBM354152","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:37:52-03","MBM","MBM","354151","PreservedSpecimen","Plantae","Ochnaceae","Elvasia","capixaba","Elvasia capixaba","Fraga & Saavedra","Fraga, C.N.","2003","10","ISOTYPE","Pereira, S.V.; Cardoso, M.S.R.; Cardoso, M.S.R.","23","Southern America","Brazil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia, Valsugana Velha, margem direita do Rio Timbuí. Setor 1, Indivíduo 50, Parcela 2, Subparcela 2","-40.6002998352051","-19.9356002807617","23813","Árvore com aprox. 13,0m de alt. CAP 35cm, com botões amarelos esverdeados.; Árvore com aprox. 13m de alt., CAP=35cm, com botões amarelo-esverdeados.","MBM354151","MBM354151","auto","28","1990","10","13",NA,NA,NA,NA,NA
"3","2013-05-31 18:12:05-03","MNHN","RECOLNAT_MNHN_P","P00690073","PreservedSpecimen",NA,"Ochnaceae","Elvasia","capixaba","Elvasia capixaba","Fraga & M.M.Saavedra","Fraga",NA,NA,"isotype","Pereira, S.V. |Cardoso, M.S.R.",NA,NA,"Brésil",NA,NA,"Es, Mun. de Santa Teresa. Valsugana Velha, Estaçao Biologica de Santa Lucia. Margem direita do Rio Timbui",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00690073' target='other'> <mi>dwc_moreinfo</mi></a>","P00690073","P00690073_01",NA,NA,"1990","10","13","23","hb",NA,NA,NA
"4","2015-09-29 06:56:35-03","MNHN","RECOLNAT_MNHN_P","P00690074","PreservedSpecimen",NA,"Ochnaceae","Elvasia","capixaba","Elvasia capixaba","Fraga & M.M.Saavedra","Fraga",NA,NA,"paratype","Zamborlini, F.|Cardoso, M.S.R.",NA,NA,"Brésil",NA,NA,"Es, Mun. de Santa Teresa. Valsugana Velha, Estaçao Biologica de Santa Lucia",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00690074' target='other'> <mi>dwc_moreinfo</mi></a>","P00690074","P00690074_01",NA,NA,"2004","2","30","27","hb",NA,NA,NA
"5","2010-04-22 11:40:00-03","MO","MOBOT","100268978","PreservedSpecimen","Plantae","Ochnaceae","Elvasia","capixaba","Elvasia capixaba","Fraga & M.M. Saavedra","C. N. Fraga",NA,NA,"Isotype","S. V. Pereira|M. S. R. Cardoso","Pereira 23","South America","Brazil","Espírito Santo","Santa Teresa","Valsugana Velha, Estação Biológica de Santa Lúcia. Margen direita do Rio Timbuí.","-40.6002998352051","-19.9356002807617","23813",NA,NA,NA,"auto",NA,"1990","10","13",NA,NA,"1",NA,NA
"6","2010-04-06 15:02:00-03","MO","MOBOT","100265711","PreservedSpecimen","Plantae","Ochnaceae","Elvasia","capixaba","Elvasia capixaba","Fraga & M.M. Saavedra","C. N. Fraga/Março",NA,NA,"Paratype","F. Zamborlini","Zamborlini 27","South America","Brazil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia.","-40.6002998352051","-19.9356002807617","23813",NA,NA,NA,"auto",NA,"2004","2","30",NA,NA,"1",NA,NA
"7","2020-07-10 09:48:04-03","MBML","MBML-HERBARIO","21996",NA,"Plantae","Ochnaceae","Elvasia","capixaba","Elvasia capixaba","Fraga & Saavedra","C. N. Fraga/Março-2004",NA,NA,"PARATIPO","F. Z. Saiter","27",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"Planta com 60cm, PAP prox. 11m de altura, com frutos verdes e amarronzados, sem látex. A3P18N531.","MBML021996","MBML021996",NA,NA,"2004","02","03",NA,NA,"6","40W31'49","19S58'17"
"8","2020-07-10 09:48:04-03","MBML","MBML-HERBARIO","31264",NA,"Plantae","Ochnaceae","Elvasia","capixaba","Elvasia capixaba","Fraga & Saavedra","F.Z. Saiter/12-01-2005","2005","01",NA,"F. Z. Saiter","54",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"Restos de infrutescências. 11m de altura. 30cm PAP. A3P34N954","MBML031264","MBML031264",NA,"12","2004","03","16",NA,NA,NA,"40W31'49","19S58'17"
"9","2020-07-10 09:48:04-03","MBML","MBML-HERBARIO","7734",NA,"Plantae","Ochnaceae","Elvasia","capixaba","Elvasia capixaba","Fraga & Saavedra","Fraga/28-10-2003",NA,NA,"HOLOTIPO","S. V. Pereira; M. S. R. Cardoso","23",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"Árvore com aprox. 13.0m de altura, CAP = 35 cm, com botões amarelo esverdeado. Setor: 1, indivíduo 50 parcela 2 subparcela 2. Material coletado: folha e flor.","MBML007734","MBML007734",NA,NA,"1990","10","13",NA,NA,"16","40W31'49","19S58'17"
