"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","verbatimLongitude","verbatimLatitude","class","dayIdentified","fieldNumber","individualCount","relatedCatalogItem","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","00941886","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","aegopogon","angustifolia","Tibouchina aegopogon angustifolia","Cogn.","F. S. Meyer","H. S. Irwin","24029","1969","03","08","South America","Brazil","Goiás","Cavalcante","Chapada dos Veadeiros, ca. 7 km south of Cavalcante","-47.5","-13.86327","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022019' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941886","NY00941886_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00941544","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","aegopogon",NA,"Tibouchina aegopogon","(Naudin) Cogn.","C. A. Todzia","H. S. Irwin","34437","1972","01","17","South America","Brazil","Goiás","Cocalzinho de Goiás","Falls of Rio Corumbá, ca. 12 km N. of Corumbá de Goiás","-48.7756","-15.7944","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016375' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941544","NY00941544_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00941547","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","aegopogon",NA,"Tibouchina aegopogon","(Naudin) Cogn.","J. J. Wurdack","B. Maguire","57129","1963","10","19","South America","Brazil","Distrito Federal","Brasília","Between Gama and Rio Corumba.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016557' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941547","NY00941547_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00941539","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","aegopogon",NA,"Tibouchina aegopogon","(Naudin) Cogn.","J. J. Wurdack","H. S. Irwin","26328","1970","02","08","South America","Brazil","Minas Gerais","Paracatú","Serra da Tiririca, ca. 35 km N.W. of Paracatú","-47.1541","-17.05385","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016310' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941539","NY00941539_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","581288","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","aegopogon","angustifolia","Tibouchina aegopogon angustifolia","Cogn.",NA,"J. B. E. Pohl","1191",NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"sheet","The label and Collection Number are J. E. Pohl's even though his name is not on the label. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=486607' target='other'> <mi>dwc_moreinfo</mi></a>","NY00581288","NY00581288_01","isosyntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00941529","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","aegopogon",NA,"Tibouchina aegopogon","(Naudin) Cogn.","J. J. Wurdack","H. S. Irwin","11238","1965","12","12","South America","Brazil","Distrito Federal","Brasília","Cerrado slopes, immediately E. of Lagôa Paranoá","-47.82397","-15.8","975","975","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016263' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941529","NY00941529_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00941546","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","aegopogon",NA,"Tibouchina aegopogon","(Naudin) Cogn.","J. J. Wurdack","W. R. Anderson","8110","1973","04","04","South America","Brazil","Goiás","Cristalina","9 km by road S of Cristalina on road to Catalão. Serra dos Cristais.","-47.67","-16.82","1170","1170","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016512' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941546","NY00941546_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00941528","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","aegopogon",NA,"Tibouchina aegopogon","(Naudin) Cogn.","J. J. Wurdack","H. S. Irwin","11161","1965","12","09","South America","Brazil","Distrito Federal","Brasília","Immediately E. of Lago Paranoá","-47.9294","-15.7797","975","975","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016259' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941528","NY00941528_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00941532","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","aegopogon",NA,"Tibouchina aegopogon","(Naudin) Cogn.","C. A. Todzia","H. S. Irwin","12446","1966","02","09","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 20 km W. of Alto Paraíso de Goiás (formerly Veadeiros).","-47.70192","-14.1167","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016271' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941532","NY00941532_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00941533","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","aegopogon",NA,"Tibouchina aegopogon","(Naudin) Cogn.","J. J. Wurdack","H. S. Irwin","13259","1966","03","02","South America","Brazil","Goiás","Cristalina","Serra dos Cristais, ca. 3 km N. of Cristalina","-47.6","-16.72289","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016274' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941533","NY00941533_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","00941887","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","aegopogon","angustifolia","Tibouchina aegopogon angustifolia","Cogn.","F. S. Meyer","H. S. Irwin","24042","1969","03","08","South America","Brazil","Goiás","Cavalcante","Chapada dos Veadeiros, ca. 7 km south of Cavalcante","-47.5","-13.86327","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022023' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941887","NY00941887_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
