"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","imagecode","identifiedBy","maximumElevationInMeters","coordinatePrecision","geoFlag","infraspecificEpithet","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:40:18-03","E","E","259444","PreservedSpecimen","Plantae","Lauraceae","Nectandra","schomburgkii","Nectandra schomburgkii","unspecified kind of","Schomburgk, Robert Hermann","568","1905","01","10","E. Tropical South America","GY","herbarium specimen of unspecif","BGBASE:270859","<a href=http://data.rbge.org.uk/herb/E00259444 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02423584","PreservedSpecimen","Plantae","Lauraceae","Nectandra","hihua","Nectandra hihua",NA,"M. L. Brotto","695","2011","05","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2669172' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423584","Magnoliophyta","Laurales","(Ruiz & Pav.) Rohwer","Paraná","Diamante do Norte","Estação Ecológica do Caiuá","-52.8669","-22.6069","273","NY02423584_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01194885","PreservedSpecimen","Plantae","Lauraceae","Nectandra","hihua","Nectandra hihua",NA,"M. Guedes","s.n.","1901","10","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1409541' target='other'> <mi>dwc_moreinfo</mi></a>","NY01194885","Magnoliophyta","Laurales","(Ruiz & Pav.) Rohwer","Pará",NA,NA,NA,NA,NA,"NY01194885_01","J. G. Rohwer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01194884","PreservedSpecimen","Plantae","Lauraceae","Nectandra","hihua","Nectandra hihua",NA,"R. P. Bahia","49","1978","08","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1409540' target='other'> <mi>dwc_moreinfo</mi></a>","NY01194884","Magnoliophyta","Laurales","(Ruiz & Pav.) Rohwer","Pará",NA,NA,NA,NA,NA,"NY01194884_01","J. G. Rohwer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00918087","PreservedSpecimen","Plantae","Lauraceae","Nectandra","hihua","Nectandra hihua",NA,"A. F. M. Glaziou","22045","1896",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985916' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918087","Magnoliophyta","Laurales","(Ruiz & Pav.) Rohwer","Goiás",NA,"Brazil: Chiefly Province of Goyaz",NA,NA,NA,"NY00918087_01","J. G. Rohwer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01194874","PreservedSpecimen","Plantae","Lauraceae","Nectandra","hihua","Nectandra hihua",NA,"C. R. Sperling","5783","1982","05","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1409528' target='other'> <mi>dwc_moreinfo</mi></a>","NY01194874","Magnoliophyta","Laurales","(Ruiz & Pav.) Rohwer","Pará",NA,"Serra Norte 8.5 km from AMZA camp N-1 on road to Rio Itacaiúnas","-50.33","-5.98","250","NY01194874_01","J. G. Rohwer","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01194883","PreservedSpecimen","Plantae","Lauraceae","Nectandra","hihua","Nectandra hihua",NA,"M. G. da Silva","3416","1977","10","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1303699' target='other'> <mi>dwc_moreinfo</mi></a>","NY01194883","Magnoliophyta","Laurales","(Ruiz & Pav.) Rohwer","Pará","Altamira","Km 23 da Transamazônica, Centro de Experimentação da EMBRAPA","-52.3978758","-3.271835",NA,"NY01194883_01","J. G. Rohwer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01194886","PreservedSpecimen","Plantae","Lauraceae","Nectandra","hihua","Nectandra hihua",NA,"R. Spruce","s.n.","1849","11",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1409543' target='other'> <mi>dwc_moreinfo</mi></a>","NY01194886","Magnoliophyta","Laurales","(Ruiz & Pav.) Rohwer","Pará",NA,"Ad ripas flum. Amazonum, infra Santarem",NA,NA,NA,"NY01194886_01","J. G. Rohwer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01194876","PreservedSpecimen","Plantae","Lauraceae","Nectandra","hihua","Nectandra hihua",NA,"B. A. Krukoff","6119","1934","09","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1409531' target='other'> <mi>dwc_moreinfo</mi></a>","NY01194876","Magnoliophyta","Laurales","(Ruiz & Pav.) Rohwer","Amazonas",NA,NA,NA,NA,NA,"NY01194876_01 NY01194876_02","J. G. Rohwer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00918088","PreservedSpecimen","Plantae","Lauraceae","Nectandra","hihua","Nectandra hihua",NA,"C. L. Collenette","133","1927","07",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985920' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918088","Magnoliophyta","Laurales","(Ruiz & Pav.) Rohwer","Mato Grosso","Diamantino","Tombador, Diamantino, by stream.","-56.4458","-14.4086",NA,"NY00918088_01","J. G. Rohwer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","01194875","PreservedSpecimen","Plantae","Lauraceae","Nectandra","hihua","Nectandra hihua",NA,"B. A. Krukoff","4758","1933","06","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1409529' target='other'> <mi>dwc_moreinfo</mi></a>","NY01194875","Magnoliophyta","Laurales","(Ruiz & Pav.) Rohwer","Amazonas",NA,NA,NA,NA,NA,"NY01194875_01 NY01194875_02","J. G. Rohwer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
