"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","phylum","order","scientificNameAuthorship","imagecode","identifiedBy","class","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","fieldNumber","typeStatus","individualCount","sex"
"1","2020-09-23 10:35:43-03","E","E","106406","PreservedSpecimen","Plantae","Acanthaceae","Stenandrium","diphyllum","Stenandrium diphyllum","Morong, Thomas","854","1905","03","02","E. Tropical South America","PY","herbarium specimen of unspecif","BGBASE:116749","<a href=http://data.rbge.org.uk/herb/E00106406 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00106406",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:35:43-03","E","E","106408","PreservedSpecimen","Plantae","Acanthaceae","Stenandrium","diphyllum","Stenandrium diphyllum","Fiebrig, K.",NA,"1903","02","01","E. Tropical South America","PY","herbarium specimen of unspecif","BGBASE:116748","<a href=http://data.rbge.org.uk/herb/E00106408 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00106408",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:35:43-03","E","E","106411","PreservedSpecimen","Plantae","Acanthaceae","Stenandrium","diphyllum","Stenandrium diphyllum","Pedersen, Troels Myndel","3032","1954","12","04","Temperate South America","AR","herbarium specimen of unspecif","BGBASE:116747","<a href=http://data.rbge.org.uk/herb/E00106411 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00106411",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:35:43-03","E","E","106412","PreservedSpecimen","Plantae","Acanthaceae","Stenandrium","diphyllum","Stenandrium diphyllum","Fiebrig, K.","4206","1908","11","10","E. Tropical South America","PY","herbarium specimen of unspecif","BGBASE:116742","<a href=http://data.rbge.org.uk/herb/E00106412 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00106412",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:35:43-03","E","E","106407","PreservedSpecimen","Plantae","Acanthaceae","Stenandrium","diphyllum","Stenandrium diphyllum","Fiebrig, K.","4206","1908","11","10","E. Tropical South America","PY","herbarium specimen of unspecif","BGBASE:116741","<a href=http://data.rbge.org.uk/herb/E00106407 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00106407",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:35:43-03","E","E","212694","PreservedSpecimen","Plantae","Acanthaceae","Stenandrium","dulce","Stenandrium dulce","Darwin Chilean Initiative (2002 - 2005)","1517","2004","11","20","Temperate South America","CL","herbarium specimen of unspecif","BGBASE:210096","<a href=http://data.rbge.org.uk/herb/E00212694 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00212694","Región V [Valparaíso]","Provincia de Valparaíso","Caminola Póluora; Fundo los Perales","-71.609444","-35.09","-71.609444","-35.090000","448","448",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:35:43-03","E","E","106409","PreservedSpecimen","Plantae","Acanthaceae","Stenandrium","dulce","Stenandrium dulce","Fiebrig, K.","819","1903","02","01","E. Tropical South America","PY","herbarium specimen of unspecif","BGBASE:116744","<a href=http://data.rbge.org.uk/herb/E00106409 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00106409",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:35:43-03","E","E","106410","PreservedSpecimen","Plantae","Acanthaceae","Stenandrium","dulce","Stenandrium dulce","Fiebrig, K.","819","1903","02","01","E. Tropical South America","PY","herbarium specimen of unspecif","BGBASE:116743","<a href=http://data.rbge.org.uk/herb/E00106410 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00106410",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","03231072","PreservedSpecimen","Plantae","Acanthaceae","Stenandrium","dulce","Stenandrium dulce","W. H. Camp","E1843","1945","02","26","South America","Ecuador","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3536319' target='other'> <mi>dwc_moreinfo</mi></a>","NY03231072","Azuay",NA,"Along the río Tarqui, 4-18 km. south of Cuenca. Near Baños",NA,NA,NA,NA,"2530","2743","Magnoliophyta","Lamiales","(Cav.) Nees","NY03231072_01 NY03231072_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","498954","PreservedSpecimen","Plantae","Acanthaceae","Stenandrium","neesianum","Stenandrium neesianum","G. G. Hatschbach","23128","1969","12","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=137534' target='other'> <mi>dwc_moreinfo</mi></a>","NY00498954","Paraná","Laranjeiras do Sul","Km 127","-52.4158","-25.4081",NA,NA,NA,NA,"Magnoliophyta","Lamiales","Lindau","NY00498954_01","D. C. Wasshausen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-02-08 09:29:50-03","NBC","NL-BOTANY","L.2842568","PreservedSpecimen","Plantae","Acanthaceae","Stenandrium","diphyllum","Stenandrium diphyllum","Pedersen TM",NA,"1962","10","20","Southern America","Argentina",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2842568 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2842568",NA,NA,"Plantae Argentinae. Dry, sandy grasslands, rare. Estancia,,Santa Teresa'. Dep. Mburucuya. Prov. Corrientes.",NA,NA,NA,NA,NA,NA,NA,"Lamiales","Nees","NL-L2842568",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 09:29:50-03","NBC","NL-BOTANY","L.2842574","PreservedSpecimen","Plantae","Acanthaceae","Stenandrium","dulce","Stenandrium dulce","Herzog T",NA,"1911","10","01","Southern America","Bolivia",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2842574 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2842574",NA,NA,"Plantae in itinere secundo per Boliviam lectae. An Erfstellen des Irara - Thalgehanges, Bl. nosa.",NA,NA,NA,NA,NA,NA,NA,"Lamiales","(Cav.) Nees","NL-L2842574",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-02-08 09:29:50-03","NBC","NL-BOTANY","L.3725641","PreservedSpecimen","Plantae","Acanthaceae","Stenandrium","dulce","Stenandrium dulce","Vink R; Wijninga VM",NA,"1985","03","20","Southern America","Colombia",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3725641 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3725641",NA,NA,"Colombia, depto. Cundinamarca, region de la laguna de 'La Herrera'.",NA,NA,NA,NA,NA,NA,NA,"Lamiales","(Cav.) Nees","NL-L3725641",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-02-08 09:29:50-03","NBC","NL-BOTANY","L.3725736","PreservedSpecimen","Plantae","Acanthaceae","Stenandrium","dulce","Stenandrium dulce","Pedersen TM",NA,"1995","01","18","Southern America","Uruguay",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3725736 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3725736",NA,NA,"Plantae Uruguayenses. Cuchilla de Arerungua, Carumbe. Dep. Salto.",NA,NA,NA,NA,NA,NA,NA,"Lamiales","(Cav.) Nees","NL-L3725736",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-02-08 09:29:50-03","NBC","NL-BOTANY","U.1056913","PreservedSpecimen","Plantae","Acanthaceae","Stenandrium","dulce","Stenandrium dulce","Steinbach J",NA,"1928","10","24","Southern America","Bolivia",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1056913 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1056913",NA,NA,"Grasiger Bergpass Comarapa. Depart. Santa Cruz.",NA,NA,NA,NA,NA,NA,NA,"Lamiales","(Cav.) Nees","NL-U1056913",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-02-08 09:29:50-03","NBC","NL-BOTANY","U.1056919","PreservedSpecimen","Plantae","Acanthaceae","Stenandrium","dulce","Stenandrium dulce","Haas JH de",NA,"1967","11","23","Southern America","Argentina",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1056919 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1056919",NA,NA,"Natural pastures (prados) of Valle del Tafi, ca. 60 km SW of Tucuman, N-Argentine.",NA,NA,NA,NA,NA,NA,NA,"Lamiales","(Cav.) Nees","NL-U1056919",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-02-08 09:29:50-03","NBC","NL-BOTANY","U.1138433","PreservedSpecimen","Plantae","Acanthaceae","Stenandrium","dulce","Stenandrium dulce","Pedersen TM",NA,"1948","02","09","Southern America","Argentina",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1138433 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1138433",NA,NA,"Corrientes: Estancia. Santa Teresa.",NA,NA,NA,NA,NA,NA,NA,"Lamiales","(Cav.) Nees","NL-U1138433",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-02-08 09:29:50-03","NBC","NL-BOTANY","L.2842584","PreservedSpecimen","Plantae","Acanthaceae","Stenandrium","neesianum","Stenandrium neesianum","Hatschbach GG",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2842584 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2842584",NA,NA,"Km 127 (Mun. Laranjeiras do Sul) Parana.",NA,NA,NA,NA,NA,NA,NA,"Lamiales","Lindau","NL-L2842584",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-02-08 09:29:50-03","NBC","NL-BOTANY","AMD.24795","PreservedSpecimen","Plantae","Acanthaceae","Stenandrium","trinerve","Stenandrium trinerve","Herter WGF",NA,"1925","11","01","Southern America","Uruguay",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/AMD.24795 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-AMD24795",NA,NA,"Atahualpa, Departamento de Montevideo.",NA,NA,NA,NA,NA,NA,NA,"Lamiales","Nees","NL-AMD24795",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-02-08 09:29:50-03","NBC","NL-BOTANY","L.2842588","PreservedSpecimen","Plantae","Acanthaceae","Stenandrium","trinerve","Stenandrium trinerve","Pedersen TM",NA,"1956","03","23","Southern America","Argentina",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2842588 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2842588",NA,NA,"Rocky ground, in wet places. Dep. Mercedes. Prov. Corrientes.",NA,NA,NA,NA,NA,NA,NA,"Lamiales","Nees","NL-L2842588",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-02-08 09:29:50-03","NBC","NL-BOTANY","L.2842589","PreservedSpecimen","Plantae","Acanthaceae","Stenandrium","trinerve","Stenandrium trinerve","Pedersen TM",NA,"1964","11","15","Southern America","Argentina",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2842589 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2842589",NA,NA,"Plantae Argentinenses. Estancia 'Buena Esperanza'. Dep. Federacion. Prov. Entre Rios.",NA,NA,NA,NA,NA,NA,NA,"Lamiales","Nees","NL-L2842589",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
