"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","order","locality","occurrenceRemarks","yearIdentified","verbatimLongitude","verbatimLatitude","continentOcean","monthIdentified"
"1","2020-11-04 11:15:03-03","ESALQ","ESA","21184","PreservedSpecimen","Plantae","Magnoliophyta","Myrtaceae","Myrcianthes","cionei","Myrcianthes cionei","Mattos","Kawasaki, M.L.","Ivanauskas, N.M.","253.0","1995","07","21","Brasil","São Paulo","Pariquera-Açu","-47.8800010681152","-24.7099990844727","17990","ESA021184","ESA021184","auto",NA,NA,NA,NA,NA,NA,NA,NA
"2","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0074792","PreservedSpecimen","Plantae","Magnoliophyta","Myrtaceae","Myrcianthes","cionei","Myrcianthes cionei","Mattos",NA,"J. Mattos","15612","1971","6",NA,"Brazil","Sao Paulo",NA,NA,NA,NA,NA,NA,NA,"Myrtales","Pariquera-Acu, Estacao Experimental do IAC","Isotype at SP, lost in mail",NA,NA,NA,NA,NA
"3","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0074795","PreservedSpecimen","Plantae","Magnoliophyta","Myrtaceae","Myrcianthes","cionei","Myrcianthes cionei","Mattos",NA,"N. M. Ivanauskas","253","1995","7","21","Brazil","Sao Paulo",NA,"-47.885","-24.608333",NA,NA,NA,NA,"Myrtales","Mun. de Pariquera-Acu. Estacao Experimental do IAC.","cultivated; image of specimen from SP, lost in mail; Arvore de 4 m. Casca externa lisa. Frutos imaturos verdes.",NA,NA,NA,NA,NA
"4","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0074794","PreservedSpecimen","Plantae","Magnoliophyta","Myrtaceae","Myrcianthes","cionei","Myrcianthes cionei","Mattos",NA,"J. Mattos","16236","1973","7","3","Brazil","Sao Paulo",NA,NA,NA,NA,NA,NA,NA,"Myrtales","Instituto Agr. Campinas","cultivated; image of specimen from SP, lost in mail",NA,NA,NA,NA,NA
"5","2021-03-01 16:36:56-03","UNICAMP","UEC","91357","S","Plantae","Magnoliopsida","Myrtaceae","Myrcianthes","cionei","Myrcianthes cionei","Mattos","Kawasaki, ML","Ivanauskas, NM","253","1995","07","21","Brazil","São Paulo","Pariquera-Açu","-47.885","-24.608333",NA,"UEC111379",NA,NA,NA,"Estação Experimental do IAC.","Árvore de 4m. Casca externa lisa. Frutos imaturos verdes.; Mata Atlântica.","1996","-47.885","-24.608333",NA,NA
"6","2021-03-01 16:36:56-03","UNICAMP","UEC","95572","S","Plantae","Magnoliopsida","Myrtaceae","Myrcianthes","cionei","Myrcianthes cionei","Mattos","Kawasaki, ML","Ivanauskas, NM","253","1995","07","21","Brazil","São Paulo","Pariquera-Açu","-47.885","-24.608333",NA,"UEC111380",NA,NA,NA,"Estação Experimental do IAC.","Árvore de 4m. Casca externa lisa. Frutos imaturos verdes.; Mata Atlântica.","1996","-47.885","-24.608333",NA,NA
"7","2020-12-21 16:37:31-03","MBM","MBM","223892","PreservedSpecimen","Plantae",NA,"Myrtaceae","Myrcianthes","cionei","Myrcianthes cionei","Mattos","Ivanauskas, N.M.","Ivanauskas, N.M.","253","1995","07","21","Brazil","São Paulo","Pariquera-Açu","-47.8800010681152","-24.7099990844727","17990","MBM223892","MBM223892","auto",NA,"Estação Experimental do IAC",NA,NA,NA,NA,"Southern America",NA
"8","2019-11-13 11:26:59-03","USP","SPF","65199","PreservedSpecimen","Plantae",NA,"Myrtaceae","Myrcia","cionei","Myrcia cionei","(Mattos) Mazine","Giaretta, A","Mattos, J","16236",NA,NA,NA,"Brasil","São Paulo","Campinas","-47.060001373291","-22.8999996185303","23900","SPF00065199",NA,"auto",NA,"Instituto Agronômico de Campinas",NA,"2016",NA,NA,NA,"06"
"9","2019-10-03 10:04:17-03","UFSCar","SORO","4514","PreservedSpecimen","Plantae",NA,"Myrtaceae","Myrcia","cionei","Myrcia cionei","(Mattos) Mazine",NA,NA,"3335","1948","02","27","Brasil","São Paulo","Paranapiacaba",NA,NA,NA,NA,NA,NA,NA,"Estação Biológica","Arbusto do subbosque da mata úmida.",NA,NA,NA,NA,NA
