"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","country","occurrenceRemarks","individualCount","recordedBy","recordNumber","continentOcean","preparationType","barcode","imagecode","identifiedBy","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","minimumElevationInMeters","maximumElevationInMeters"
"1","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","1333","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Rhipsalis","pilocarpa","Rhipsalis pilocarpa","Loefgr.","Brasil","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","1336","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Rhipsalis","pilocarpa","Rhipsalis pilocarpa","Loefgr.","Brasil","254","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","03890295","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Rhipsalis","pilocarpa","Rhipsalis pilocarpa","Löfgr.","Brazil","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4182359' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Collector unknown","s.n.","South America","sheet","NY03890295","NY03890295_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:04:12-03","ESALQ","ESA","25558","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Cactaceae","Rhipsalis","pilocarpa","Rhipsalis pilocarpa","Löefgr.","Brasil","Pendente em rochas. Frutos imaturos verdes. Beira de Mata Atlântica.",NA,"Souza, V.C.; Rodrigues, R.R.; Arzolla, F.A.R.P.; Ivanauskas, N.M.; Souza, J.P.; Scalon, V.R.; Farah, F.T.; Mazine, F.F.; Sanches, I.D.; Paiva, G.A.; L. M.Campos, Dias, A.S.; V.Pereira, Cordeiro, L.E.; Rodrigues, A.G.; Guskuma, M.","9123.0",NA,NA,"ESA025558","ESA025558","Aona, L.Y.S.","1995","09","04","São Paulo","Eldorado","Parque Estadual de Jacupiranga, Núcleo da Caverna do Diabo. Arredores do alojamento e da Caverna do Diabo.","-48.0999984741211","-24.5200004577637","38804","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:04:12-03","ESALQ","ESA","114239","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Cactaceae","Rhipsalis","pilocarpa","Rhipsalis pilocarpa",NA,"Brasil",NA,NA,"Breier, T.B.","719.0",NA,NA,"ESA114239","ESA114239","Breier, T.B.","2002","11","25","São Paulo","Campinas",NA,"-47.060001373291","-22.8999996185303","23900","auto","2004",NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:04:12-03","ESALQ","ESA","50313","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Cactaceae","Rhipsalis","pilocarpa","Rhipsalis pilocarpa",NA,"Brasil",NA,NA,"Carboni, M. et al.","34.0",NA,NA,"ESA050313","ESA050313",NA,"2005","03","22","São Paulo","Eldorado",NA,"-48.0999984741211","-24.5200004577637","38804","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:04:12-03","ESALQ","ESA","101386","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Cactaceae","Rhipsalis","pilocarpa","Rhipsalis pilocarpa",NA,"Brasil",NA,NA,"Breier, T.B.","719.0",NA,NA,"ESA101386","ESA101386","Breier, T.B.","2002","11","25","São Paulo","Campinas",NA,"-47.060001373291","-22.8999996185303","23900","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-01-14 15:26:44-03","MN","R","231435","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Rhipsalis","pilocarpa","Rhipsalis pilocarpa","Loefgr.","Brasil","Herbário Leopoldo Krieger - CESJ: 62651",NA,"Antunes, K.; Alves, R.J.V.","459",NA,NA,"R010032316",NA,"Furtado, S.G.","2013","04","24","Minas Gerais","Rio Preto",NA,"-43.8278007507324","-22.0891990661621","20815","auto","2013","05","15",NA,NA,NA,NA,NA
"9","2019-11-21 14:33:08-03","UFJF","CESJ","60592","PreservedSpecimen","Plantae","Angiosperma",NA,"Cactaceae","Rhipsalis","pilocarpa","Rhipsalis pilocarpa","Loefgr.","Brasil","Rupícola em paredão rochoso, botões florais alvo a róseos.",NA,"D.R. Gonzaga; G.A. Souza; L.L. Justino; M.R.M. Silva","34","América do Sul",NA,"CESJ060592",NA,"D.R. Gonzaga","2012","09","29","Minas Gerais","Rio Preto","Cânion do Funil, -22.01291S, 43.86288W.","-44.441333","-22.02475",NA,NA,"2012","09","29","-44.441333","-22.02475",NA,NA,NA
"10","2019-11-21 14:33:08-03","UFJF","CESJ","22682","PreservedSpecimen","Plantae","Angiosperma",NA,"Cactaceae","Rhipsalis","pilocarpa","Rhipsalis pilocarpa","Loefgr.","Brasil","Às margens do rio, sobre pau podre. Flores brancas.",NA,"R.C. Oliveira","s.n.","América do Sul",NA,"CESJ022682",NA,"D.C. Zappi","1988","10","23","Minas Gerais","Rio Preto","Gruta do Funil","-43.8278007507324","-22.0891990661621","20815","auto","1990","05","03",NA,NA,NA,NA,NA
"11","2019-11-21 14:33:08-03","UFJF","CESJ","21615","PreservedSpecimen","Plantae","Angiosperma",NA,"Cactaceae","Rhipsalis","pilocarpa","Rhipsalis pilocarpa","Loefgr.","Brasil","Epífita na mata. Botões florais paliáceos.",NA,"F.R.G. Salimena; M.C. Brügger","s.n.","América do Sul",NA,"CESJ021615",NA,"D.C. Zappi",NA,NA,NA,"Minas Gerais","Rio Preto","Serra do Funil","-43.8278007507324","-22.0891990661621","20815","auto","1990","05","03",NA,NA,NA,NA,NA
"12","2019-11-21 14:33:08-03","UFJF","CESJ","47379","PreservedSpecimen","Plantae","Angiosperma",NA,"Cactaceae","Rhipsalis","pilocarpa","Rhipsalis pilocarpa","Loefgr.","Brasil","Epífita, interior de mata. Caule cilídrico, frutos róseo escuro, globoso, semente numerosa e preta, caule verde escuro.",NA,"N.L. Abreu; L. Menini Neto; O.J. Bastos Neto","70","América do Sul",NA,"CESJ047379",NA,"C.N. Matozinhos","2006","04","18","Minas Gerais","Rio Preto","Serra Negra, Canion.","-43.8278007507324","-22.0891990661621","20815","auto","2006","08",NA,NA,NA,NA,NA,NA
"13","2019-11-21 14:33:08-03","UFJF","CESJ","63477","PreservedSpecimen","Plantae","Angiosperma",NA,"Cactaceae","Rhipsalis","pilocarpa","Rhipsalis pilocarpa","Loefgr.","Brasil","Rupícola, frutos magenta maduros.",NA,"D.R. Gonzaga; M.R. Magalhães-Silva","128","América do Sul",NA,"CESJ063477",NA,"D.R. Gonzaga","2012","12","27","Minas Gerais","Rio Preto","Serra Negra, Cânion do funil.","-43.8278007507324","-22.0891990661621","20815","auto","2012","12",NA,NA,NA,NA,NA,NA
"14","2019-11-21 14:33:08-03","UFJF","CESJ","61289","PreservedSpecimen","Plantae","Angiosperma",NA,"Cactaceae","Rhipsalis","pilocarpa","Rhipsalis pilocarpa","Loefgr.","Brasil","Erva epífita,campo quartizítico. Flores alvas, receptáculo roxo. Fruto rosa. Caule ocacionalmente roxo.",NA,"K. Antunes; R.J.V. Alves; J.H.C. Ribeiro; N. L. Abreu","306","América do Sul",NA,"CESJ061289",NA,"D.R. Gonzaga","2012","10","19","Minas Gerais","Rio Preto","Serra Negra, Vila Do Funil, entorno cânion","-43.8278007507324","-22.0891990661621","20815","auto","2012","11","21",NA,NA,NA,NA,NA
