"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","locality","preparationType","imagecode","continentOcean","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","infraspecificEpithet","typeStatus"
"1","2019-08-27 13:28:35-03","IAP","PACA-AGP","73492","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Caryophyllales","Cactaceae","Gymnocalycium","denudatum","Gymnocalycium denudatum","(Link & Otto) Pfeiff. ex Mittler","Herb. ZSS","Egli","2432","1994","01","31","Brasil","RS","Caçapava do Sul","-53.4914016723633","-30.5121994018555","50525","CRITICAMENTE EM PERIGO","PACA073492","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-08-27 13:28:35-03","IAP","PACA-AGP","73481","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Caryophyllales","Cactaceae","Gymnocalycium","denudatum","Gymnocalycium denudatum","(Link & Otto) Pfeiff. ex Mittler","Herb. ZSS","U. Eggli","2458","1994","02","02","Brasil","RS","Hulha Negra","-53.8694000244141","-31.4041996002197","50649","CRITICAMENTE EM PERIGO","PACA073481","auto","Pinheiro Machado",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-09-04 16:16:01-03","MNHN","RECOLNAT_MNHN_P","P04594020","PreservedSpecimen",NA,NA,NA,NA,"Cactaceae","Echinocactus","denudatus","Echinocactus denudatus","Link & Otto",NA,"Weber, F.A.C.",NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,". s.d. Reçu le 23 Décembre 1932 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04594020' target='other'> <mi>dwc_moreinfo</mi></a>","P04594020",NA,"Brésil. Brasil, América do Sul","hb","P04594020_01",NA,NA,NA,NA,NA,NA,NA
"4","2008-05-27 22:02:00-03","MO","MOBOT","1455855","PreservedSpecimen","Plantae",NA,NA,NA,"Cactaceae","Gymnocalycium","denudatum","Gymnocalycium denudatum","(Link & Otto) Pfeiff. ex Mittler",NA,"Moses Craig","Craig 199/04/19","1911","5",NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"Cultivated M.B.G.",NA,NA,"South America",NA,NA,NA,NA,NA,NA
"5","2019-11-13 11:17:19-03","USP","SPF","84757","PreservedSpecimen","Plantae",NA,NA,NA,"Cactaceae","Gymnocalycium","denudatum","Gymnocalycium denudatum","(Link & Otto) Pfeiff. ex Mittler","Zappi, DC","Zappi, DC","104","1989","05","26","Paraguai","Cordillera",NA,NA,NA,NA,NA,"SPF00084757",NA,"Itamonati, Km 84 on the road Paraguari - Piribebuy.",NA,NA,NA,"250","250",NA,NA,NA,NA
"6","2019-10-07 09:18:39-03","UEFS","HUEFS","104842","PreservedSpecimen","Plantae","Angiospermae","Caryophyllanae","Caryophyllales","Cactaceae","Gymnocalycium","denudatum","Gymnocalycium denudatum","(Link & Otto) Pfeiff. ex Mittler",NA,"Machado, M.","515","2005","11","05","Brasil","Rio Grande do Sul","Caçapava do Sul","-53.646944","-30.618056",NA,NA,"HUEFS0104842",NA,"16.6 km na rodovia RS-357 de Caçapava do Sul em direção a Lavras do Sul, contados a partir do início do asfalto. Dobra-se à direita em estrada de terra para Santa Bárbara, após 15.3 km afloramento rochoso do lado esquerdo da estrada.",NA,"HUEFS0104842",NA,"314","314","53W38'49''","30S37'5''",NA,NA
"7","2019-10-07 09:18:39-03","UEFS","HUEFS","104977","PreservedSpecimen","Plantae","Angiospermae","Caryophyllanae","Caryophyllales","Cactaceae","Gymnocalycium","denudatum","Gymnocalycium denudatum","(Link & Otto) Pfeiff. ex Mittler",NA,"Machado, M.","651","2005","11","29","Brasil","Rio Grande do Sul","Pinheiro Machado","-53.341389","-31.106389",NA,NA,"HUEFS0104977",NA,"BR-293, 13.6 km a leste da entrada de Pinheiro Machado em direção a Bagé (km 121 da BR-293), dobrar à direita em estrada de terra para Torrinhas, após 28.4 km chega-se em Torrinhas, seguir na estrada, após 28.7 km há uma bifurcação, dobrar à esquerda, após 7.8 km afloramentos de granito à direita da estrada.",NA,"HUEFS0104977",NA,"371","371","53W20'29''","31S6'23''",NA,NA
"8","2017-09-11 17:09:07-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,"Cactaceae","Echinocactus","denudatus","Echinocactus denudatus","Link & Otto",NA,"Sellow, F","s.n.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,"Floret Majo et Junio, odorem suavissimum exhalans. (Vidi exemplar originarium).&nf;NOME AUTOR ESTÁ CORRETO?",NA,NA,"Habitat in Brasilia australi, ubi cl. Sello eum legit et in hortum Berolinensem misit.",NA,"P04P2N0050","Southern America",NA,NA,NA,NA,NA,NA
"9","2021-02-08 12:39:03-03","UFRGS","ICN","170625","S","Plantae","Dicotyledon",NA,NA,"Cactaceae","Gymnocalycium","denudatum","Gymnocalycium denudatum","(Link & Otto) Pfeiff. ex Mittler","Salengue, EV","Salengue, EV; Saraiva, DD","8","2009","03","14","Brasil","RS","Pedras Altas",NA,NA,NA,"Diâmetro= 44.0-44.8mm, Comprimento= 62.4-73.0mm; 13 costelas, em média 3-4 espinhos centrais (18.7-22.2-25.3mm) e em torno de 6 a 8 espinhos laterais (11.4-12.5-19.9mm); botão floral seco.; Campo pedregoso.",NA,NA,NA,NA,NA,"América do Sul","315","315",NA,NA,NA,NA
"10","2021-02-08 12:39:03-03","UFRGS","ICN","164413","S","Plantae","Dicotyledon",NA,NA,"Cactaceae","Gymnocalycium","denudatum","Gymnocalycium denudatum angulatum","Prestlé",NA,"Prestlé, KH; PR","780","1988","02","05","Brasil","RS","Cavera",NA,NA,NA,"doação herbário WU; in rupibus schistosis","ICN00000148",NA,NA,NA,"ICN00000148","América do Sul",NA,NA,NA,NA,"angulatum","Holotypus"
"11","2021-02-08 12:39:03-03","UFRGS","ICN","164414","S","Plantae","Dicotyledon",NA,NA,"Cactaceae","Gymnocalycium","denudatum","Gymnocalycium denudatum necopinum","Prestlé",NA,"Prestlé, KH; PR","876","1995","03","12","Brasil","RS","Porto Alegre","-51.2299995422363","-30.0331001281738","29946","doação herbário WU; Planície Costeira, ad orientem solem pagi Viamão","ICN00000184","auto",NA,NA,"ICN00000184","América do Sul",NA,NA,NA,NA,"necopinum","Holotypus"
"12","2020-06-26 10:18:24-03","MCN-FZBRS","HAS","79204","PreservedSpecimen","Plantae","Magnoliophyta",NA,NA,"Cactaceae","Gymnocalycium","denudatum","Gymnocalycium denudatum","(Link & Otto) Pfeiff. ex Mittler","Nilson, A.D.","Nilson, A.D.","429","1995","04",NA,"Brasil","Rio Grande do Sul","Santana da Boa Vista","-53.1152992248535","-30.8719005584717","47489",NA,"HAS0079204","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-06-26 10:18:24-03","MCN-FZBRS","HAS","68288","PreservedSpecimen","Plantae","Magnoliophyta",NA,NA,"Cactaceae","Gymnocalycium","denudatum","Gymnocalycium denudatum","(Link & Otto) Pfeiff. ex Mittler","Nilson, A.D.","Nilson, A.D.","372","1994","03",NA,"Brasil","Rio Grande do Sul","Santana da Boa Vista","-53.1152992248535","-30.8719005584717","47489","Sobre pedras, próximo ao córrego.","HAS0068288","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
