"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","fieldNumber","class","individualCount","relatedCatalogItem"
"1","2020-09-23 10:41:32-03","E","E","304884","PreservedSpecimen","Plantae","Melastomataceae","Cambessedesia","gracilis","Cambessedesia gracilis","Laessoe, T. & Silva, T.","1992","03","23","E. Tropical South America","BR","Bahia","herbarium specimen of unspecif","BGBASE:315227","<a href=http://data.rbge.org.uk/herb/E00304884 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00304884",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","629510","PreservedSpecimen","Plantae","Melastomataceae","Cambessedesia","gracilis","Cambessedesia gracilis","W. Ganev","1992","05","25","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=362517' target='other'> <mi>dwc_moreinfo</mi></a>","NY00629510","Magnoliophyta","Myrtales","Wurdack","E. M. Woodgyer","356","Abaíra","Veio de Cristais","-41.88","-13.33","1800","1800","NY00629510_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","477725","PreservedSpecimen","Plantae","Melastomataceae","Cambessedesia","gracilis","Cambessedesia gracilis","S. A. Mori","1980","03","24","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=362515' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477725","Magnoliophyta","Myrtales","Wurdack","J. J. Wurdack","13574",NA,"Agua Quente. Pico das Almas, a 17 km ao NW de Rio de Contas",NA,NA,"1200","1200","NY00477725_01","paratype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","629508","PreservedSpecimen","Plantae","Melastomataceae","Cambessedesia","gracilis","Cambessedesia gracilis","W. Ganev","1994","07","23","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=362519' target='other'> <mi>dwc_moreinfo</mi></a>","NY00629508","Magnoliophyta","Myrtales","Wurdack","E. M. Woodgyer","3420","Abaíra","Caminho Boa Vista-Bicota","-41.85","-13.32","1200","1400","NY00629508_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01093076","PreservedSpecimen","Plantae","Melastomataceae","Cambessedesia","gracilis","Cambessedesia gracilis","A. K. A. dos Santos","2005","07","27","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1246934' target='other'> <mi>dwc_moreinfo</mi></a>","NY01093076","Magnoliophyta","Myrtales","Wurdack","A. K. A. dos Santos","408","Rio de Contas","Gerais do Porco Gordo.","-41.7531","-13.4428","1226","1226","NY01093076_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02137340","PreservedSpecimen","Plantae","Melastomataceae","Cambessedesia","gracilis","Cambessedesia gracilis","M. J. R. Rocha","2012","02","14","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2190333' target='other'> <mi>dwc_moreinfo</mi></a>","NY02137340","Magnoliophyta","Myrtales","Wurdack","A. K. A. dos Santos","343","Rio de Contas","Pico das Almas. Trilha Pico das Almas","-41.9486","-13.51692",NA,NA,"NY02137340_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","629509","PreservedSpecimen","Plantae","Melastomataceae","Cambessedesia","gracilis","Cambessedesia gracilis","W. Ganev","1992","05","05","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=362516' target='other'> <mi>dwc_moreinfo</mi></a>","NY00629509","Magnoliophyta","Myrtales","Wurdack","E. M. Woodgyer","221","Abaíra","Distrito de Catolés, Tijuquinho, perto da Serra do Rey","-41.92","-13.3","1750","1750","NY00629509_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","629511","PreservedSpecimen","Plantae","Melastomataceae","Cambessedesia","gracilis","Cambessedesia gracilis","R. M. Harley","1992","03","23","South America","Brazil","Bahia","sheet",NA,"Harley is not on the label but we can assume he is the colector <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=362518' target='other'> <mi>dwc_moreinfo</mi></a>","NY00629511","Magnoliophyta","Myrtales","Wurdack","E. M. Woodgyer","H53320","Abaíra","Campo de Ouro fino (baixo)","-41.9","-13.25","1600","1700","NY00629511_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:20:00-03","UFBA","ALCB","10664","PreservedSpecimen","Plantae","Melastomataceae","Cambessedesia","gracilis","Cambessedesia gracilis","Ganev, W","1992","05","05","Southern America","Brasil","Bahia",NA,NA,"de até 60 cm. Caule verde-vináceo. Folhas verdes com tons vináceos. Cálice verde-vináceo, pétalas, estames e estiletes amarelos.","ALCB061226","Dicotyledon",NA,"Wurdack","Rodrigues, KF","221","Abaíra","Chapada Diamantina, Distrito de Catolés, Tijuquinho perto da Serra do Rey","-41.916667","-13.3","1750","1750",NA,NA,"2011","01","-41.916667","-13.3",NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:20:00-03","UFBA","ALCB","47690","PreservedSpecimen","Plantae","Melastomataceae","Cambessedesia","gracilis","Cambessedesia gracilis","Harley, RM; Giulietti, AM","2000","06","18","Southern America","Brasil","Bahia",NA,NA,"esguio até 80 cm, ramificados com ramos avermelhados, espalhados. Folhas filiformes, avermelhadas. Flor com hipanto verde-claro com tom de vermelho, passando a vermelho. Pétalas concolores, amarelo-vivo; estames amarelos, estilete ama","ALCB061225","Dicotyledon",NA,"Wurdack","Rodrigues, KF","53997","Rio de Contas","Chapada Diamantina, Arapiranga, na beira da trilha para a Serra do Porco Gordo","-41.754444","-13.450556","1100","1100",NA,NA,"2011","01","-41.754444","-13.450556",NA,NA,NA,NA,NA,NA
