"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","relatedCatalogItem","occurrenceRemarks","barcode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","imagecode","minimumElevationInMeters","maximumElevationInMeters","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","infraspecificEpithet","class","individualCount","typeStatus","fieldNumber","sex"
"1","2020-09-24 10:58:18-03","UEPA","MFS-FLORES","MFSFL000046","S","Plantae","Bixaceae","Bixa","orellana","Bixa orellana","L.","Silva, RMA da","01","2012","08","28","Brasil","Pará","Belém","Museu Paraense Emílio Goeldi(Campus de pesquisa).","-48.490178","-1.455731","-48.490178","-1.455731","MFS001481","Arbusto de aproximadamente de 3 metros de altura, com botões florais laranja com frutos vermelhos.","MFSFL000046",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:22-03","UNESC","CRI","11923","PreservedSpecimen","Plantae","Bixaceae","Bixa","orellana","Bixa orellana","L.","Vanilde C. Zanette",NA,"2011","10","08","Brasil","Santa Catarina","Nova Veneza","Caravaggio.","-49.498333","-28.636944","49º29'54''W","28º38'13''S",NA,NA,"CRI008757","Vanilde C. Zanette","2011","10","08","CRI008757",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:22-03","UNESC","CRI","994","PreservedSpecimen","Plantae","Bixaceae","Bixa","orellana","Bixa orellana","L.","E. Beninca",NA,"1992","04","26","Brasil","Santa Catarina","Criciúma",NA,"-49.37","-28.678056","49º22'12''W","28º40'41''S",NA,NA,"CRI001835","Edna Beninca",NA,NA,NA,"CRI001835","58","58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:36:36-03","E","E","125690","PreservedSpecimen","Plantae","Bixaceae","Bixa","orellana","Bixa orellana",NA,"Miquel",NA,NA,NA,NA,"SR",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00125690 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00125690",NA,NA,NA,NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:136688",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:36:36-03","E","E","125686","PreservedSpecimen","Plantae","Bixaceae","Bixa","orellana","Bixa orellana",NA,"Ratter, J.A., Milliken, W., Coelho, Luiz F., da Mota, Cosme D.A., & Sothers, Cynthia",NA,"1987","10","27","BR",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00125686 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00125686",NA,NA,NA,NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:136675",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:36:36-03","E","E","125683","PreservedSpecimen","Plantae","Bixaceae","Bixa","orellana","Bixa orellana",NA,"Silva, Edileusa Sette & Lima, José",NA,"1987","08","23","BR",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00125683 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00125683",NA,NA,NA,NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:136682",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:36:36-03","E","E","125685","PreservedSpecimen","Plantae","Bixaceae","Bixa","orellana","Bixa orellana",NA,"Milliken, W. & Bowles, S.",NA,"1987","05","23","BR",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00125685 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00125685",NA,NA,NA,NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:136677",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:36:36-03","E","E","311083","PreservedSpecimen","Plantae","Bixaceae","Bixa","orellana","Bixa orellana",NA,"McDowell, T.","2287","1990","04","17","GY",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00311083 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00311083",NA,NA,NA,NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:318362",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:36:36-03","E","E","125692","PreservedSpecimen","Plantae","Bixaceae","Bixa","orellana","Bixa orellana",NA,"Spruce, R.","1066","1905","01","26","BR",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00125692 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00125692",NA,NA,NA,NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:136701",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:36:36-03","E","E","125693","PreservedSpecimen","Plantae","Bixaceae","Bixa","orellana","Bixa orellana",NA,"Gardner, George",NA,NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00125693 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00125693",NA,NA,NA,NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:136703",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
