"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","fieldNumber","individualCount","sex"
"1","2021-04-05 14:33:37-03","UNESC","CRI","3419","PreservedSpecimen","Plantae","Loasaceae","Blumenbachia","scabra","Blumenbachia scabra","(Miers) Urb.","Marcos Sobral","1995","01","02","Robson dos Santos","194","1994","12","13","Brasil","Rio Grande do Sul","Cambará do Sul","Interior do Canion do Itaimbezinho.","-50.144167","-29.047778","50º8'39''W","29º2'52''S","1019","1019","Habitat: mata atlântica Habito: trepadeira","CRI006314","CRI006314",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:26-03","UNESC","CRI","12089","PreservedSpecimen","Plantae","Loasaceae","Blumenbachia","scabra","Blumenbachia scabra","(Miers) Urb.","Schwirkowski, P.","2016","11","05","Schwirkowski, P.","2043","2016","11","05","Brasil","Santa Catarina","São Bento do Sul","Rio Natal, entrada de ferro, próximo à Estação abandonada.","-49.285556","-26.354444","49º17'8''W","26º21'16''S","360","360","Liana, urticante, flores brancas com manchas avermelhadas, fruto fusiforme","CRI010267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","617843","PreservedSpecimen","Plantae","Loasaceae","Blumenbachia","scabra","Blumenbachia scabra","(Miers) Urb.","M. Weigend",NA,NA,NA,"P. K. H. Dusén","15452","1914","08","28","Brazil","Paraná","Jaguariaíva","Jacarehý","-49.7056","-24.2511",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=267680' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617843","NY00617843_01","Magnoliophyta","Cornales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","617842","PreservedSpecimen","Plantae","Loasaceae","Blumenbachia","scabra","Blumenbachia scabra","(Miers) Urb.","M. Weigend",NA,NA,NA,"G. G. Hatschbach","17414","1967","10","19","Brazil","Paraná","Guaraqueçaba","Rio do Cedro","-48.32","-25.28",NA,NA,"50","50","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=267681' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617842","NY00617842_01","Magnoliophyta","Cornales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","617844","PreservedSpecimen","Plantae","Loasaceae","Blumenbachia","scabra","Blumenbachia scabra","(Miers) Urb.","M. Weigend",NA,NA,NA,"G. G. Hatschbach","16334","1967","03","14","Brazil","Paraná","Antonina","Serra Capivari Grande","-48.7117","-25.4286",NA,NA,"500","500","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=267682' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617844","NY00617844_01","Magnoliophyta","Cornales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","617841","PreservedSpecimen","Plantae","Loasaceae","Blumenbachia","scabra","Blumenbachia scabra","(Miers) Urb.","M. Weigend",NA,NA,NA,"G. G. Hatschbach","41572","1978","08","31","Brazil","Paraná","Cerro Azul","Barra do Lageado Grande","-49.2608","-24.8236",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=267683' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617841","NY00617841_01","Magnoliophyta","Cornales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-29 12:21:00-03","NY","NYBG","260249","PreservedSpecimen","Plantae","Loasaceae","Blumenbachia","scabra","Blumenbachia scabra schenckiana","Urb.",NA,NA,NA,NA,"R. Reitz","5600","1957","11","06","Brazil","Santa Catarina",NA,"Estrada Dona Francisca, Joinvile",NA,NA,NA,NA,"550","550","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=397704' target='other'> <mi>dwc_moreinfo</mi></a>","NY00260249","NY00260249_01","Magnoliophyta","Cornales","South America","sheet","schenckiana","isoneotype",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","617845","PreservedSpecimen","Plantae","Loasaceae","Mentzelia","aspera","Mentzelia aspera","L.","B. L. Turner",NA,NA,NA,"J. A. Steyermark","112726","1976","10","10","Venezuela","Distrito Capital","Libertador","In valley of Río Chichiriviche, 0.5 km south of Chichiriviche","-67.2417","10.55",NA,NA,"2","2","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=351038' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617845",NA,"Magnoliophyta","Cornales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","617849","PreservedSpecimen","Plantae","Loasaceae","Mentzelia","aspera","Mentzelia aspera","L.","M. Weigend",NA,NA,NA,"A. M. V. de Carvalho","3948","1992","06","10","Brazil","Bahia","Bom Jesus da Lapa","Ca. 16 km na estrada de Bom Jesus da Lapa para Ibotirama","-43.41","-13.25",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=351045' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617849","NY00617849_01","Magnoliophyta","Cornales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","617850","PreservedSpecimen","Plantae","Loasaceae","Mentzelia","aspera","Mentzelia aspera","L.",NA,NA,NA,NA,"G. G. Hatschbach","56610","1992","04","05","Brazil","Bahia","Bom Jesus da Lapa","Bom Jesus da Lapa, rodovia para Malhada","-43.41","-13.25",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=351050' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617850","NY00617850_01","Magnoliophyta","Cornales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
