"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00590341","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","pabstiana","Mimosa pabstiana","Barneby","J. Santos Silva","A. G. d. Silva","120","1999","08","18","South America","Brazil","Pernambuco","Brejo da Madre de Deus","Brejo da Madre de Deus. Mata do Bituri","-36.38","-8.2","920","1030","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=485093' target='other'> <mi>dwc_moreinfo</mi></a>","NY00590341","NY00590341_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00934354","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","pabstiana","Mimosa pabstiana","Barneby","R. C. Barneby","A. F. M. Glaziou","13777",NA,NA,NA,"South America","Brazil","Minas Gerais",NA,"Brésil (Minas)",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=935230' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934354","NY00934354_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","888252","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","pabstiana","Mimosa pabstiana","Barneby","R. C. Barneby","A. F. M. Glaziou","12641",NA,NA,NA,"South America","Brazil","Minas Gerais",NA,"Santa Barbara",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936792' target='other'> <mi>dwc_moreinfo</mi></a>","NY00888252","NY00888252_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","2950","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","pabstiana","Mimosa pabstiana","Barneby",NA,"G. F. J. Pabst","8306","1965","01","15","South America","Brazil","Minas Gerais",NA,"BR-4, entre km 810-811.",NA,NA,NA,NA,"sheet","= E. Pereira 9415 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=77949' target='other'> <mi>dwc_moreinfo</mi></a>","NY00002950","NY00002950_01","holotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-08 17:40:07-03","EAO","IAN","107653","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Mimosa","pabstiana","Mimosa pabstiana","Barneby","Rodrigues, WA","Magalhães, MG","14964","1959","04","08","Southern America","Brasil","Minas Gerais","Araçuaí",NA,"-42.0703010559082","-16.8497009277344",NA,NA,NA,"Subarbusto 0,50-1,00m ramos nigados; flor rosea.","IAN107653",NA,NA,"1988","46442","auto",NA,NA,NA,NA,NA,NA,NA
"6","2021-04-08 17:40:07-03","EAO","IAN","107654","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Mimosa","pabstiana","Mimosa pabstiana","Barneby","Rodrigues, WA","Magalhães, MG","14964","1959","04","08","Southern America","Brasil","Minas Gerais","Araçuaí","4km da cidade. Clareiras e orlas da Caatiga.","-42.0703010559082","-16.8497009277344",NA,NA,NA,"Subarbusto 0,50-100m altura; flor rosea. Isolada entre si.&nf;Formam emarannhados ramos vergados.","IAN107654",NA,NA,"1988","46442","auto",NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:16:36-03","UFBA","ALCB","61960","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Mimosa","pabstiana","Mimosa pabstiana","Barneby","Jordão, LSB","Rigueira, D; Oliveira, VF de; Junior, LAJ de; Mota, AC da; Guedes, ML; Roque, N; et al.","05","2003","04","27","Southern America","Brasil","Bahia","Contendas do Sincorá","Serra Geral, Fazenda corcovado","-41.162222","-13.918611",NA,NA,NA,"de 2m., espinescente. Folíolos discolores. Corola esverdeada, filetes liláses.","ALCB024270","ALCB024270 ALCB024270_1",NA,"2017",NA,NA,"06","05","-41.162222","-13.918611",NA,NA,NA
"8","2020-04-08 15:12:00-03","MO","MOBOT","101189553","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","pabstiana","Mimosa pabstiana","Barneby",NA,"Guido F.J. Pabst|E. Pereira","Pabst 8306",NA,NA,NA,"South America","Brazil","Minas Gerais",NA,"Estrada BR-4, entre km 810 e 811.",NA,NA,NA,NA,NA,NA,NA,NA,"Holotype",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"9","2019-06-10 10:10:46-03","FZB-BH","BHZB","4588","S","Plantae",NA,NA,"Fabaceae - Mimosoideae","Mimosa","pabstiana","Mimosa pabstiana",NA,"L, Jordão","Andrade, I.R. et al.","502","2004","03","16",NA,"Brasil","MG","Itinga","Estrada de terra Itinga-Itaobim","-41.7653007507324","-16.6131000518799",NA,NA,NA,"Com duplicata. DD.Rara",NA,NA,NA,"2017","41806","auto","09","01",NA,NA,NA,NA,NA
"10","2020-09-12 05:00:02-03","US","US","3095155","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Mimosa","pabstiana","Mimosa pabstiana","Barneby",NA,"G. F. J. Pabst & E. Pereira","8306","1965","1","15","South America - Neotropics","Brazil","Minas Gerais",NA,"Br-4, between km 810 to 811.",NA,NA,NA,NA,NA,NA,"US00008063","US00008063_01","Isotype",NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
