"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","452756","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Platycarpum","acreanum","Platycarpum acreanum","G.K.Rogers","P. G. Delprete","C. A. Cid Ferreira","10407","1991","10","27","South America","Brazil","Acre","Porto Walter","Igarapé Humaitá, afluente da margem direita do Rio Juruá, atrás da Colocaçao Dois Portos","-72.78","-8.32","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=596788' target='other'> <mi>dwc_moreinfo</mi></a>","NY00452756","NY00452756_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","702967","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Platycarpum","acreanum","Platycarpum acreanum","G.K.Rogers",NA,"P. G. Delprete","7718","2001","11","12","South America","Brazil","Acre","Porto Walter","Rio Juruá-Mirim, Comunidade Santo Antonio.","-73.049705","-8.2359554","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=596792' target='other'> <mi>dwc_moreinfo</mi></a>","NY00702967","NY00702967_01","200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:48:05-03","EAO","IAN","151475","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rubiaceae","Platycarpum","acreaanum","Platycarpum acreaanum","G.K.Rogers","Dávila, N","Marinho, LR","26","1976","02","08","Southern America","Brasil","Acre","Cruzeiro do Sul","Projeto RADAM, sub-base Cruzeiro do Sul, SB-18-ZD.","-72.6699981689453","-7.63111019134521",NA,"Árvore de 15m e 1,50m de circ.Frutos verdes pequenos.","IAN151475",NA,NA,NA,"2015","11","12","123037","auto",NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:26:21-03","NBC","NL-BOTANY","U.1569223","PreservedSpecimen","Plantae",NA,"Gentianales","Rubiaceae","Platycarpum","acreanum","Platycarpum acreanum","G.K.Rogers","Delprete PG","Delprete PG; et al.",NA,"2001","11","12","Southern America","Brazil","Acre",NA,NA,"-73.05","-8.233333",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1569223 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1569223","NL-U1569223",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","-73.05","-8.233333","U 0107445",NA,NA
"5","2016-05-14 04:13:00-03","MO","MOBOT","100818165","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Platycarpum","acreanum","Platycarpum acreanum","G.K. Rogers",NA,"Nállarett Dávila","Dávila Cardozo 6334","2014","10","10","South America","Brazil","Acre","Cruzeiro do Sul","Rio Içana.","-72.6699981689453","-7.63111019134521",NA,NA,NA,NA,"91.00000000",NA,NA,NA,NA,"123037","auto",NA,NA,NA,NA,"1",NA
"6","2015-05-08 14:43:00-03","MO","MOBOT","3169949","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Platycarpum","acreanum","Platycarpum acreanum","G.K. Rogers","N. Dávila (UNICAMP)","Douglas C. Daly","Daly 10611","2000","12","12","South America","Brazil","Acre",NA,"Cruzeiro do Sul: Basin of Rio Jurua, vegetation flanking unpaved and unfinished road near intersection with Ramal Pentecostes. Campina complex of vegetation typs on white sand overlying impermeable clay.","-73.0166667","-7.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"7","2015-05-08 14:47:00-03","MO","MOBOT","3171456","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Platycarpum","acreanum","Platycarpum acreanum","G.K. Rogers","N. Dávila (UNICAMP)","Piero G. Delprete|E.C. de Oliveira|E. Ferreira|J.M. da Costa Oliveira","Delprete 7718","2001","11","12","South America","Brazil","Acre",NA,"Porto Walter; Rio Jurua-Mirim, comnidade Santo Antonio. Secondary and primary forests, intermixed, canopy 25-40 meter tall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"8","2009-12-10 08:57:00-02","MO","MOBOT","3446090","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Platycarpum","acreanum","Platycarpum acreanum","G.K. Rogers","McDaniel","G.M. Armistead","Armistead s.n.","1990","5","31","South America","Peru","Loreto","Maynas","Distrito Fernado Lores, Rio Amazonas, Isla de Aguajal, swamp forest over peat","-72.35","-4.1",NA,NA,NA,NA,"90.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2009-12-10 08:57:00-02","MO","MOBOT","3453546","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Platycarpum","acreanum","Platycarpum acreanum","G.K. Rogers",NA,"G.M. Armistead","Armistead 1247","1990","5","31","South America","Peru","Loreto","Maynas","Fernando Lores. Río Amazonas, Isla de Aguaja, swamp forest over peat.","-72.35","-4.1",NA,NA,NA,NA,"90.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2015-05-08 14:47:00-03","MO","MOBOT","3171552","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Platycarpum","acreanum","Platycarpum acreanum","G.K. Rogers","N. Dávila (UNICAMP)","C.A. Cid Ferreira|J. Guedes de Oliveira|F.C. Walthier|F. Amaral","Cid Ferreira 10407","1991","10","27","South America","Brazil","Acre","Cruzeiro do Sul","Igarapé Humaitá, afluente da margem direita do Rio Juruá, atras da Colocação Dois Portos.","-72.7833333","-8.3166667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"11","2020-08-31 08:57:23-03","INPA","INPA","55985","S","Plantae","Dicotyledon Asterids","Gentianales","Rubiaceae","Platycarpum","acreanum","Platycarpum acreanum","G.K.Rogers",NA,"Monteiro, OP","76-146","1976","02","06","Southern America","Brasil","Acre","Cruzeiro do Sul","Projeto RADAM, Próximo do novo Aeroporto","-72.6697","-7.6311",NA,NA,"INPA0055985","INPA0055985 INPA0055985_e INPA0055985_s",NA,NA,NA,NA,NA,NA,NA,NA,"-72.6697","-7.6311",NA,NA,"type"
"12","2020-09-12 05:00:02-03","US","US","2812049","PreservedSpecimen","Plantae",NA,"Rubiales","Rubiaceae","Platycarpum","acreanum","Platycarpum acreanum","G.K. Rogers",NA,"O. P. Monteiro & C. Damiao","146","1976","2","6","South America - Neotropics","Brazil","Acre",NA,"Cruzeiro do Sul.",NA,NA,NA,NA,"US00137738","US00137738_01",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1","Isotype"
