"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","131958","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Ixora","benthamiana","Ixora benthamiana","Müll.Arg.","syntype","J. B. E. Pohl","2209","South America","Brazil","Rio S. Jooa [spelling ?]","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=733453' target='other'> <mi>dwc_moreinfo</mi></a>","NY00131958","NY00131958_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","687282","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Ixora","benthamiana","Ixora benthamiana","Müll.Arg.",NA,"W. W. Thomas","9402","South America","Brazil","Marambaia, 1 km N and 2.5 km W of junction Marambaia rd and rd from BR 101 to Itacaré (BA 654), 6 km W of Itacaré","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=411756' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687282","NY00687282_01","J. H. Kirkbride Jr.","1992","05","16","Bahia","Itacaré","-39.08","-14.33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1033416","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Ixora","brevifolia","Ixora brevifolia","Benth.",NA,"E. P. Heringer","5985","South America","Brazil","Bacia do Rio São Bartolomeu.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1220271' target='other'> <mi>dwc_moreinfo</mi></a>","NY01033416","NY01033416_01","P. G. Delprete","1981","01","14","Distrito Federal","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1033415","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Ixora","brevifolia","Ixora brevifolia","Benth.",NA,"E. P. Heringer","2950","South America","Brazil","Bacia do Rio São Bartolomeu.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1220269' target='other'> <mi>dwc_moreinfo</mi></a>","NY01033415","NY01033415_01","P. G. Delprete","1979","12","10","Distrito Federal","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1017441","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Ixora","brevifolia","Ixora brevifolia","Benth.",NA,"G. L. Farias","321","South America","Brazil","Reserva Florestal de Porto Seguro. - CVRD - Porto Seguro. Aceiro com CEPLAC, km 0.4.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1207855' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017441","NY01017441_01","P. G. Delprete","1989","11","06","Bahia","Porto Seguro","-39.0644","-16.4497",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1033396","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Ixora","brevifolia","Ixora brevifolia","Benth.",NA,"J. A. Rizzo","2622","South America","Brazil","A margem direita da GOM-6, 16 km de Goiânia.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1219901' target='other'> <mi>dwc_moreinfo</mi></a>","NY01033396","NY01033396_01","P. G. Delprete","1968","11","02","Goiás","Goiânia","-49.2539","-16.6786",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1033406","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Ixora","brevifolia","Ixora brevifolia","Benth.",NA,"G. G. Hatschbach","37803","South America","Brazil","Rod. Brasilia-Belem.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1219919' target='other'> <mi>dwc_moreinfo</mi></a>","NY01033406","NY01033406_01","P. G. Delprete","1975","11","22","Goiás","Ipameri","-48.1594","-17.7219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1033391","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Ixora","brevifolia","Ixora brevifolia","Benth.",NA,"J. A. Rizzo","10045","South America","Brazil","mata do Campus da Universidade Federal de Goiás.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1219890' target='other'> <mi>dwc_moreinfo</mi></a>","NY01033391","NY01033391_01","P. G. Delprete","1978","11","17","Goiás","Goiânia","-49.2539","-16.6786",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1033410","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Ixora","brevifolia","Ixora brevifolia","Benth.",NA,"E. P. Heringer","10740","South America","Brazil","R.B.R.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1220260' target='other'> <mi>dwc_moreinfo</mi></a>","NY01033410","NY01033410_01","P. G. Delprete","1961","10","20","Goiás","Formosa","-47.3342","-15.5372",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1033388","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Ixora","brevifolia","Ixora brevifolia","Benth.",NA,"J. A. Rizzo","3195","South America","Brazil","De Goiânia a Leopoldo de Bulhões, 18 km de Goiânia.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1219885' target='other'> <mi>dwc_moreinfo</mi></a>","NY01033388","NY01033388_01","P. G. Delprete","1968","12","30","Goiás","Goiânia","-49.2539","-16.6786",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
