"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","scientificNameAuthorship","relatedCatalogItem","infraspecificEpithet","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","typeStatus","individualCount"
"1","2016-09-30 20:08:00-03","NY","NYBG","02326433","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Butia","yatay","Butia yatay","F. O. Zuloaga","5674","1996","04","20","South America","Argentina","Misiones","San Ignacio","Loreto, campo pasando Arroyo Pastora","-55.52","-27.35","40","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2573377' target='other'> <mi>dwc_moreinfo</mi></a>","NY02326433","NY02326433_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-30 20:08:00-03","NY","NYBG","02326435","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Butia","yatay","Butia yatay","T. M. Pedersen","4456","1957","01",NA,"South America","Argentina","Corrientes","Mburucuyá","Estancia Santa Teresa",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2573379' target='other'> <mi>dwc_moreinfo</mi></a>","NY02326435","NY02326435_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-30 20:08:00-03","NY","NYBG","02326434","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Butia","yatay","Butia yatay","T. M. Pedersen","4456","1957","01",NA,"South America","Argentina","Corrientes","Mburucuyá","Estancia Santa Teresa",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2573378' target='other'> <mi>dwc_moreinfo</mi></a>","NY02326434","NY02326434_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-30 20:08:00-03","NY","NYBG","02326437","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Butia","yatay","Butia yatay","T. M. Pedersen","4456","1957","01",NA,"South America","Argentina","Corrientes","Mburucuyá","Estancia Santa Teresa",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2573382' target='other'> <mi>dwc_moreinfo</mi></a>","NY02326437","NY02326437_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-30 20:08:00-03","NY","NYBG","02326477","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Butia","yatay","Butia yatay","M. Rossato","13",NA,NA,NA,"South America","Uruguay",NA,NA,"La Paloma - Rota 9","-54.31503","-34.17886",NA,"boxed","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2573503' target='other'> <mi>dwc_moreinfo</mi></a>","NY02326477","NY02326477_01 NY02326477_02 NY02326477_03 NY02326477_04 NY02326477_05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-30 20:08:00-03","NY","NYBG","02326443","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Butia","yatay","Butia yatay","T. M. Pedersen","4456","1957","01",NA,"South America","Argentina","Corrientes","Mburucuyá","Estancia Santa Teresa",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2573388' target='other'> <mi>dwc_moreinfo</mi></a>","NY02326443","NY02326443_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-30 20:08:00-03","NY","NYBG","02326442","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Butia","yatay","Butia yatay","T. M. Pedersen","4456","1957","01",NA,"South America","Argentina","Corrientes","Mburucuyá","Estancia Santa Teresa",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2573387' target='other'> <mi>dwc_moreinfo</mi></a>","NY02326442","NY02326442_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-30 20:08:00-03","NY","NYBG","02326440","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Butia","yatay","Butia yatay","T. M. Pedersen","4456","1957","01",NA,"South America","Argentina","Corrientes","Mburucuyá","Estancia Santa Teresa",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2573385' target='other'> <mi>dwc_moreinfo</mi></a>","NY02326440","NY02326440_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-30 20:08:00-03","NY","NYBG","02326436","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Butia","yatay","Butia yatay","T. M. Pedersen","4456","1957","01",NA,"South America","Argentina","Corrientes","Mburucuyá","Estancia Santa Teresa",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2573381' target='other'> <mi>dwc_moreinfo</mi></a>","NY02326436","NY02326436_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-30 20:08:00-03","NY","NYBG","02326438","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Butia","yatay","Butia yatay","T. M. Pedersen","4456","1957","01",NA,"South America","Argentina","Corrientes","Mburucuyá","Estancia Santa Teresa",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2573383' target='other'> <mi>dwc_moreinfo</mi></a>","NY02326438","NY02326438_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2016-09-30 20:08:00-03","NY","NYBG","02326441","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Butia","yatay","Butia yatay","T. M. Pedersen","4456","1957","01",NA,"South America","Argentina","Corrientes","Mburucuyá","Estancia Santa Teresa",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2573386' target='other'> <mi>dwc_moreinfo</mi></a>","NY02326441","NY02326441_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2016-09-30 20:08:00-03","NY","NYBG","02326439","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Butia","yatay","Butia yatay","T. M. Pedersen","4456","1957","01",NA,"South America","Argentina","Corrientes","Mburucuyá","Estancia Santa Teresa",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2573384' target='other'> <mi>dwc_moreinfo</mi></a>","NY02326439","NY02326439_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2016-09-30 20:08:00-03","NY","NYBG","02326444","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Butia","yatay","Butia yatay","I. Silberbauer-Gottsberger","15-180998","1998","09","18","South America","Brazil","Distrito Federal","Brasília","Estação Ecológica de Águas Emendadas, about 30 km NE of Brasília. The divide of the Tocantins basin (Corrego Vereda Grande-Rio Maranhão) and the Paraná basin (Corrego Brejinho-Rio São Bartolomeu) is located in the reserve. The area covers 10,500 ha. northern part of the reserve","-47.58","-15.58",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2573397' target='other'> <mi>dwc_moreinfo</mi></a>","NY02326444","NY02326444_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-02-08 08:44:49-03","NBC","NL-BOTANY","U.1123217","PreservedSpecimen","Plantae",NA,"Arecales","Palmae","Butia","yatay","Butia yatay","Herter WGF",NA,"1926","04","01","Southern America","Uruguay","Montevideo",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1123217 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1123217","NL-U1123217","Magnoliopsidae","(Mart.) Becc.","U 0147033",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-02-08 08:44:49-03","NBC","NL-BOTANY","U.1123216","PreservedSpecimen","Plantae",NA,"Arecales","Palmae","Butia","yatay","Butia yatay","Herter WGF",NA,"1926","09","01","Southern America","Uruguay","Montevideo",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1123216 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1123216","NL-U1123216","Magnoliopsidae","(Mart.) Becc.","U 0147032",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
