"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","01132069","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Actinocephalus","claussenianus","Actinocephalus claussenianus","(Körn.) Sano","M. L. O. Trovó","P. T. Sano","1000","1998","03","20","South America","Brazil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Cachoeira Casca D'Anta","-46.52","-20.3","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1288535' target='other'> <mi>dwc_moreinfo</mi></a>","NY01132069","NY01132069_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00102813","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Paepalanthus","claussenianus","Paepalanthus claussenianus","Körn.",NA,"Martii Herbar. Florae Brasil.","879","1841",NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"sheet","Coll No. 829? <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=352880' target='other'> <mi>dwc_moreinfo</mi></a>","NY00102813",NA,"isolectotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-06-29 11:30:10-03","UFRJ","RFA","36407","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Actinocephalus","claussenianus","Actinocephalus claussenianus","(Körn.) Sano","W.L. Picanço","P. T. Sano; D.V. Arce, P. Fiaschi, A. C. Araújo, M. A. Farinaccio","1000","1998","03","20",NA,"Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra. Caminho para Cachoeira Casca D#?#Anta","-46.3657989501953","-20.2453002929688",NA,NA,NA,"Paracládios muito longos, escapos flexíveis. Capítulos alvos. Perfume adocicado às 13:00. Associado a cupins na base","RFA23228",NA,NA,"2019","06","18","57119","auto",NA,NA,NA,NA,NA,NA
"4","2020-06-29 11:30:10-03","UFRJ","RFA","5817","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Paepalanthus","claussenianus","Paepalanthus claussenianus","Körn.","Harold N. Moldenke","Mendes Magalhães","18127","1960","07",NA,NA,"Brasil","Minas Gerais","Diamantina","Serra de Diamantina","-43.6002998352051","-18.2493991851807",NA,NA,NA,"Subarbusto de 0,50 - 1 m de altura. Frequente em grupos","RFA35853",NA,NA,NA,NA,NA,"101169","auto",NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:52:20-03","EAO","IAN","197873","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Eriocaulaceae","Actinocephalus","claussenianus","Actinocephalus claussenianus","(Körn.) Sano",NA,"Catarino, L; Freitas, JC","2749","2018","08","28","Southern America","Brasil","Pará","São Geraldo do Araguaia","Parque Estadual da Serra dos Martírios-Andorinhas / APA Araguaia.","-48.902528","-6.469722",NA,NA,NA,"Erva vivaz, até 1,5m, de folhas em roseta basal e inflorescência sobre haste até 1,2m.; Cerrado aberto, no topo da Caverna das Andorinhas.","IAN197873",NA,NA,NA,NA,NA,NA,NA,"-48.902528","-6.469722",NA,NA,NA,NA
"6","2021-03-30 12:52:23-03","EAO","IAN","130767","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Eriocaulaceae","Paepalanthus","claussenianus","Paepalanthus claussenianus","Körn.","Moldenke, HN","Irwin, HS; Maxwell, HS","21568","1968","03","20","Southern America","Brasil","Gioás",NA,"Heads mostly in bund. Cerrado, ca. 12km S. of Guará, Goias.",NA,NA,"550","550",NA,"Stem simples, to ca. 1,25m tall.","IAN130767",NA,NA,"1968",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:52:23-03","EAO","IAN","138169","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Eriocaulaceae","Paepalanthus","claussenianus","Paepalanthus claussenianus","Körn.","Moldenke, HN","Irwin, HS; Soderstrom, TR","5126","1964","08","15","Southern America","Brasil","Distrito Federal",NA,"Cerrado and fields, limestone slopes, Chapada da Contagem, ca. 20km E. of Brasilia. Locally common.",NA,NA,NA,NA,NA,"1m tall, among rocks. Heads gray-white.","IAN138169",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:52:23-03","EAO","IAN","138331","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Eriocaulaceae","Paepalanthus","claussenianus","Paepalanthus claussenianus","Körn.","Moldenke, HN","Irwin, HS; Fonsêca, SG da","27584","1970","03","15","Southern America","Brasil","Minas Gerais",NA,"Campo. Wet campo sujo and surrouding cerrado, ca. 23km E. of Diamantina.",NA,NA,"900","900",NA,"Erect, to ca. 1,5m tall. Heads white.","IAN138331",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:52:23-03","EAO","IAN","149268","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Eriocaulaceae","Paepalanthus","claussenianus","Paepalanthus claussenianus","Körn.","Moldenke, HN","Anderson, WR","10397","1973","03","16","Southern America","Brasil","Gioás",NA,"Ca. 15km (straight line) N of Corumbá de Goias. Gallery forest, adjacent brejo, and driver, higher slopes with grassy campo or rocky cerrado, sandy soil.",NA,NA,"1230","1230",NA,"Branched herb 60cm tall, heads white, brejo.","IAN149268",NA,NA,"1974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:52:23-03","EAO","IAN","50192","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Eriocaulaceae","Paepalanthus","claussenianus","Paepalanthus claussenianus","Körn.",NA,"Pires, JM; Black, GA","1610a","1949","07","30","Southern America","Brasil","Maranhão",NA,"Cerrado, a duas leguas de Carolina.",NA,NA,NA,NA,NA,"Arbustinho.","IAN050192",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
