"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","imagecode","infraspecificEpithet","identifiedBy","decimalLongitude","decimalLatitude","county","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","relatedCatalogItem","relationshipType","fieldNumber","individualCount","sex"
"1","2020-09-23 10:40:18-03","E","E","259370","PreservedSpecimen","Plantae","Lauraceae","Nectandra","amara","Nectandra amara","syntype","Gardner, George","614","1905","01","11","E. Tropical South America","BR","Rio de Janeiro","Organ Mountains","herbarium specimen of unspecif","BGBASE:269835","<a href=http://data.rbge.org.uk/herb/E00259370 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259370",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:18-03","E","E","259371","PreservedSpecimen","Plantae","Lauraceae","Nectandra","amara","Nectandra amara","syntype","Gardner, George","613","1905","01","11","E. Tropical South America","BR",NA,"Organ Mountains","herbarium specimen of unspecif","BGBASE:269838","<a href=http://data.rbge.org.uk/herb/E00259371 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259371",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","355405","PreservedSpecimen","Plantae","Lauraceae","Nectandra","amara","Nectandra amara",NA,"Schott","5612",NA,NA,NA,"South America","Brazil",NA,"[locality illegible]","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=770488' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355405","Magnoliophyta","Laurales","Meisn.","NY00355405_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","355408","PreservedSpecimen","Plantae","Lauraceae","Nectandra","amara","Nectandra amara chartacea","syntype","L. Riedel","480",NA,NA,NA,"South America","Brazil",NA,"Brasilia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=473116' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355408","Magnoliophyta","Laurales","Meisn.","NY00355408_01","chartacea","J. G. Rohwer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","355403","PreservedSpecimen","Plantae","Lauraceae","Nectandra","amara","Nectandra amara","syntype","G. Gardner","614","1837",NA,NA,"South America","Brazil",NA,"Serra dos Orgaos, Brasil trop.","sheet",NA,"Comm. am. Shuttleworth 1838 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=770490' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355403","Magnoliophyta","Laurales","Meisn.","NY00355403_01",NA,NA,"-43.073169","-22.496706",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","355402","PreservedSpecimen","Plantae","Lauraceae","Nectandra","amara","Nectandra amara","syntype","G. Gardner","613","1836",NA,NA,"South America","Brazil",NA,"Brasilia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=770489' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355402","Magnoliophyta","Laurales","Meisn.","NY00355402_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","355406","PreservedSpecimen","Plantae","Lauraceae","Nectandra","amara","Nectandra amara","syntype","Martii Herbar. Florae Brasil.","1307",NA,NA,NA,"South America","Brazil","Mato Grosso","Cujabá","sheet",NA,"Comm. am. DC. 1862 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=770493' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355406","Magnoliophyta","Laurales","Meisn.","NY00355406_01",NA,NA,"-56.043867","-15.612755",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","355401","PreservedSpecimen","Plantae","Lauraceae","Nectandra","amara","Nectandra amara","syntype","G. Gardner","614","1836",NA,NA,"South America","Brazil",NA,"Brasilia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=770492' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355401","Magnoliophyta","Laurales","Meisn.","NY00355401_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","355404","PreservedSpecimen","Plantae","Lauraceae","Nectandra","amara","Nectandra amara","syntype","G. Gardner","613","1837",NA,NA,"South America","Brazil",NA,"Serra dos Orgaos, Brasil trop.","sheet",NA,"Comm. am. Shuttleworth 1838 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=770491' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355404","Magnoliophyta","Laurales","Meisn.","NY00355404_01",NA,NA,"-43.073169","-22.496706",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","355409","PreservedSpecimen","Plantae","Lauraceae","Nectandra","amara","Nectandra amara chartacea","syntype","L. Riedel","480",NA,NA,NA,"South America","Brazil",NA,"Brasilia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=473117' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355409","Magnoliophyta","Laurales","Meisn.","NY00355409_01","chartacea","J. G. Rohwer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
