"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","relatedCatalogItem","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters"
"1","2021-03-15 16:37:00-03","NY","NYBG","688171","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","myrciariifolia","Eugenia myrciariifolia","Soares-Silva & Sobral","isotype","L. H. Soares-Silva","563","1995","12","08","South America","Brazil","Paraná","Sapopema","Margem direita do Rio Lageado.","-50.5803","-23.9108","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=847481' target='other'> <mi>dwc_moreinfo</mi></a>","NY00688171","NY00688171_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 10:06:19-03","NBC","NL-BOTANY","U 0294116","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Eugenia","myrciariifolia","Eugenia myrciariifolia","Soares-Silva",NA,"Lindeman JC; Haas JH de",NA,"1966","11","07","Southern America","Brazil","Paraná",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200294116 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0294116",NA,"Magnoliopsidae","Uw13941",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:06:19-03","NBC","NL-BOTANY","U.1442298","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Eugenia","myrciariifolia","Eugenia myrciariifolia","Soares-Silva",NA,"Lindeman JC; Haas JH de",NA,"1966","11","07","Southern America","Brazil","Paraná",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1442298 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1442298","NL-U1442298","Magnoliopsidae","U 0112508",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:14:34-03","ESALQ","ESA","52515","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","myrciariifolia","Eugenia myrciariifolia","Soares-Silva & Sobral",NA,"Soares e Silva, L.H. et al.","570.0","1995","12","09",NA,"Brasil","Paraná","Curiúva",NA,"-50.4583015441895","-24.0324993133545",NA,NA,"ESA052515",NA,NA,NA,"Soares e Silva, L.H.","1995","01","01","23566","auto",NA,NA
"5","2021-03-01 16:36:19-03","UNICAMP","UEC","140275","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Eugenia","myrciariifolia","Eugenia myrciariifolia","Soares-Silva & Sobral","isotypus","Soares-Silva, LH","563","1995","12","08",NA,"Brazil","Paraná","Sapopema","Margem direita do Rio Lageado","-50.5802993774414","-23.9108009338379",NA,"Árvore 3,0 m alt.; botões florais branco - esverdeados","UEC055411","UEC055411",NA,NA,"Faria Júnior, JEQ","2009","09",NA,"21990","auto",NA,NA
"6","2021-03-16 17:53:53-03","UCS","HUCS","37686","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Myrtaceae","Eugenia","myrciariifolia","Eugenia myrciariifolia","Soares-Silva & Sobral",NA,"Medri, C.","744","1998","10","31",NA,"Brasil","Paraná","Sapopema","Salto das Orquídeas","-50.5802993774414","-23.9108009338379",NA,"árvore 4m, botões verdes.; beira do rio",NA,NA,NA,NA,"Sobral, M.","2009","07","31","21990","auto",NA,NA
"7","2019-08-16 08:40:15-03","UTFPR","HCF","21342","S","Plantae",NA,NA,"Myrtaceae","Eugenia","myrciariifolia","Eugenia myrciariifolia","Soares-Silva & Sobral","Parátipo","O.C. Pavão",NA,"1999","12","09",NA,"Brasil","PR","Sapopema","Vila Rural - Salto das Orquídeas: Salto","-50.5802993774414","-23.9108009338379",NA,"árvore 4 m; botões florais e verdes. Trilha da mata.",NA,NA,NA,NA,"L.H. Soares-Silva","2004","02",NA,"21990","auto",NA,NA
"8","2020-12-21 16:36:36-03","MBM","MBM","8453","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","myrciariifolia","Eugenia myrciariifolia","Soares-Silva & Sobral","PARATYPE","Lindeman, J.; Haas, H.; Haas, H.","3432","1966","11","28","Southern America","Brazil","Paraná","Foz do Iguaçu","Parque Nacional do Iguaçu, In line P4 near Aranha","-54.5881004333496","-25.5478000640869",NA,"Treelet, 1 cm diam, 1 1/2 high, other specimes also in bud; Treelet 1cm diam., 1,5m high.; Forest with abundance of Myrtaceae.","MBM008453","MBM008453",NA,NA,NA,NA,NA,NA,"39570","auto","425","425"
"9","2020-12-21 16:36:36-03","MBM","MBM","8454","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","myrciariifolia","Eugenia myrciariifolia","Soares-Silva & Sobral","PARATYPE","Lindeman, J.; Haas, H.; Haas, H.","2892","1966","11","07","Southern America","Brazil","Paraná",NA,"SE of Campo Novo, ca. 50 km W of Laranjeiras do Sul",NA,NA,NA,"Forest with few Araucarias.Tree, 7 cm diam.; Tree, 7cm diam.; Forest with few Araucarias.","MBM008454","MBM008454",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:36:36-03","MBM","MBM","8455","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","myrciariifolia","Eugenia myrciariifolia","Soares-Silva & Sobral","PARATYPE","Lindeman, J.; Haas, H.; Haas, H.","3544","1966","12","01","Southern America","Brazil","Paraná","Medianeira","Parque Nacional do Iguaçu, 100 m W of Rio Floriano, ca. 3 km from the mouth","-54.0938987731934","-25.2952995300293",NA,"Small tree, 4 cm diam. 3m tall.; Small tree, 4cm diam., 3m tall.","MBM008455","MBM008455",NA,NA,NA,NA,NA,NA,"17581","auto",NA,NA
