"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","verbatimLongitude","verbatimLatitude","imagecode"
"1","2019-11-21 14:40:53-03","UFJF","CESJ","61977","PreservedSpecimen","Plantae","Angiosperma","Orchidaceae","Hadrolaelia","pygmaea","Hadrolaelia pygmaea","(Pabst) Chiron & V.P.Castro","L. Menini Neto; S.G. Furtado","2013","01","26","S.G. Furtado; L. Menini Neto; M.A. Manhães","208","2013","01","26","América do Sul","Brasil","MInas Gerais","Baependi","Parque Estadual da Serra do Papagaio, Floresta Ombrófila Mista, na beira da estrada entre o Garrafão e o Centro de Apoio ao Pesquisador.","-44.8899993896484","-21.9589004516602","29865","Epífita, na borda da floresta ombrófila mista, a ca. 3m alt., rara. Flores vermelhas, labelo de base amarela.","CESJ061977","auto",NA,NA,NA
"2","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","12323",NA,"Plantae",NA,"Orchidaceae","Cattleya","pygmaea","Cattleya pygmaea","(Pabst) W.Forst.","G.B. Bortolan/Jan.-2020",NA,NA,NA,"L. Kollmann; et al","2824","2000","04","06",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"Mata de encosta. Epifita no galho caido. Sepalos e petalos vermelhos. Labelo alaranjado.","MBML012323",NA,"40W31'49","19S58'17","MBML012323"
"3","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","12352",NA,"Plantae",NA,"Orchidaceae","Cattleya","pygmaea","Cattleya pygmaea","(Pabst) W.Forst.","G.B. Bortolan/Jan.-2020",NA,NA,NA,"L. Kollmann; et al","2844","2000","04","13",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"Mata baixa. Solo de areia. Epifita na luz forte. Flores vermelhas.","MBML012352",NA,"40W31'49","19S58'17","MBML012352"
"4","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","14484",NA,"Plantae",NA,"Orchidaceae","Cattleya","pygmaea","Cattleya pygmaea","(Pabst) W.Forst.","G.B. Bortolan/Jan.-2020",NA,NA,NA,"L. Kollmann; et al","3919","2001","06","12",NA,"Brasil","Espírito Santo","Santa Teresa","Cabeceira do Rio Bonito","-40.583333","-19.984167",NA,"Epífita na sombra. Frutos verdes.","MBML014484",NA,"40W34'60","19S59'3","MBML014484"
"5","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","20010",NA,"Plantae",NA,"Orchidaceae","Cattleya","pygmaea","Cattleya pygmaea","(Pabst) W.Forst.","G.B. Bortolan/Jan.-2020",NA,NA,NA,"R.R. Vervloet; et al","1995","2003","03","13",NA,"Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075",NA,"Epífita, em galho caído, flores de cor vermelha com labelo amarelado, topo de morro, dossel 20m.","MBML020010",NA,"40W33'11","19S54'27","MBML020010"
"6","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","20978",NA,"Plantae",NA,"Orchidaceae","Cattleya","pygmaea","Cattleya pygmaea","(Pabst) W.Forst.","G.B. Bortolan/Jan.-2020",NA,NA,NA,"A. P. Fontana; et al","573","2003","05","04",NA,"Brasil","Espírito Santo","Fundão","Goiapaba-Açu","-40.472222","-19.914167",NA,"Epífita, flores laranajas e labelo com meio amarelo.","MBML020978",NA,"40W28'20","19S54'51","MBML020978"
"7","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","23584",NA,"Plantae",NA,"Orchidaceae","Cattleya","pygmaea","Cattleya pygmaea","(Pabst) W.Forst.","G.B. Bortolan/Jan.-2020",NA,NA,NA,"A. P. Fontana","789","2003","02","09",NA,"Brasil","Espírito Santo","Fundão","Goiapaba-Açu","-40.472222","-19.914167",NA,"Caída na mata, florida em 07/03/2004. Flor laranja com labelo amarelo com estrias laranjas.","MBML023584",NA,"40W28'20","19S54'51","MBML023584"
"8","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","26594",NA,"Plantae",NA,"Orchidaceae","Cattleya","pygmaea","Cattleya pygmaea","(Pabst) Van den Berg","H.L. Silva/17-01-2020",NA,NA,NA,"L. Kollmann; et al","9162","2006","05","31",NA,"Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41.100556","-20.519167",NA,"Rupestre no sol. Flores avermelhadas.","MBML026594",NA,"41W6'2","20S31'9","MBML026594"
"9","2020-09-04 11:40:37-03","MBML","MBML-HERBARIO","46215",NA,"Plantae",NA,"Orchidaceae","Cattleya","pygmaea","Cattleya pygmaea","(Pabst) Van den Berg","H.L. Silva/17-01-2020",NA,NA,NA,"L. Kollmann; A. P. Fontana","12726","2013","05","30",NA,"Brasil","Espírito Santo","Iúna","Serra do Valentin, Morro das antenas","-41.466944","-20.386111",NA,"Epífita na sombra, fruto verde","MBML046215",NA,"41W28'1","20S23'10","MBML046215"
"10","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","47150",NA,"Plantae",NA,"Orchidaceae","Cattleya","pygmaea","Cattleya pygmaea","(Pabst) Van den Berg","H.L. Silva/17-01-2020",NA,NA,NA,"Chiron","13144","2013","03","07",NA,"Brasil","Espírito Santo","Conceição do Castelo","Ribeirão do Meio","-41.2439002990723","-20.3682994842529","17824",NA,"MBML047150","auto",NA,NA,"MBML047150"
