"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","fieldNumber","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","687072","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Gomesa","gravesiana","Gomesa gravesiana","(Rolfe) M.W.Chase & N.H.Williams","W. Ganev","2940","1994","02","03","South America","Brazil","Bahia","Abaíra","Mata do Barbado, próx. Forquilha da Serra.","-41.95","-13.3","1650","1700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=852709' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687072","NY00687072_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","505028","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Oncidium","praetextum","Oncidium praetextum","Rchb.f.","P. K. H. Dusén","11570","1911","02","27","South America","Brazil","Paraná","Jaguariaíva",NA,"-49.7056","-24.2511",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=582078' target='other'> <mi>dwc_moreinfo</mi></a>","NY00505028","NY00505028_01","F. W. L. Kraenzlin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","505030","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Oncidium","praetextum","Oncidium praetextum","Rchb.f.","P. K. H. Dusén",NA,"1915","12",NA,"South America","Brazil","Paraná","Jaguariaíva",NA,"-49.7056","-24.2511",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=582077' target='other'> <mi>dwc_moreinfo</mi></a>","NY00505030","NY00505030_01","P. K. H. Dusén",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","30866","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Brasilidium","praetextum","Brasilidium praetextum","(Rchb.f.) Campacci","Amaral Jr., A.","1695","1974","02","12",NA,"Brasil","São Paulo","Botucatu","Fazenda MAC, passagem da estrada",NA,NA,NA,NA,NA,NA,"BOTU030866",NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","6654","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Gomesa","praetexta","Gomesa praetexta","(Rchb.f.) M.W.Chase & N.H.Williams","Amaral Jr., A.","1375","1973","01","15",NA,"Brasil","São Paulo","Botucatu","Estrada Botucatu - Pardinho a + - 15 km de Botucatu",NA,NA,NA,NA,NA,NA,"BOTU006654",NA,"Pabst, G.","9999","9999","1973","02","12",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-13 09:20:27-03","UFRJ","RFA","38326","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Brasilidium","praetextum","Brasilidium praetextum","(Rchb.f.) Campacci","M. S. Wängler; V. S. Ferreira","966","2011","11","25",NA,"Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares, Zona de Vida Silvestre, Estrada da Água Fria. Corina.","-43.379167","-22.447778",NA,NA,NA,"Erva epífita, raízes brancas, crassas; pseudobulbos comprimidos lateralmente, verdes, sulcados; duas folhas apicais, verdes; inflorescência basal, ca.20 flores castanho-avermelhadas; labelo castanho avermelhado com mancha amarela na reg","RFA38852",NA,"T. L. Laitano","43º22'45''W","22º26'52''S","2012","06","05",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:28:41-03","UFBA","ALCB","129568","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Gomesa","praetexta","Gomesa praetexta","(Rchb.f.) M.W.Chase & N.H.Williams","Harley, RM","52079","1992","02","15","Southern America","Brasil","Bahia","Abaíra","Campo de Ouro fino (baixo). Riacho de Barra.","-41.9","-13.25","1700","1700",NA,NA,"ALCB047165","ALCB047165","Meneguzzo, TEC","-41.9","-13.25","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:28:41-03","UFBA","ALCB","104732","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Gomesa","praetexta","Gomesa praetexta","(Rchb.f.) M.W.Chase & N.H.Williams","Ogasawara, HA; Baleeiro-Souza, PC; Ciqueira, GB; Watanabe, MTC","195","2012","02","26","Southern America","Brasil","Bahia","Abaíra","Chapada Diamantina, Distrito de Catolés, subida p/ Serra do Barbado","-41.6636009216309","-13.2496995925903",NA,NA,NA,"ca. 60 cm alt. Folhas concolores; pétalas e sépalas amarelas com manchas marrons; calosidade amarela.","ALCB009707","ALCB009707","Vieira, TL",NA,NA,"2012","03",NA,"26531","auto",NA,NA,NA,NA,NA,NA
"9","2020-02-08 08:46:37-03","NBC","NL-BOTANY","L.1532641","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Oncidium","praetextum","Oncidium praetextum","Rchb.f.","Dusén PKH",NA,"1908","12","01","Southern America","Brazil",NA,NA,"Plantae Brasilienses. Parana: Yperanga ad trune, aib.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1532641 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1532641","NL-L1532641",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"10","2021-03-31 13:41:09-03","MN","R","221829","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Oncidium","gravesianum","Oncidium gravesianum","Rolfe","Menini Neto, L.; Forzza, R.C.; Dias-Melo, R.; Monteiro, R.F.; Silva, B.R. & Alves, R.J.V.","112","2004","02","06",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"Universidade Federal de Juiz de Fora/Herbário CESJ",NA,NA,"Menini Neto, L.",NA,NA,"2004","08",NA,NA,NA,NA,NA,NA,NA,NA,NA
