"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","monthIdentified","dayIdentified","individualCount","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","355417","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Nectandra","barbellata","Nectandra barbellata","Coe-Teix.","isotype","F. C. Hoehne","s.n.","1931","09","23","South America","Brazil","São Paulo","Sao Paulo","Nativa no Jardim Botânico (Parque do Estado).","-46.618358","-23.646109","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=337115' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355417","NY00355417_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","355418","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Nectandra","barbellata","Nectandra barbellata","Coe-Teix.","isotype","F. C. Hoehne","s.n.","1931","09","23","South America","Brazil","São Paulo",NA,"Nativa no Jardim Botânico (Parque do Estado).","-46.618358","-23.646109","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=337116' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355418","NY00355418_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","459978","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Nectandra","barbellata","Nectandra barbellata","Coe-Teix.",NA,"P. E. Gibbs","6668","1977","09","29","South America","Brazil","São Paulo",NA,"Rodovia Juquia a Piedade",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=337114' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459978","NY00459978_01","J. G. Rohwer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","355419","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Nectandra","barbellata","Nectandra barbellata","Coe-Teix.","isotype","F. C. Hoehne","s.n.","1931","09","23","South America","Brazil","São Paulo",NA,"Nativa no Jardim Botânico (Parque do Estado).","-46.618358","-23.646109","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=337119' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355419","NY00355419_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","459979","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Nectandra","barbellata","Nectandra barbellata","Coe-Teix.",NA,"J. B. A. Guillemin","s.n.","1839",NA,NA,"South America","Brazil","São Paulo",NA,"Brésil méridionale",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=337117' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459979","NY00459979_01","J. G. Rohwer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","355420","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Nectandra","barbellata","Nectandra barbellata","Coe-Teix.","isotype","F. C. Hoehne","s.n.","1931","09","23","South America","Brazil","São Paulo",NA,"Jardim Botânico.","-46.618358","-23.646109","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=337120' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355420","NY00355420_01 NY00355420_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","469290","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Nectandra","barbellata","Nectandra barbellata","Coe-Teix.",NA,"W. Hoehne","3642","1951","09","20","South America","Brazil","São Paulo","Sao Paulo","Sao Paulo., Parque do Estado","-46.621883","-23.654505","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=337118' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469290","NY00469290_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-01-20 14:40:31-03","UPM","MACK","850","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Nectandra","barbellata","Nectandra barbellata","Coe-Teix",NA,NA,NA,NA,NA,NA,NA,"Brasil",NA,NA,"Herbário Municipal.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-01-20 14:40:31-03","UPM","MACK","849","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Nectandra","barbellata","Nectandra barbellata","Coe-Teix",NA,"J. M. G. Teixeira","s/n","2011","08","18",NA,"Brasil","SP","Ilha Bela","Cachoeira dos Três Tombos.",NA,NA,NA,NA,NA,NA,"A. G. Aguirre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:18:10-03","UFBA","ALCB","059979","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lauraceae","Nectandra","barbellata","Nectandra barbellata","Coe-Teixeira",NA,"Hatschbach, G; Silva, JM","49908","1985","10","18","Southern America","Brasil","Espírito Santo","Conceição do Castelo","Alto Bananal","-41.2439002990723","-20.3682994842529",NA,"10m. Flor alva.","ALCB002991","ALCB002991","Rohwer, JG","2000","17824","800","800","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
