"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","coordinatePrecision","geoFlag","individualCount","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","395801","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Hornschuchia","obliqua","Hornschuchia obliqua","Maas & Setten","P. J. M. Maas","A. M. V. de Carvalho","6132","1995","10","10","South America","Brazil","Bahia","Uruçuca","Distrito de Serra Grande. ca. 7 km na estrada Serra Grande/Itacaré. Local do Inventário Florestal. Regiao da Mata Higrófila Sul Baiana","-39.0547684","-14.4109193","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=570347' target='other'> <mi>dwc_moreinfo</mi></a>","NY00395801","NY00395801_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","395803","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Hornschuchia","obliqua","Hornschuchia obliqua","Maas & Setten","P. J. M. Maas","A. M. Amorim","794","1992","10","06","South America","Brazil","Bahia","Uruçuca","Distrito de Serra Grande. 7,3 km na estrada Serra Grande/Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz. Regiao da Mata Higrófila Sul Baiana","-39.0617","-14.4231","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=570346' target='other'> <mi>dwc_moreinfo</mi></a>","NY00395803","NY00395803_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","395807","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Hornschuchia","obliqua","Hornschuchia obliqua","Maas & Setten","P. J. M. Maas","A. M. V. de Carvalho","3649","1991","09","07","South America","Brazil","Bahia","Uruçuca","Distrito de Serra Grande. 7,3 km na estrada Serra Grande/Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz.","-39.0617","-14.4231","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=570345' target='other'> <mi>dwc_moreinfo</mi></a>","NY00395807","NY00395807_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","395805","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Hornschuchia","obliqua","Hornschuchia obliqua","Maas & Setten","A. M. Amorim","A. M. V. de Carvalho","3602","1991","09","11","South America","Brazil","Bahia","Uruçuca","Distrito de Serra Grande. 7,3 km na estrada Serra Grande/Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz.","-39.0617","-14.4231","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=570344' target='other'> <mi>dwc_moreinfo</mi></a>","NY00395805","NY00395805_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","395806","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Hornschuchia","obliqua","Hornschuchia obliqua","Maas & Setten","D. M. Johnson","A. M. V. de Carvalho","3350","1991","07","01","South America","Brazil","Bahia","Uruçuca","Distrito de Serra Grande. 7,3 km na estrada Serra Grande/Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz.","-39.0617","-14.4231","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=570349' target='other'> <mi>dwc_moreinfo</mi></a>","NY00395806","NY00395806_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","395802","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Hornschuchia","obliqua","Hornschuchia obliqua","Maas & Setten","D. M. Johnson","A. M. Amorim","794","1992","10","06","South America","Brazil","Bahia","Uruçuca","Distrito de Serra Grande. 7,3 km na estrada Serra Grande/Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz. Regiao da Mata Higrófila Sul Baiana","-39.0617","-14.4231","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=570350' target='other'> <mi>dwc_moreinfo</mi></a>","NY00395802","NY00395802_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","8356","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Hornschuchia","obliqua","Hornschuchia obliqua","Maas & Setten",NA,"A. M. V. de Carvalho","798","1981","07","26","South America","Brazil","Bahia","Cairu","Estrada Cairu-Itubera. 8 km S de Cairu.","-39.04","-13.48","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=570354' target='other'> <mi>dwc_moreinfo</mi></a>","NY00008356","NY00008356_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","395804","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Hornschuchia","obliqua","Hornschuchia obliqua","Maas & Setten","P. J. M. Maas","W. W. Thomas","8041","1991","07","01","South America","Brazil","Bahia","Uruçuca","Distrito de Serra Grande. 7,3 km na estrada Serra Grande/Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz. Southern Bahian moist forest","-39.0617","-14.4231","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=570348' target='other'> <mi>dwc_moreinfo</mi></a>","NY00395804","NY00395804_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","684332","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Hornschuchia","obliqua","Hornschuchia obliqua","Maas & Setten",NA,"J. G. Jardim","3721","2001","07","05","South America","Brazil","Bahia","Uruçuca","Rod. BA-001 Ilhéus/Itacaré, ca. 4.5 km do Distrito de Serra Grande.","-39.2842","-14.5933","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=820650' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684332","NY00684332_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:08:42-03","UFBA","ALCB","027044","PreservedSpecimen","Plantae","Dicotyledon",NA,"Annonaceae","Hornschuchia","obliqua","Hornschuchia obliqua","P. Maas & Van Setten","Johnson, DM","Carvalho, AM de; Thomas, W; Santos, TS dos; et al.","3350","1991","07","12","Southern America","Brasil","Bahia","Uruçuca","Litoral Sul, Serra Grande. 7,3 Km na estrada Serra Grande/Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz","-39.016667","-14.416667",NA,"ca. 8m de altura e 12cm de diâmetro. Folhas leve discolores. Flores alvas.","ALCB004359","ALCB004359",NA,"1991","-39.016667","-14.416667",NA,NA,NA,NA,NA,NA
