"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","locality","minimumElevationInMeters","maximumElevationInMeters","recordNumber","occurrenceRemarks","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","sex"
"1","2021-04-05 14:34:06-03","UNESC","CRI","8830","PreservedSpecimen","Plantae","Rubiaceae","Hillia","parasitica","Hillia parasitica","Jacq.","Vanilde C. Zanette","1994","09","15","Vanilde C. Zanette","1994","09","15","Brasil","Santa Catarina","Jacinto Machado","-49.763889","-28.998056","49º45'50''W","28º59'53''S","CRI009227","CRI009227",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:06-03","UNESC","CRI","8907","PreservedSpecimen","Plantae","Rubiaceae","Hillia","parasitica","Hillia parasitica","Jacq.","Vanilde C. Zanette","2010","12","14","Marcelo Romagna Pasetto","2010","12","02","Brasil","Santa Catarina","Nova Veneza","-49.498056","-28.637222","49º29'53''W","28º38'14''S","CRI009228","CRI009228","Caravaggio.","74","74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:26:00-03","UNESC","CRI","9633","PreservedSpecimen","Plantae","Rubiaceae","Hillia","parasitica","Hillia parasitica","Jacq.","M. Sobral","2010","10","25","A. Korte; A. Kniess","2010","10","20","Brasil",NA,"Brasil","-48.780833","-27.81","48º46'51''W","27º48'36''S","CRI009225","CRI009225","Rio da Nova Descoberta.","558","558","4724","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: epífita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:26:00-03","UNESC","CRI","13640","PreservedSpecimen","Plantae","Rubiaceae","Hillia","parasitica","Hillia parasitica","Jacq.","Renato Colares","2018","05","25","Renato Colares; Thuany Machado","2018","04",NA,"Brasil","Santa Catarina","Siderópolis","-49.456389","-28.5925","49º27'23''W","28º35'33''S","CRI012247",NA,NA,"98","98",NA,"Habito: Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:26:00-03","UNESC","CRI","13091","PreservedSpecimen","Plantae","Rubiaceae","Hillia","parasitica","Hillia parasitica","Jacq.","Cadorin, TJ","2009","11","23","Cadorin, T.J.; Clemes, S.M. & Oliveira, C.","2009","11","23","Brasil","Santa Catarina","Blumenau","-49.139444","-27.096944","49º8'22''W","27º5'49''S","CRI011650","CRI011650","Área Virgem do Parque Nacional da Serra do Itajaí. Área Virgem do Parque Nacional da Serra do Itajaí.","660","660","719","Epífita IFFSC e578a (Acima de 4m). Forófito 2. Habitat: Floresta Ombrófila Densa; Estágio Primário; interior do fragmento Habito: epífita; flor branca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:34:06-03","UNESC","CRI","11700","PreservedSpecimen","Plantae","Rubiaceae","Hillia","parasitica","Hillia parasitica","Jacq.",NA,NA,NA,NA,"Anderson Zilli Kruger","2002","11","15","Brasil","Santa Catarina","Praia Grande","-49.952778","-29.198611","49º57'10''W","29º11'55''S","CRI008667","CRI008667","Rio do Boi, PIC III.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:34:06-03","UNESC","CRI","1549","PreservedSpecimen","Plantae","Rubiaceae","Hillia","parasitica","Hillia parasitica","Jacq.","Marcos Sobral","1998",NA,NA,"R. Negrelle; C. Fava","1993","01","20","Brasil","Santa Catarina","Itapoá","-48.616389","-26.1175","48º36'59''W","26º7'3''S","CRI009230","CRI009230","Reserva Volta Velha.","9","9",NA,"Habitat: trilha Habito: liana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:34:06-03","UNESC","CRI","3612","PreservedSpecimen","Plantae","Rubiaceae","Hillia","parasitica","Hillia parasitica","Jacq.","Pietro Delprete",NA,NA,NA,"Vanilde Citadini-Zanette","1995","01","16","Brasil","Santa Catarina","Morro Grande","-49.721667","-28.800833","49º43'18''W","28º48'3''S","CRI009229","CRI009229",NA,NA,NA,"2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:34:06-03","UNESC","CRI","14851","PreservedSpecimen","Plantae","Rubiaceae","Hillia","parasitica","Hillia parasitica","Jacq.","Alecsandro Shardosim Klein","2002","08","23","Alecsandro Shardosim Klein; Rafael Martins","2002","08","23","Brasil","Santa Catarina","Treviso","-49.471389","-28.465","49º28'17''W","28º27'54''S","CRI014185","CRI014185",NA,"237","237",NA,"Flores brancas. Habito: Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:43:04-03","E","E","285410","PreservedSpecimen","Plantae","Rubiaceae","Hillia","parasitica","Hillia parasitica",NA,NA,NA,NA,NA,"Bang, Miguel","1905","03","04","BO","Departamento La Paz",NA,NA,NA,NA,NA,"E00285410",NA,"Yungas",NA,NA,"600","<a href=http://data.rbge.org.uk/herb/E00285410 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","unspecified kind of","W. Tropical South America","herbarium specimen of unspecif","BGBASE:294104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-09-23 10:43:04-03","E","E","285408","PreservedSpecimen","Plantae","Rubiaceae","Hillia","parasitica","Hillia parasitica",NA,NA,NA,NA,NA,"Bang, Miguel","1905","03","04","BO","Departamento La Paz",NA,NA,NA,NA,NA,"E00285408",NA,"Yungas",NA,NA,"600","<a href=http://data.rbge.org.uk/herb/E00285408 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","unspecified kind of","W. Tropical South America","herbarium specimen of unspecif","BGBASE:294101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-09-23 10:43:04-03","E","E","285409","PreservedSpecimen","Plantae","Rubiaceae","Hillia","parasitica","Hillia parasitica",NA,NA,NA,NA,NA,"Bang, Miguel","1905","03","04","BO","Departamento La Paz",NA,NA,NA,NA,NA,"E00285409",NA,"Yungas",NA,NA,"600","<a href=http://data.rbge.org.uk/herb/E00285409 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","unspecified kind of","W. Tropical South America","herbarium specimen of unspecif","BGBASE:294102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2016-10-21 19:48:00-02","NY","NYBG","131827","PreservedSpecimen","Plantae","Rubiaceae","Hillia","boliviana","Hillia boliviana",NA,NA,NA,NA,NA,"M. Bang","1890",NA,NA,"Bolivia",NA,NA,NA,NA,NA,NA,"NY00131827","NY00131827_01","Yungas",NA,NA,"600","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=171155' target='other'> <mi>dwc_moreinfo</mi></a>","isotype","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2016-10-21 19:48:00-02","NY","NYBG","131828","PreservedSpecimen","Plantae","Rubiaceae","Hillia","boliviana","Hillia boliviana",NA,NA,NA,NA,NA,"M. Bang","1890",NA,NA,"Bolivia",NA,NA,NA,NA,NA,NA,"NY00131828","NY00131828_01","Yungas",NA,NA,"600","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=171156' target='other'> <mi>dwc_moreinfo</mi></a>","probable holotype","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","131832","PreservedSpecimen","Plantae","Rubiaceae","Hillia","killipii","Hillia killipii","Standl.",NA,NA,NA,NA,"E. P. Killip","1939","07","06","Peru","Junín",NA,NA,NA,NA,NA,"NY00131832","NY00131832_01","Pichis Trail, between San Nicolas and Azupizú.","650","900","26085","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=52950' target='other'> <mi>dwc_moreinfo</mi></a>","isotype","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","131834","PreservedSpecimen","Plantae","Rubiaceae","Hillia","maguirei","Hillia maguirei","Steyerm.",NA,NA,NA,NA,"B. Maguire","1953","02","17","Venezuela","Amazonas",NA,NA,NA,NA,NA,"NY00131834","NY00131834_01","Cerro Yutaje.","1750","1750","35287","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=209803' target='other'> <mi>dwc_moreinfo</mi></a>","holotype","South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
