"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","typeStatus","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","infraspecificEpithet","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","579950","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","microcarpa","Eugenia microcarpa","O.Berg","C. M. D. E. Legrand","R. Reitz","3993","1957","05","25","South America","Brazil","Santa Catarina","Pôrto do Palmital, Garuva, S. Francisco do Sul.","10","10","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=120421' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579950","NY00579950_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","579946","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","microcarpa","Eugenia microcarpa","O.Berg","C. M. D. E. Legrand","G. G. Hatschbach","18148","1967","12","15","South America","Brazil","Paraná","Fda. Abrobeira.","20","50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=120424' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579946","NY00579946_01","Guaraqueçaba","-48.3289","-25.3069",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","579945","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","microcarpa","Eugenia microcarpa","O.Berg","M. Sobral","G. G. Hatschbach","23379","1970","01","20","South America","Brazil","Paraná","Morro Coroado.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=120420' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579945","NY00579945_01","Piraquara","-49.0631","-25.4419",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","579947","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","microcarpa","Eugenia microcarpa","O.Berg","C. M. D. E. Legrand","G. G. Hatschbach","17968","1967","11","24","South America","Brazil","Paraná","Morro Ai Jesus","10","30","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=120422' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579947","NY00579947_01","Paranaguá","-48.5092","-25.5203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","579949","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","microcarpa","Eugenia microcarpa","O.Berg","L. R. Landrum","G. G. Hatschbach","13185","1965","11","30","South America","Brazil","Paraná","Rio Cotia.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=120425' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579949","NY00579949_01","Antonina","-48.7117","-25.4286",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","579948","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","microcarpa","Eugenia microcarpa","O.Berg","C. M. D. E. Legrand","G. G. Hatschbach","17903","1967","11","21","South America","Brazil","Paraná","Picadao Cambará - Col. Limeira.","20","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=120423' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579948","NY00579948_01","Paranaguá","-48.5092","-25.5203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01095551","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","pisiformis","Eugenia pisiformis","Cambess.","M. Sobral","Alston-Lutz","212","1938","10","27","South America","Brazil","Rio de Janeiro","P. N. da Tijuca. Estrada Dona Castorina",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1479834' target='other'> <mi>dwc_moreinfo</mi></a>","NY01095551","NY01095551_01","Rio de Janeiro","-43.2075","-22.9031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01067388","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","pisiformis","Eugenia pisiformis","Cambess.","M. Sobral","J. L. Hage","1449","1981","10","13","South America","Brazil","Bahia","Area do CEPEC (Centro de Pesquisas do Cacau), km 22 da Rodovia Ilhéus/Itabuna (BR 415). Região de Mata Higrófila Sul Baiana.","50","50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1211166' target='other'> <mi>dwc_moreinfo</mi></a>","NY01067388","NY01067388_01","Ilhéus","-39.0492","-14.7892",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00864452","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","pisiformis","Eugenia pisiformis","Cambess.","M. Sobral","A. M. Amorim","5261","2005","10","12","South America","Brazil","Bahia","Serra do Peito-de-Moça, complexo Serra das Lontras. Estrada que liga Arataca a Una, ramal ca. 22,4 km de Arataca com entrada no assentamento Santo Antônio. RPPN Caminho das Pedras. Trilha de acesso ao pico e picada à direita","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=956520' target='other'> <mi>dwc_moreinfo</mi></a>","NY00864452","NY00864452_01","Arataca","-39.3417","-15.1736",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1146841","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","pisiformis","Eugenia pisiformis","Cambess.","M. Sobral","L. A. Mattos Silva","4131","2000","10","04","South America","Brazil","Bahia","Assentamento Paulo Freire (MST), ramal com entrada no km 15 da Rodovia Mucuri/Itabatan, 2 km antes da sede do assentamento. Região de Mata Higrófila Sul Baiana.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1406967' target='other'> <mi>dwc_moreinfo</mi></a>","NY01146841","NY01146841_01","Mucuri","-39.6733333","-18.08361111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
