"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","continentOcean","country","stateProvince","class","order","typeStatus","individualCount"
"1","2010-08-24 09:46:00-03","MO","MOBOT","249793","PreservedSpecimen","Plantae","Poaceae","Panicum","sabulicola","Panicum sabulicola","Nees","F. Sellow","Sellow s.n.","1814","South America","Uruguay","Montevideo",NA,NA,NA,NA
"2","2020-09-12 05:00:02-03","US","US","976907","PreservedSpecimen","Plantae","Poaceae","Panicum","sabulicola","Panicum sabulicola","Nees in Mart.","F. Sellow","---",NA,"South America","Uruguay","Montevideo","Monocotyledonae","Cyperales","Type fragment","1"
"3","2020-09-12 05:00:02-03","US","US","976907","PreservedSpecimen","Plantae","Poaceae","Panicum","sabulicola","Panicum sabulicola","Nees in Mart.","F. W. Sieber","---",NA,"South America - Neotropics","Brazil","Pará","Monocotyledonae","Cyperales","Type fragment","1"
