"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","stateProvince","county","locality","verbatimLongitude","verbatimLatitude","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","phylum","minimumElevationInMeters","maximumElevationInMeters","imagecode","dayIdentified","infraspecificEpithet","class","order","fieldNumber","individualCount"
"1","2020-09-23 10:42:10-03","E","E","312727","PreservedSpecimen","Plantae","Orchidaceae","Oncidium","crispum","Oncidium crispum","Harley, R.M.; Stannard, B.; Nic Lughadha, E.; Queiroz, R.F.","52079","1992","02","15","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:314390","<a href=http://data.rbge.org.uk/herb/E00312727 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00312727",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","9214","PreservedSpecimen","Plantae","Orchidaceae","Brasilidium","crispum","Brasilidium crispum","Amaral Jr., A.",NA,"1972","02","07",NA,"Brasil",NA,NA,NA,"BOTU009214","(Lodd.) Campacci","Amaral Jr., A.","1972","02","São Paulo","Botucatu","Distrito de Rubião Júnior, mata localizada atrás da Igreja de Santo Antônio","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-02-08 11:09:42-03","UNESP-IBB","BOTU","27737","PreservedSpecimen","Plantae","Orchidaceae","Oncidium","crispum","Oncidium crispum","Magalhães, J.H.R.","20","2010","01","20",NA,"Brasil",NA,NA,"Epífita, localizada a #?#11,5m de altura,flores com odor suave, adocicado, pétalas marrons com pintas verdes, labelo marrom e amarelo","BOTU027737","Lodd.","Adachi, S.A.","2010",NA,"São Paulo","Botucatu","Distrito de Rubião Júnior","48°29'32w","22°52'52s","-48.492222","-22.881111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-13 09:20:27-03","UFRJ","RFA","42896","PreservedSpecimen","Plantae","Orchidaceae","Brasilidium","crispum","Brasilidium crispum","M.S. Wängler","1327","2013","04","07",NA,"Brasil",NA,NA,NA,"RFA38901","(Lodd.) Campacci","M.S. Wängler","2013",NA,"Rio de Janeiro","Paty do Alferes","APA Palmares. Brejo",NA,NA,"-43.4185981750488","-22.4286003112793","18359","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 12:17:39-03","ESALQ","ESA","64805","PreservedSpecimen","Plantae","Orchidaceae","Oncidium","crispum","Oncidium crispum","Souza, V.C.; Souza, J.P.; Forster, W.; Mazine, F.F.","23657.0","2000","02","22",NA,"Brasil",NA,NA,"Erva; sépalas verdes com manchas castanhas em toda a extensão; labelo com centro e lobos laterais amarelos e cristas vermelhas. Sobre rocha","ESA064805",NA,NA,NA,NA,"Espírito Santo","Alegre","BLOQUEADO",NA,NA,"-41.5331001281738","-20.763599395752","26101","auto","Magnoliophyta","970","970","ESA064805",NA,NA,NA,NA,NA,NA
"6","2021-03-31 13:41:09-03","MN","R","102798","PreservedSpecimen","Plantae","Orchidaceae","Oncidium","crispum","Oncidium crispum","Smith, L.B.","6217","1952","03","14",NA,"Brasil",NA,NA,NA,NA,"Lodd.","Garay, L.A.",NA,NA,"Santa Catarina","Palhoça","Pilões","48°40'W","27°40'S","-48.666667","-27.666667",NA,NA,NA,"50","50",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-31 13:41:09-03","MN","R","221756","PreservedSpecimen","Plantae","Orchidaceae","Oncidium","crispum","Oncidium crispum","Heringer, E.P. ; Castellanos, A.","22227","1958","03","06",NA,"Brasil",NA,NA,"Et. Horto Florest. Paraopeba. Minas Gerais n° 6.218",NA,"Lodd.","Pabst, G.F.J.","1958","02","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11",NA,NA,NA,NA,NA
"8","2021-03-31 13:41:09-03","MN","R","35907","PreservedSpecimen","Plantae","Orchidaceae","Oncidium","crispum","Oncidium crispum","Spannagel, C.","36 A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lodd.","Toscano, A.B.","1983","06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"06",NA,NA,NA,NA,NA
"9","2021-03-31 13:41:09-03","MN","R","44762","PreservedSpecimen","Plantae","Orchidaceae","Oncidium","crispum","Oncidium crispum","Hoehne, F.C.",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,"Lodd.","Hoehne, F.C.",NA,NA,"Minas Gerais","Juiz de Fora",NA,NA,NA,"-43.3502998352051","-21.7642002105713","36144","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-31 13:41:09-03","MN","R","3237","PreservedSpecimen","Plantae","Orchidaceae","Oncidium","crispum","Oncidium crispum","Ule, E.H.G.",NA,"1892","02",NA,NA,"Brasil",NA,NA,NA,NA,"Lodd.",NA,NA,NA,"Minas Gerais","Ouro Preto",NA,NA,NA,"-43.5080986022949","-20.2875003814697","44599","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-31 13:41:09-03","MN","R","107355","PreservedSpecimen","Plantae","Orchidaceae","Oncidium","crispum","Oncidium crispum var.grandiflorum","Vidal, J.","II - 5167","1952","11","16",NA,"Brasil",NA,NA,NA,NA,"auct.","Pabst, G.F.J.","1962","04","Rio de Janeiro","Teresópolis",NA,NA,NA,"-42.9655990600586","-22.4122009277344","38539","auto",NA,"900","900",NA,"15","var.grandiflorum",NA,NA,NA,NA
"12","2021-03-31 13:41:09-03","MN","R","3273","PreservedSpecimen","Plantae","Orchidaceae","Oncidium","crispum","Oncidium crispum","Sampaio, A.J.","2001","1917","04",NA,NA,"Brasil",NA,NA,NA,NA,"Lodd.","Sampaio, A.J.",NA,NA,"Rio de Janeiro","Teresópolis",NA,NA,NA,"-42.9655990600586","-22.4122009277344","38539","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-31 13:41:09-03","MN","R","36650","PreservedSpecimen","Plantae","Orchidaceae","Oncidium","crispum","Oncidium crispum","Vidal, J.",NA,"1939","02",NA,NA,"Brasil",NA,NA,"Coleção do Naturalista José Vidal",NA,"Lodd.","Pabst, G.F.J.","1958","11","Rio Grande do Sul","Torres",NA,NA,NA,"-49.7268981933594","-29.3353004455566","20837","auto",NA,NA,NA,NA,"19",NA,NA,NA,NA,NA
