"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","typeStatus","class","coordinatePrecision","geoFlag","fieldNumber","yearIdentified","monthIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","378497","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","glazioviana","Licania glazioviana","Warm.","A. P. Duarte","4839","1959","06","16","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Sumaré","-43.226672","-22.945054","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=626225' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378497","NY00378497_01",NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","378498","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","glazioviana","Licania glazioviana","Warm.","J. P. L. Sobrinho","642","1963","09","03","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Guanabara, Estrada da Vista Chinesa, próx. ao Rancho Alto","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=626224' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378498","NY00378498_01","G. T. Prance",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","428409","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Licania","glazioviana","Licania glazioviana","Warm.","A. F. M. Glaziou","2561",NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,"photo","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=626226' target='other'> <mi>dwc_moreinfo</mi></a>","NY00428409",NA,NA,"photo of type",NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:45:52-03","NBC","NL-BOTANY","U.1207261","PreservedSpecimen","Plantae",NA,"Malpighiales","Chrysobalanaceae","Licania","glazioviana","Licania glazioviana","Warm.","Lanna Sobrinho JP",NA,"1963","09","03","Southern America","Brazil",NA,NA,"Guanabara, Estrada da Vista Chinesa, próxi. ac Rancho Alto.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1207261 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1207261","NL-U1207261",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"5","2021-03-01 16:28:02-03","UNICAMP","UEC","29072","S","Plantae","Magnoliopsida",NA,"Chrysobalanaceae","Licania","glazioviana","Licania glazioviana","Warm.","Heringer, EP; Paula, JE; Mendonça, RC; Salles, AEH","5409","1980","09","01",NA,"Brazil","Distrito Federal","Brasília",NA,"-47.9296989440918","-15.7797002792358",NA,"Árvore ca. de 15m de altura; folhas discolores, glabras; flores e botões verde amarelados; mata.","UEC059682","UEC059682",NA,NA,NA,"70570","auto",NA,NA,NA
"6","2020-12-21 16:20:46-03","MBM","MBM","251380","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Licania","glazioviana","Licania glazioviana","Warm.","Lanna, J.P.","642","1963","09","03","Southern America","Brazil","Rio de Janeiro","Rio de Janeiro","Estrada da Vista Chinesa","-43.2075004577637","-22.9027996063232",NA,NA,"MBM251380","MBM251380","Prance, G.T.",NA,NA,"57442","auto",NA,NA,NA
"7","2015-10-02 05:25:46-03","MNHN","RECOLNAT_MNHN_P","P00745989","PreservedSpecimen",NA,NA,NA,"Chrysobalanaceae","Licania","glazioviana","Licania glazioviana","Warm.","Glaziou, A.",NA,"1868","4","2",NA,"Brésil",NA,NA,"Rio de Janeiro Tijuca",NA,NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00745989' target='other'> <mi>dwc_moreinfo</mi></a>","P00745989","P00745989_01",NA,"isotype",NA,NA,NA,"2561",NA,NA
"8","2015-10-02 05:25:50-03","MNHN","RECOLNAT_MNHN_P","P00745990","PreservedSpecimen",NA,NA,NA,"Chrysobalanaceae","Licania","glazioviana","Licania glazioviana","Warm.","Glaziou, A.",NA,"1868","4","2",NA,"Brésil",NA,NA,"Rio de Janeiro Tijuca",NA,NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00745990' target='other'> <mi>dwc_moreinfo</mi></a>","P00745990","P00745990_01",NA,"isotype",NA,NA,NA,"2561",NA,NA
"9","2015-10-06 18:20:13-03","MNHN","RECOLNAT_MNHN_P","P00745991","PreservedSpecimen",NA,NA,NA,"Chrysobalanaceae","Licania","glazioviana","Licania glazioviana","Warm.","Glaziou, A.",NA,"1868","4","2",NA,"Brésil",NA,NA,"Rio de Janeiro Tijuca",NA,NA,"hb","Reçu le 21 Mai 1881 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00745991' target='other'> <mi>dwc_moreinfo</mi></a>","P00745991","P00745991_01",NA,"isotype",NA,NA,NA,"2561",NA,NA
"10","2009-07-27 09:32:00-03","MO","MOBOT","3171177","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Licania","glazioviana","Licania glazioviana","Warm.","Auguste F.M. Glaziou","Glaziou 2561","1861",NA,NA,"South America","Brazil",NA,NA,"Forest on terra firme. Genopapo trail, Basin of Rio Xingu, Gleba Bacaja, lote 88, just below mouth of Rio Bacaja.","-50.79722","-3.37222",NA,NA,NA,NA,NA,"Holotype",NA,NA,NA,NA,NA,NA
"11","2021-03-03 13:56:11-03","UFF","NIT","NIT10464","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Licania","glazioviana","Licania glazioviana","Warm.","A.P. Duarte","4839","1959","06","16",NA,"Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,NA,"NIT00001698",NA,NA,NA,NA,"57442","auto",NA,NA,NA
"12","2019-11-13 11:17:51-03","USP","SPF","166178","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Licania","glazioviana","Licania glazioviana","Warm.","Oliveira, CAL","2369","2004","08","19",NA,"Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,NA,"SPF00166178",NA,"El Ottra, JHL",NA,NA,"57442","auto",NA,"2007","01"
"13","2019-11-13 11:17:51-03","USP","SPF","166285","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Licania","glazioviana","Licania glazioviana","Warm.","Oliveira, CAL","937","1994","12","02",NA,"Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,NA,"SPF00166285",NA,"El Ottra, JHL",NA,NA,"57442","auto",NA,"2007","01"
