"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","phylum","year","month","day","imagecode","typeStatus","continentOcean","order","minimumElevationInMeters","maximumElevationInMeters","preparationType","individualCount"
"1","2020-11-04 12:15:41-03","ESALQ","ESA","141015","PreservedSpecimen","Plantae","Passifloraceae","Passiflora","cf hatschbachii","Passiflora cf hatschbachii","Cervi","Silva, R. F.","2017","07","06","Cornia, M. G. K.; Silva, R. F; Nahssen, M. H. C; Fernandes, N. L; Alves, D. M; Souza, V. C; Rodrigues, R. R; Koch, I. Colletta, G. D.","385.0","Brasil","Rio de Janeiro","Rio de Janeiro","Ilha do Governador. Base de Fusileiros Navais. Floresta Ombrófila Densa","-43.2075004577637","-22.9027996063232","-43,160,600","-22,778,867","57442","Sépalas com manchas verdes e vermelhas.","ESA141015","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 12:15:41-03","ESALQ","ESA","139545","PreservedSpecimen","Plantae","Passifloraceae","Passiflora","cf hatschbachii","Passiflora cf hatschbachii","Cervi","Silva, R. F.","2017","06","07","Cornia, M. G. K., Silva, R. F; Nahssen, M. H. C; Fernandes, N. L; Alves, D. M; Souza, V. C; Rodrigues, R. R; Koch, I. Colletta, G.","385.0","Brasil","Rio de Janeiro","Rio de Janeiro","Ilha do Governador. Base de Fusileiros Navais. Floresta Ombrófila Densa","-43.2075004577637","-22.9027996063232","-43,160,600","-22,778,867","57442","Sépalas com manchas verdes e vermelhas.","ESA139545","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 12:17:55-03","ESALQ","ESA","102277","PreservedSpecimen","Plantae","Passifloraceae","Passiflora","hatschbachii","Passiflora hatschbachii",NA,"Lorenzi, H.","2005","09","08","Lorenzi, H.","5637.0","Brasil","São Paulo","Nova Odessa",NA,"-47.2900009155273","-22.7700004577637",NA,NA,"8440",NA,"ESA102277","auto","Magnoliophyta","2005","09","08","ESA102277",NA,NA,NA,NA,NA,NA,NA
"4","2015-07-02 14:03:38-03","JBP","HPL","6158","S","Plantae","Passifloraceae","Passiflora","hatschbachii","Passiflora hatschbachii","A.C. Cervi","H. Lorenzi","2005","09","08","H. Lorenzi","5637","Brasil","SP","Nova Odessa","Coletado no Instituto Plantarum, cultivada na coleção de Passiflóras.","-47.29","-22.77",NA,NA,"8440",NA,NA,"auto",NA,"2005","09","08",NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-07-02 14:03:38-03","JBP","HPL","8341","S","Plantae","Passifloraceae","Passiflora","hatschbachii","Passiflora hatschbachii",NA,"R. Tsuji","2007","04","24","R. Tsuji","1943","Brasil","SP","Nova Odessa","Coletado e cultivado no Instituto Plantarum.","-47.29","-22.77",NA,NA,"8440",NA,NA,"auto",NA,"2005","09","29",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-20 21:18:48-03","UFV","VIC","45807","PreservedSpecimen","Plantae","Passifloraceae","Passiflora","hatschbachii","Passiflora hatschbachii","Cervi.","Cervi, A.C.",NA,NA,NA,"Hatschbach, G.; et al.","58159","Brasil","Minas Gerais","Leopoldina","Rod. BR-101, 4-5Km S de Rio Pombas","-42.6431007385254","-21.5319004058838",NA,NA,"26325","Escandente; Flor esverdeada, parte interior flor alvacenta. Floresce no alto de árvores da mata.; Flor esverdeada, parte interior flor alvacenta. Floresce no alto de árvores da mata.; Escandente;","VIC045807","auto",NA,"1992","10","18","VIC045807",NA,NA,NA,NA,NA,NA,NA
"7","2020-12-20 21:18:48-03","UFV","VIC","16721","PreservedSpecimen","Plantae","Passifloraceae","Passiflora","hatschbachii","Passiflora hatschbachii","Cervi.","Cervi, A.C.","1997","05","06","Filho, O.G.A.","s.n.","Brasil","Minas Gerais","Jaiba","Dist. de Mocambinho","-43.6744003295898","-15.3382997512817",NA,NA,"47016","Trepadeiras de sepalas verdes externamente e brancas internamente; &nf;pétalas brancas como os estaminodeos.&nf;Coletada em aceiro sobre entulho no canal secundário.","VIC016721","auto",NA,"1997","10","16","VIC016721",NA,NA,NA,NA,NA,NA,NA
"8","2019-11-21 14:41:17-03","UFJF","CESJ","67647","PreservedSpecimen","Plantae","Passifloraceae","Passiflora","hatschbachii","Passiflora hatschbachii","Cervi","A.C. Cervi",NA,NA,NA,"G. Hatschbach; A.C. Cervi; J.M. Silva","58159","Brasil","Minas Gerais","Leopoldina","Rodovia BR-101, 4-5Km S de Rio Pomba","-42.6431007385254","-21.5319004058838",NA,NA,"26325","Escandente, flor esverdeada, parte interior da flor alvacenta. Floresce no alto de árvores da mata.","CESJ067647","auto","Angiosperma","1992","10","18","CESJ067647","Isotypus","América do Sul",NA,NA,NA,NA,NA
"9","2020-04-22 16:22:50-03","UFPB","JPB","32219","PreservedSpecimen","Plantae","Passifloraceae-Pass.","Passiflora","hatschbachii","Passiflora hatschbachii","Cervi",NA,NA,NA,NA,"Gadelha Neto, PC","807","Brasil","Paraíba","João Pessoa","Jardim Botânico.","-34.863056","-7.115","-34.863056","-7.115",NA,"; DESC: Trepadeira. Flor branca.",NA,NA,"Angiosperma","2002","10","31",NA,NA,"Southern America","Dicotyledon","47","47",NA,NA
"10","2019-12-06 19:30:05-03","UFES","VIES","34982","S","Plantae","Passifloraceae","Passiflora","hatschbachii","Passiflora hatschbachii","Cervi",NA,NA,NA,NA,"D.A.T. Ferreira","27","Brasil","São Paulo","Mogi das Cruzes",NA,"-46.183333","-23.516667","46º11'W","23º31'0''S",NA,NA,"VIES034982",NA,NA,"2015","05",NA,"VIES034982",NA,NA,NA,NA,NA,NA,NA
"11","2020-12-21 16:39:15-03","MBM","MBM","154752","PreservedSpecimen","Plantae","Passifloraceae","Passiflora","hatschbachii","Passiflora hatschbachii","Cervi","Cervi, A.C.","1994",NA,NA,"Hatschbach, G.; Cervi, A.C.; Silva, J.M.; Cervi, A.C.; Silva, J.M.","58159","Brazil","Minas Gerais","Leopoldina","Rod. BR-101, 4-5km S de Rio Pombas","-42.6431007385254","-21.5319004058838",NA,NA,"26325","Escandente; flores esverdeadas, parte interior alvescente.; Floresce no alto de árvores da mata.","MBM154752","auto",NA,"1992","10","18","MBM154752","HOLOTYPE","Southern America",NA,NA,NA,NA,NA
"12","2020-12-21 16:39:15-03","MBM","MBM","229965","PreservedSpecimen","Plantae","Passifloraceae","Passiflora","hatschbachii","Passiflora hatschbachii","Cervi","Hatschbach, G.",NA,NA,NA,"Hatschbach, G.; Silva, J.M.; Ferreira, L.M.; Silva, J.M.; Ferreira, L.M.","68659","Brazil","Minas Gerais","Leopoldina","Rod. BR-116, próximo ao Rio Pombas","-42.6431007385254","-21.5319004058838",NA,NA,"26325",NA,"MBM229965","auto",NA,NA,NA,NA,"MBM229965",NA,"Southern America",NA,NA,NA,NA,NA
"13","2020-12-11 11:39:58-03","UFMG","BHCB","21663","PreservedSpecimen","Plantae","Passifloraceae","Passiflora","hatschbachii","Passiflora hatschbachii","Cervi",NA,NA,NA,NA,"Horta, MB","s.n.","Brasil","Minas Gerais","Manga",NA,"-43.932201385498","-14.7558002471924",NA,NA,"51351",NA,NA,"auto","Dicotyledon","1991","03","02",NA,NA,"Southern America",NA,NA,NA,NA,NA
