"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","scientificNameAuthorship","locality","verbatimLongitude","verbatimLatitude","relationshipType","relatedCatalogItem","class","order","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters","continentOcean","fieldNumber","preparationType","individualCount"
"1","2020-11-04 11:01:28-03","ESALQ","ESA","39984","PreservedSpecimen","Plantae","Magnoliophyta","Asteraceae","Dendrophorbium","pluricephalum","Dendrophorbium pluricephalum","Teles, A.M.","2005","03","18","Jarenkow, J.A.","3155.0","1996","08","28","Brasil","Santa Catarina","Campos Novos","-51.2249984741211","-27.4016990661621","43319","ESA039984","ESA039984","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-19 08:07:57-03","FPS","FPS","922","MachineObservation","Plantae",NA,"Asteraceae","Dendrophorbium","pluricephalum","Dendrophorbium pluricephalum","Schwirkowski, P.","2015","08","15","Schwirkowski, P.","1184","2015","08","15","Brasil","Santa Catarina","São Bento do Sul","-49.216591","-26.29284",NA,"FPS00922,CRI011751,FURB48553","CRI011751 FPS00922_v01 FPS00922_v02 FPS00922_v03 FURB48553",NA,"(Cabrera) C.Jeffrey","Minas de caulim","-49.216591","-26.29284","voucher","FURB 48553, CRI 13266",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-27 13:27:21-03","IAP","PACA-AGP","91914","PreservedSpecimen","Plantae","Magnoliophyta","Compositae","Dendrophorbium","pluricephalum","Dendrophorbium pluricephalum","C. Mondin",NA,NA,NA,"Mondin, C.","2970","2003","10","01","Brasil","RS","Canela","-50.815601348877","-29.3656005859375","16452","PACA091914",NA,"auto","(Cabrera) C. Jeffrey","Parque da Ferradura",NA,NA,NA,NA,"Magnoliatae","Asterales","capítulos amarelos, arbusto 2 m de altura&nf;HASU 15907 Habitat: mata secundária Hábito: arbusto",NA,NA,NA,NA,NA,NA
"4","2019-08-27 13:27:21-03","IAP","PACA-AGP","111820","PreservedSpecimen","Plantae","Magnoliophyta","Compositae","Dendrophorbium","pluricephalum","Dendrophorbium pluricephalum","S. Bordignon",NA,NA,NA,"M. Grings","1482","2011","09","18","Brasil","RS","Santa Maria do Herval","-50.9928016662598","-29.4981002807617","10918","PACA111820",NA,"auto","(Cabrera) C. Jeffrey","Loch.",NA,NA,NA,NA,"Magnoliatae","Asterales","ICN 184577 Habitat: em borda de mata de encosta com resquícios primários Fenofase: flor amarela Hábito: arbusto",NA,NA,NA,NA,NA,NA
"5","2019-11-08 08:49:48-03","FURB","FURB","1223","PreservedSpecimen","Plantae",NA,"Asteraceae","Dendrophorbium","pluricephalum","Dendrophorbium pluricephalum","Freitas, FS","2013","11","28","Sieves, L.C.",NA,"1998","09","02","Brasil","Santa Catarina","Rio do Campo","-50.1413993835449","-26.9489002227783","24225","FURB04546","FURB04546","auto","(Cabrera) C.Jeffrey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-16 17:50:45-03","UCS","HUCS","06175","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Dendrophorbium","pluricephalum","Dendrophorbium pluricephalum","Matzenbacher, N.I.",NA,NA,NA,"Wasum, R.A.","s.n.","1989","10","01","Brasil","Rio Grande do Sul","Flores da Cunha","-51.1817016601562","-29.0289001464844","18321",NA,NA,"auto","(Cabrera) C. Jeffrey","Otávio Rocha",NA,NA,NA,NA,NA,"Asterales","Matzenbacher, N. I. - PUC/RS; Em beira da mata - junto ao riacho",NA,NA,NA,NA,NA,NA
"7","2019-08-16 08:38:32-03","UTFPR","HCF","20718","S","Plantae",NA,"Asteraceae","Dendrophorbium","pluricephalum","Dendrophorbium pluricephalum","J. Cordeiro","2017",NA,NA,"L.F. Stencel","7","2016","08","27","Brasil","PR","Kaloré","-51.692778","-23.826111",NA,NA,NA,NA,"(Cabrera) C. Jeffrey","Sítio São Sebastião, estrada Kaloré-","51°41'34 W","23°49'34 S",NA,NA,NA,NA,"arvoreta ripária, ca. 3 m. Flores amarelas.","430","430",NA,NA,NA,NA
"8","2020-12-21 16:15:45-03","MBM","MBM","38150","PreservedSpecimen","Plantae",NA,"Asteraceae","Dendrophorbium","pluricephalum","Dendrophorbium pluricephalum","Matzenbacher, N.I.",NA,NA,NA,"Hatschbach, G.","4932","1958","08","03","Brazil","Paraná","Rio Branco do Sul","-49.3142013549805","-25.1900005340576","37352","MBM038150","MBM038150","auto","(Cabrera) C. Jeffrey","Represa da Usina Hidrelétrica",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA
"9","2020-12-21 16:15:45-03","MBM","MBM","256420","PreservedSpecimen","Plantae",NA,"Asteraceae","Dendrophorbium","pluricephalum","Dendrophorbium pluricephalum","Senna, R.M.",NA,NA,NA,"Spanholi, J.","s.n.","2000","09","05","Brazil","Santa Catarina","Campos Novos","-51.2249984741211","-27.4016990661621","43319","MBM256420","MBM256420","auto","(Cabrera) C. Jeffrey","Barra do Rio Canoas",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA
"10","2020-12-21 16:15:45-03","MBM","MBM","170519","PreservedSpecimen","Plantae",NA,"Asteraceae","Dendrophorbium","pluricephalum","Dendrophorbium pluricephalum","Cristóbal, C.L.",NA,NA,NA,"Schinini, A.; et al.; et al.","28759","1994","09","08","Argentina",NA,NA,NA,NA,NA,"MBM170519","MBM170519",NA,"(Cabrera) C. Jeffrey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA
