"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","locality","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","phylum","order","recordNumber","continentOcean","preparationType","fieldNumber","class","individualCount","relatedCatalogItem","previousCatalogNumber","sex","typeStatus"
"1","2021-04-05 14:33:50-03","UNESC","CRI","8724","PreservedSpecimen","Plantae","Orchidaceae","Ornithocephalus","myrticola","Ornithocephalus myrticola","Lindl.","Emiliane Biava Dalmolim","2010","09","01","Emiliane Biava Dalmolim","2010","07","03","Brasil","Santa Catarina","Nova Veneza","-49.500833","-28.636944","49º30'3''W","28º38'13''S","CRI005811","CRI005811",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:45-03","UNESC","CRI","12461","PreservedSpecimen","Plantae","Orchidaceae","Ornithocephalus","myrticola","Ornithocephalus myrticola","Lindl.","Peterson T. Padilha & Renato Colares","2017","07","18","Alexandre Medeiros","2017","04","19","Brasil","Santa Catarina","Balneário Camboriú","-48.595556","-27.006111","48º35'44''W","27º0'22''S","CRI010668","CRI010668","Praia da Barra.","Coleta 57. Habito: Epífita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:50-03","UNESC","CRI","1646","PreservedSpecimen","Plantae","Orchidaceae","Ornithocephalus","myrticola","Ornithocephalus myrticola","Lindl.","Jorge Waechter","1993","07","26","Vanilde Citadini-Zanette; C. E. Dário e C. M. Martinello","1993","03","02","Brasil","Santa Catarina","Orleans","-49.288056","-28.358611","49º17'17''W","28º21'31''S","CRI005813","CRI005813",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:50-03","UNESC","CRI","1616","PreservedSpecimen","Plantae","Orchidaceae","Ornithocephalus","myrticola","Ornithocephalus myrticola","Lindl.","Jorge Waechter","1993","07","26","Vanilde Citadini-Zanette","1992","08","25","Brasil","Santa Catarina","Orleans","-49.288056","-28.358611","49º17'17''W","28º21'31''S","CRI005816","CRI005816",NA,NA,"121","121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:50-03","UNESC","CRI","8759","PreservedSpecimen","Plantae","Orchidaceae","Ornithocephalus","myrticola","Ornithocephalus myrticola","Lindl.","Jorge Waechter","2010",NA,NA,"Lislaine Cardoso de Oliveira; Peterson T. Padilha","2010","03","05","Brasil","Santa Catarina","Criciúma","-49.370278","-28.678333","49º22'13''W","28º40'42''S","CRI005814","CRI005814",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:50-03","UNESC","CRI","11863","PreservedSpecimen","Plantae","Orchidaceae","Ornithocephalus","myrticola","Ornithocephalus myrticola","Lindl.","Peterson T. Padilha","2016","07","06","Marcelo Romagna Pasetto; Telma Elyta V. Azeredo, Vanilde Citadini Zanette & J. L. Waechter","2007","07","15","Brasil","Santa Catarina","Siderópolis","-49.425278","-28.598889","49º25'31''W","28º35'56''S","CRI008599","CRI008599","Barragem do Rio São Bento.",NA,"111","111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:45-03","UNESC","CRI","12388","PreservedSpecimen","Plantae","Orchidaceae","Ornithocephalus","myrticola","Ornithocephalus myrticola","Lindl.","Alexandre Medeiros","2017","04","22","Alexandre Medeiros","2017","04","22","Brasil","Santa Catarina","Balneário Camboriú","-48.6347007751465","-26.9906005859375",NA,NA,"CRI010595",NA,"Barra.","Coleta 168. Habito: Epífita",NA,NA,"8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","505113","PreservedSpecimen","Plantae","Orchidaceae","Ornithocephalus","myrticola","Ornithocephalus myrticola","Lindl.","G. F. J. Pabst",NA,NA,NA,"R. Reitz","1954","03","02","Brazil","Santa Catarina","Ibirama","-49.5178","-27.0569",NA,NA,"NY00505113","NY00505113_01",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=157454' target='other'> <mi>dwc_moreinfo</mi></a>","100","100",NA,NA,"Magnoliophyta","Asparagales","1618","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","777042","PreservedSpecimen","Plantae","Orchidaceae","Ornithocephalus","myrticola","Ornithocephalus myrticola","Lindl.","A. C. Cervi",NA,NA,NA,"A. C. Cervi","2000","01","22","Brazil","Santa Catarina","Itapema","-48.6399078","-27.1051305",NA,NA,"NY00777042","NY00777042_01","Bairro Sertao","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=157453' target='other'> <mi>dwc_moreinfo</mi></a>","20","20",NA,NA,"Magnoliophyta","Asparagales","6987","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","505112","PreservedSpecimen","Plantae","Orchidaceae","Ornithocephalus","myrticola","Ornithocephalus myrticola","Lindl.","G. F. J. Pabst",NA,NA,NA,"E. Pereira","1964","01","30","Brazil","Santa Catarina","Ilhota","-48.930795","-26.801033",NA,NA,"NY00505112","NY00505112_01","Morro do Bau","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=157455' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"Magnoliophyta","Asparagales","8779","South America","sheet",NA,NA,NA,NA,NA,NA,NA
