"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","coordinatePrecision","imagecode","geoFlag","verbatimLongitude","verbatimLatitude","class","yearIdentified","monthIdentified","dayIdentified","typeStatus","eventTime","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","1183959","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Calophyllaceae","Kielmeyera","membranacea","Kielmeyera membranacea","Casar.","M. C. de Souza","M. C. Souza","560","2008","01","09","South America","Brazil","Espírito Santo","Conceiçao da Barra","Itaúnas. Parque Estadual de Itaúnes, na estrada de Conceição da Barra para Itaúnas a ca. de 500 m antes da vila.","-39.7169","-18.4231","500","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1459028' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183959",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","477069","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Calophyllaceae","Kielmeyera","membranacea","Kielmeyera membranacea","Casar.","R. J. Trad","A. P. Duarte","5448","1960","11","22","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Lagoa Rodrigo de Freitas","-43.207919","-22.973835",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=186366' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477069",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","477065","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Calophyllaceae","Kielmeyera","membranacea","Kielmeyera membranacea","Casar.","R. J. Trad","D. Constantino","128","1916","02","13","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Jardim Botânico do Rio de Janeiro","-43.2075","-22.9031",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=186368' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477065",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","477067","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Calophyllaceae","Kielmeyera","membranacea","Kielmeyera membranacea","Casar.","R. J. Trad","H. W. Schott","1599",NA,NA,NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=186370' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477067",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","477068","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Calophyllaceae","Kielmeyera","membranacea","Kielmeyera membranacea","Casar.","R. J. Trad","A. P. Duarte","8660","1964","12","30","South America","Brazil","Rio de Janeiro","Cabo Frio","Campos Novos, Estr. de Campos","-42.0183","-22.8794",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=186365' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477068",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","03188904","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Calophyllaceae","Kielmeyera","membranacea","Kielmeyera membranacea","Casar.",NA,"R. C. Araujo","5","2013","03","24","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Parque Estadual da Pedra Branca, Campus Fiocruz-Mata Atlântica.","-43.2075004577637","-22.9027996063232",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3439860' target='other'> <mi>dwc_moreinfo</mi></a>","NY03188904","57442","NY03188904_01","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","477061","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Calophyllaceae","Kielmeyera","membranacea","Kielmeyera membranacea","Casar.","R. J. Trad","H. C. de Lima","1769","1982","08","21","South America","Brazil","Rio de Janeiro","Bom Jesus de Itabapoana","Cachoeira da Fumaça",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=711795' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","477070","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Calophyllaceae","Kielmeyera","membranacea","Kielmeyera membranacea","Casar.","R. J. Trad","B. D. Sucre","4366","1969","01","11","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Copacabana, Inhangá, Morro da Agulhinha","-43.2075","-22.9031",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=186367' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477070",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","477066","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Calophyllaceae","Kielmeyera","membranacea","Kielmeyera membranacea","Casar.","R. J. Trad","F. Sellow","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=186369' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477066",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02680569","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Calophyllaceae","Kielmeyera","membranacea","Kielmeyera membranacea","Casar.",NA,"J. M. A. Braga","3100","1995","12","13","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Serra da Carioca, Botafogo, morro Mundo Novo, Campus da Universidade Santa Úrsula.","-43.2075004577637","-22.9027996063232","100",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2948917' target='other'> <mi>dwc_moreinfo</mi></a>","NY02680569","57442","NY02680569_01","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
