"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","recordNumber","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","fieldNumber","preparationType","phylum","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","individualCount","typeStatus"
"1","2020-02-08 08:46:07-03","NBC","NL-BOTANY","L.1505390","PreservedSpecimen","Plantae","Magnoliopsidae","Asparagales","Orchidaceae","Cyrtopodium","dusenii","Cyrtopodium dusenii","Schltr.","Hatschbach GG","1965","11","08","Southern America","Brazil","Est. Paraná Mun P. Grossa. Parque Vila Velha.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1505390 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1505390","NL-L1505390",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-11-06 09:56:50-03","UFOP","OUPR","7802","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","dusenii","Cyrtopodium dusenii","Schltr.","Angolo, A.M.","1997","10","04",NA,"Indisponível","Serra do Ouro Grosso","Espécie muito rara. Segunda coleta conhecida para MG. Flores amarelas",NA,NA,"Batista, J.A.N.","2004","01","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:38:23-03","MBM","MBM","50600","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","duseni","Cyrtopodium duseni","Schltr.","Kuhlmann, M.","1957","10","30","Southern America","Brazil","Reserva Florestal",NA,"MBM050600","MBM050600","Batista, J.A.N.",NA,NA,"4268","São Paulo","Mogi-Guaçu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:38:23-03","MBM","MBM","49014","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","dusenii","Cyrtopodium dusenii","Schltr.","Hatschbach, G.","1965","11","08","Southern America","Brazil","Parque Vila Velha",NA,"MBM049014","MBM049014","Pabst, G.",NA,NA,"13105","Paraná","Ponta Grossa","-50.1618995666504","-25.0949993133545","46557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:38:23-03","MBM","MBM","49013","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","dusenii","Cyrtopodium dusenii","Schltr.","Hatschbach, G.","1964","10","31","Southern America","Brazil","Rodovia do Café, Fazenda Rivadávia",NA,"MBM049013","MBM049013","Pabst, G.",NA,NA,"11743","Paraná","Ponta Grossa","-50.1618995666504","-25.0949993133545","46557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:38:23-03","MBM","MBM","12750","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","dusenii","Cyrtopodium dusenii","Schltr.","Hatschbach, G.","1968","11","28","Southern America","Brazil","Rio do Sabiá",NA,"MBM012750","MBM012750","Pabst, G.",NA,NA,"20462","Paraná","Jaguariaíva","-49.7057991027832","-24.2511005401611","44368","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:38:23-03","MBM","MBM","49012","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","dusenii","Cyrtopodium dusenii","Schltr.","Hatschbach, G.","1951","11","02","Southern America","Brazil","Lago",NA,"MBM049012","MBM049012","Handro, O.",NA,NA,"2656","Paraná","Palmeira","-50.0064010620117","-25.4293994903564","35166","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:38:23-03","MBM","MBM","192","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","dusenii","Cyrtopodium dusenii","Schltr.","Hatschbach, G.","1965","11","08","Southern America","Brazil","Parque Vila Velha",NA,"MBM000192","MBM000192","Pabst, G.",NA,NA,"13105","Paraná","Ponta Grossa","-50.1618995666504","-25.0949993133545","46557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:38:23-03","MBM","MBM","49011","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","dusenii","Cyrtopodium dusenii","Schltr.","Hatschbach, G.","1965","11","08","Southern America","Brazil","Parque Vila Velha",NA,"MBM049011","MBM049011","Pabst, G.",NA,NA,"13110","Paraná","Ponta Grossa","-50.1618995666504","-25.0949993133545","46557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2015-09-03 19:29:00-03","MNHN","RECOLNAT_MNHN_P","P00436910","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Cyrtopodium","dusenii","Cyrtopodium dusenii","Schltr.","Hatschbach, G.","1965","11","8",NA,"Brasil","Parana : municipalite Ponta Grossa : Parque Vila Velha","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00436910' target='other'> <mi>dwc_moreinfo</mi></a>","P00436910","P00436910_01","Batista",NA,NA,NA,NA,NA,NA,NA,NA,NA,"13105","hb",NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-12-11 11:44:26-03","UFMG","BHCB","119914","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","dusenii","Cyrtopodium dusenii","Schltr.","Batista, JAN; Martins, CAN","2007","11","14","Southern America","Brasil","APE Manancial Pau de Fruta, área da COPASA, área a","Erva terrestre, em campo limpo seco. Solo areno-argiloso, marrom claro. Área anteriormente queimada.",NA,NA,NA,NA,NA,"2233","Minas Gerais","Diamantina","-43.669556","-18.257333",NA,NA,NA,NA,"Monocotyledon","-43.669556","-18.257333","1359","1359",NA,NA,NA
"12","2020-12-11 11:44:26-03","UFMG","BHCB","119905","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","dusenii","Cyrtopodium dusenii","Schltr.","Batista, JAN; Martins, CAN","2007","11","13","Southern America","Brasil","Área à esquerda da BR 259 cerca de 7 km NE de Gouv","Erva terrestre; Campo limpo seco. Solo areno-argiloso, cinza claro. Área anteriormente queimada.","BHCB001159","BHCB001159",NA,"2007","11","2224","Minas Gerais","Gouveia","-43.69325","-18.416444",NA,NA,NA,NA,"Monocotyledon","-43.69325","-18.416444","1333","1333","13",NA,NA
"13","2020-12-11 11:44:26-03","UFMG","BHCB","134665","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","dusenii","Cyrtopodium dusenii","Schltr.","Batista, JAN","2008","11","11","Southern America","Brasil","APE Manancial Pau de Fruta, área da COPASA, área a esquerda da pista cerca de 7 km Oeste de Diamantina em direção a Gouveia.","Erva terrestre, em campo limpo seca. Solo areno-argiloso, marrom claro. Sépalas e pétalas amareladas com pintas e manchas castanhas. Labelo amarelo, nabase dos lobos laterais e do lobo mediano com manchas alaranjadas. Pé da coluna esbranquiçado, part",NA,NA,NA,NA,NA,"2934","Minas Gerais","Diamantina","-43.669556","-18.257333",NA,NA,NA,NA,"Monocotyledon","-43.669556","-18.257333","1359","1359",NA,NA,NA
