"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","fieldNumber","minimumDepthInMeters","maximumDepthInMeters","individualCount","relatedCatalogItem","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1031861","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","macronectar","Habenaria macronectar","(Vell.) Hoehne","F. C. Hoehne","A. F. Regnell","28968","1877","03","01","South America","Brazil","Minas Gerais","Caldas","Caldas","-46.3873839","-21.9230619","sheet","Ex. Herv. do coll. no III-1168 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1187841' target='other'> <mi>dwc_moreinfo</mi></a>","NY01031861","NY01031861_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1032083","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","macronectar","Habenaria macronectar","(Vell.) Hoehne","G. F. J. Pabst","G. G. Hatschbach","18320","1968","01","18","South America","Brazil","Paraná","Guarapuava","Guará","-51.4581","-25.3956","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190420' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032083","NY01032083_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1032082","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","macronectar","Habenaria macronectar","(Vell.) Hoehne","G. F. J. Pabst","L. B. Smith","10989","1957","02","07","South America","Brazil","Santa Catarina","Caçador","east of 17 km. Turn off 1 km.: 7-20 km north of Caçador","-51.0147","-26.7756","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190418' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032082","NY01032082_01","950","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1032080","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","macronectar","Habenaria macronectar","(Vell.) Hoehne","G. F. J. Pabst","G. F. J. Pabst","s.n.","1952","02","10","South America","Brazil","Rio Grande do Sul",NA,"inter Canela et Bom Jesus 37 km. ab Canela pr. Lageado",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190415' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032080","NY01032080_01","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1032084","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","macronectar","Habenaria macronectar","(Vell.) Hoehne","J. Renz","G. G. Hatschbach","18320","1968","01","18","South America","Brazil","Paraná","Guarapuava","Guará","-51.4581","-25.3956","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190422' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032084","NY01032084_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1032081","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","macronectar","Habenaria macronectar","(Vell.) Hoehne","G. F. J. Pabst","E. Pereira","8727","1964","01","29","South America","Brazil","Santa Catarina",NA,"pr. de Ponte Alta, na estr. para Rio do Sul.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190416' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032081","NY01032081_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1032085","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","macronectar","Habenaria macronectar","(Vell.) Hoehne","J. Renz","G. Gardner","II676","1837",NA,NA,"South America","Brazil","Rio de Janeiro",NA,"Serra das Orgãos.","-43.073169","-22.496706","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190424' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032085","NY01032085_01 NY01032085_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","04094639","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","sartor","Habenaria sartor","Lindl.",NA,"A. Fuentes C.","287","1993","12","04","South America","Bolivia","Santa Cruz","Andrés Ibáñez","Laguna capibara, 6 km carretera antigua a Cochabamba y 2 km al N de la carretera, pasando el rio Pirai",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4413688' target='other'> <mi>dwc_moreinfo</mi></a>","NY04094639",NA,"380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","4094644","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","sartor","Habenaria sartor","Lindl.",NA,"L. Aristeguieta","6171","1966","08",NA,"South America","Venezuela","Guárico",NA,"Morichales hasta El Recreo, cerca de la Estación Biológica de los Llanos, Calabozo",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4413693' target='other'> <mi>dwc_moreinfo</mi></a>","NY04094644",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","687979","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","sartor","Habenaria sartor","Lindl.",NA,"G. Gardner","676",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=839952' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687979","NY00687979_01",NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","4094643","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","sartor","Habenaria sartor","Lindl.",NA,"L. Aristeguieta","6171","1966","08","06","South America","Venezuela","Guárico",NA,"Morichales. Hato El Recreo cerca de la Estación Biológica de Los Llanos. Calabozo",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4413692' target='other'> <mi>dwc_moreinfo</mi></a>","NY04094643",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","4094642","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","sartor","Habenaria sartor","Lindl.",NA,"G. Klug","3522","1934","01",NA,"South America","Peru","San Martín",NA,"Zepelacio, near Moyobamba",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4413691' target='other'> <mi>dwc_moreinfo</mi></a>","NY04094642",NA,"1200","1600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","1032006","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Habenaria","sartoroides","Habenaria sartoroides","Schltr.","F. R. R. Schlechter","P. K. H. Dusén","14470","1914","02","05","South America","Brazil","Paraná",NA,"Banhado",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190118' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032006","NY01032006_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-11-13 09:20:35-03","UFRJ","RFA","42914","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","macronectar","Habenaria macronectar","(Vell.) Hoehne","I.G.C.M. Costa","M.S. Wängler","1330","2013","04","07",NA,"Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares","-43.4185981750488","-22.4286003112793",NA,NA,"RFA38920",NA,NA,NA,NA,"2017","03","07","18359","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-11-13 09:20:35-03","UFRJ","RFA","38309","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","macronectar","Habenaria macronectar","(Vell.) Hoehne","M. S. Wängler; F. F. V. A. Barberena; M. O. Pellegrini","M. S. Wängler; V. S. Ferreira","1059","2012","11","19",NA,"Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares, Zona de Vida Silvestre, Estrada do Marão (Alho).","-43.373889","-22.447778",NA,"Erva terrícola de 80cm, raízes brancas, cauloma cilíndrico, verde claro, folhas verdes, sésseis, inflorescência apical, sépala dorsal verde claro, pétalas bipartidas, segmento anterior alaranjado, labelo e calcar brancos. Vegetando em t","RFA38822",NA,NA,NA,NA,"2012","03","30",NA,NA,"43º22'26''W","22º26'52''S",NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-11-13 09:20:35-03","UFRJ","RFA","42909","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Habenaria","macronectar","Habenaria macronectar","(Vell.) Hoehne","M.S. Wängler","M.S. Wängler","1453","2013","11","19",NA,"Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares; estrada do Morão (Alho)","-43.373889","-22.4475",NA,"Terrícola. Inflorescência passada. Frutos verdes","RFA38915",NA,NA,NA,NA,"2013",NA,NA,NA,NA,"43º22'26''W","22º26'51''S",NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-10-09 11:28:42-03","UFBA","ALCB","74600","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Habenaria","macronectar","Habenaria macronectar","(Vell.) Hoehne","Batista, JAN","Silva, JM; Abe, LM","2885","1999","02","19","Southern America","Brasil","Paraná","Bocaiúva do Sul","Serra da Bocaina","-49.1150016784668","-25.2061004638672",NA,"ereta. Flores creme-avermelhadas, labelo creme; depressões úmidas.","ALCB007329","ALCB007329",NA,NA,NA,"2001",NA,NA,"61623","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-02-08 08:46:20-03","NBC","NL-BOTANY","L.1516842","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Habenaria","sartor","Habenaria sartor","Lindl.",NA,"Herzog T",NA,"1911","03","01","Southern America","Bolivia",NA,NA,"Boliviam Lectae. In der Felssteppe des Rio de la Vieja.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1516842 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1516842","NL-L1516842",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"19","2020-02-08 08:46:20-03","NBC","NL-BOTANY","L.1516843","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Habenaria","sartor","Habenaria sartor","Lindl.",NA,"Splitgerber FL",NA,NA,NA,NA,"Southern America","Surinam",NA,NA,"Surinam.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1516843 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1516843","NL-L1516843",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
