"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","fieldNumber","preparationType","identifiedBy","recordNumber","stateProvince","individualCount","yearIdentified","monthIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","phylum","typeStatus","verbatimLongitude","verbatimLatitude"
"1","2020-02-08 09:19:52-03","NBC","NL-BOTANY","U.1102198","PreservedSpecimen","Plantae","Magnoliopsidae","Gentianales","Asclepiadaceae","Gyrostelma","oxypetaloides","Gyrostelma oxypetaloides","E.Fourn.","Oldenburger FHF; Mecenas VV","1975","10","06","Southern America","Brazil","D.F., Brasilia, University Campus. Cerrado along road parallel to Lago Paranoa.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1102198 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1102198","NL-U1102198",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-09-04 18:05:18-03","MNHN","RECOLNAT_MNHN_P","P00634355","PreservedSpecimen",NA,NA,NA,"Apocynaceae","Matelea","oxypetaloides","Matelea oxypetaloides","(E.Fourn.) Morillo","Warming, E.",NA,"11",NA,NA,"Brésil","s.loc.","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00634355' target='other'> <mi>dwc_moreinfo</mi></a>","P00634355","P00634355_01","1873","hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-09-04 18:02:22-03","MNHN","RECOLNAT_MNHN_P","P00634356","PreservedSpecimen",NA,NA,NA,"Apocynaceae","Matelea","oxypetaloides","Matelea oxypetaloides","(E.Fourn.) Morillo","Saint-Hilaire, A. de","1816",NA,NA,NA,"Brésil","Prov. de Minas Geraes","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00634356' target='other'> <mi>dwc_moreinfo</mi></a>","P00634356","P00634356_01","1077 a","hb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2011-02-22 12:37:00-03","MO","MOBOT","1244507","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Matelea","oxypetaloides","Matelea oxypetaloides","(E. Fourn.) Morillo","A. Saint-Hilaire",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,"G. Morillo","Saint-Hilaire s.n.","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-12 05:00:02-03","US","US","2025618","PreservedSpecimen","Plantae","Dicotyledonae","Gentianales","Asclepiadaceae","Gyrostelma","oxypetaloides","Gyrostelma oxypetaloides","E. Fourn.","A. Macedo","1950","11","1","South America - Neotropics","Brazil","Balsam. Municipio Jataí.",NA,"US03263942","US03263942_01",NA,NA,NA,"2689","Goiás","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-02 16:20:00-03","Cenargen","CEN","15901","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Gyrostelma","oxypetaloides","Gyrostelma oxypetaloides","E. Fourn.","Efigênia de Melo","1990","10","27",NA,"Brasil","Jardim Marajoara.","Corola esverdeada. Retináculo marrom. Doação do Plantas do Brasil.","CEN00015901","CEN00015901",NA,"Exsicatas","J. Fontella","384","GO","1","2003","06","LUZIANIA","-47.9502983093262","-16.2525005340576","83221","auto",NA,NA,NA,NA
"7","2019-11-13 11:14:59-03","USP","SPF","159486","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Gyrostelma","oxypetaloides","Gyrostelma oxypetaloides","E.Fourn.","Batalha, MA","1998","11","01",NA,"Brasil","Parque Nacional das Emas, Municípios de Chapadão do Céu e Mineiros.",NA,"SPF00159486",NA,NA,NA,"Rapini, A","2081","Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-09-04 19:23:16-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asclepiadaceae","Gyrostelma","oxypetaloides","Gyrostelma oxypetaloides",NA,"J. E. B. Warming","1864","11","11","South America","Brazil",NA,NA,NA,NA,NA,NA,NA,"1873",NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,"Spermatophyta","Type [status unknown]",NA,NA
"9","2019-11-01 14:52:48-03","UnB","UB","24102","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Matelea","oxypetaloides","Matelea oxypetaloides","(E. Fourn.) Morillo","Heringer, EP","1976","09","21","Southern America","Brasil",NA,NA,NA,NA,NA,NA,"Rapini, A","16257","Distrito Federal",NA,"2010","04","Brasília","-47.887778","-15.583333",NA,NA,"Dicotyledoneae",NA,"-47.887778","-15.583333"
"10","2019-11-01 14:52:48-03","UnB","UB","17900","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Matelea","oxypetaloides","Matelea oxypetaloides","(E. Fourn.) Morillo","Martins, CR","2004","12","03","Southern America","Brasil","Parque Nacional de Brasília. Área ao lado da antiga pista de pouso de ultra leve próxima a administração do Parque","Obs: Material testemunha de tese de Doutorado, Departamento de Ecologia, UnB Capim-gordura (Melinis minutiflora): uma ameaça à diversidade biológica no cerrado brasileiro.; Trepadeira; Campo sujo antropizado. Solo: Latossoloo.",NA,NA,NA,NA,"Pastore, JFB","529","Distrito Federal",NA,NA,NA,"Brasília","-47.926667","-15.731389",NA,NA,"Dicotyledoneae",NA,"-47.926667","-15.731389"
