"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","relationshipType","fieldNumber","individualCount","sex"
"1","2021-04-05 14:33:25-03","UNESC","CRI","7730","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","haspan","Cyperus haspan","L.","T. B. Guimarães","T. B. Guimarães; Daniel de Barcelos Falkenberg","403","2003","12","21","Brasil","Santa Catarina","Florianópolis","Parque Municipal das Dunas da Lagoa da Conceição, Ilha de Santa Catarina.","-48.48","-27.592222","48º28'48''W","27º35'32''S","17","17","Habitat: baixada eventualmente alagada, entre dunas na restinga Habito: herbácea","CRI002052","CRI002052",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:25-03","UNESC","CRI","7778","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","haspan","Cyperus haspan","L.","R. Trevisan","T. B. Guimarães; Daniel de Barcelos Falkenberg","618","2004","08","22","Brasil","Santa Catarina","Florianópolis","Parque Municipal das Dunas da Lagoa da Conceição, Ilha de Santa Catarina, próximo Av. das Rendeiras.","-48.48","-27.592222","48º28'48''W","27º35'32''S","17","17","Habitat: baixada eventualmente alagada, entre dunas na restinga Habito: herbácea","CRI002051","CRI002051","2011","08","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:25-03","UNESC","CRI","11782","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","haspan","Cyperus haspan","L.","R. Trevisan","P. Weber; R. Trevisan & G. Hassemer","382","2013","09","12","Brasil","Santa Catarina","Florianópolis","Aterro da Baia Sul.","-48.467222","-27.510833","48º28'2''W","27º30'39''S",NA,NA,"Habitat: baixada alagada","CRI002054","CRI002054","2013","09","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:38:32-03","E","E","153199","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","haspan","Cyperus haspan",NA,NA,"Gardner, George","73","1905","01","11","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00153199 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153199",NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:160426",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:38:32-03","E","E","153196","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","haspan","Cyperus haspan",NA,NA,"Dusen, P.","13815","1912","02","12","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00153196 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153196",NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:160429",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:38:32-03","E","E","161790","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","haspan","Cyperus haspan",NA,NA,"Cupertino, F.P.","24","1983","04","28","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00161790 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00161790",NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:169963",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:38:32-03","E","E","153198","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","haspan","Cyperus haspan",NA,NA,"Reineck, E.M. & Czermak, J.","450",NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00153198 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153198",NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:160427",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:38:32-03","E","E","153195","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","haspan","Cyperus haspan",NA,NA,"De Santos, R.R. & Souza, R.",NA,"1968","06","12","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00153195 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153195",NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:160430",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:38:32-03","E","E","153181","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","haspan","Cyperus haspan",NA,NA,"Harley, R.M.","19220","1977","03","01","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00153181 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153181",NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:160444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:38:32-03","E","E","153187","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","haspan","Cyperus haspan",NA,NA,"Joly, A.B. & Semir, J.","3270","1972","08","22","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00153187 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153187",NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:160438",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
